model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef
GradientBoosting,GB-1-1,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666663,0.18582283241670391
GradientBoosting,GB-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.3611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1867469879518071,0.1949415668580863
GradientBoosting,GB-3-1,0.0,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555558,0.06228410989030497
GradientBoosting,GB-4-1,0.0,0.0,0.0,0.0,0.0,0.0,0.4074074074074074,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13772455089820368,0.14173787352408201
GradientBoosting,GB-5-1,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666663,0.18896372244760082
GradientBoosting,GB-6-1,0.0,0.0,0.0,0.0,0.0,0.0,0.5185185185185185,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29518072289156616,0.3266376335006611
GradientBoosting,GB-7-1,0.0,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555558,0.0629879074825336
GradientBoosting,GB-8-1,0.0,0.0,0.0,0.0,0.0,0.0,0.4074074074074074,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571429,0.14888750009563956
GradientBoosting,GB-9-1,0.0,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,0.3055555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09467455621301779,0.09569350606279291
GradientBoosting,GB-10-1,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.27777777777777773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041420118343195256,0.04230707924010083
GradientBoosting,GB-11-1,0.0,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,0.3055555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.1027457638688163
GradientBoosting,GB-12-1,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20588235294117652,0.20976519439985555
GradientBoosting,GB-13-1,0.0,0.0,0.0,0.0,0.0,0.0,0.4074074074074074,0.38888888888888884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16279069767441856,0.16711727818510144
GradientBoosting,GB-14-1,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.3611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19642857142857129,0.2020324019910491
GradientBoosting,GB-15-1,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.21531038864128405
GradientBoosting,GB-16-1,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.4305555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21965317919075145,0.22540915960300847
GradientBoosting,GB-1-2,0.0,0.0,0.0,0.0,0.0,0.0,0.4074074074074074,0.3055555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111111111111116,0.12388188827780261
GradientBoosting,GB-2-2,0.0,0.0,0.0,0.0,0.0,0.0,0.5185185185185185,0.4305555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2909090909090909,0.3097612370649465
GradientBoosting,GB-3-2,0.0,0.0,0.0,0.0,0.0,0.0,0.5185185185185185,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.30970472069450655
GradientBoosting,GB-4-2,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3493975903614457,0.3614285968633786
GradientBoosting,GB-5-2,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666663,0.18685232967091492
GradientBoosting,GB-6-2,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.45833333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34545454545454546,0.367841469014624
GradientBoosting,GB-7-2,0.0,0.0,0.0,0.0,0.0,0.0,0.5185185185185185,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.30970472069450655
GradientBoosting,GB-8-2,0.0,0.0,0.0,0.0,0.0,0.0,0.5925925925925926,0.4861111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999999,0.42592170096430143
GradientBoosting,GB-9-2,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37209302325581395,0.3750715460438686
GradientBoosting,GB-10-2,0.0,0.0,0.0,0.0,0.0,0.0,0.5925925925925926,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43103448275862066,0.43353325431647777
GradientBoosting,GB-11-2,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.4722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428572,0.3626321077722928
GradientBoosting,GB-12-2,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.4722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3647058823529412,0.3670245723729403
GradientBoosting,GB-13-2,0.0,0.0,0.0,0.0,0.0,0.0,0.5925925925925926,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43103448275862066,0.4448864992164641
