model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef
LinearSVC,LSCM-1-1,0.0,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,0.36111111111111105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13068181818181823,0.13243786391515264
LinearSVC,LSCM-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,0.37499999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.156071971553932
LinearSVC,LSCM-3-1,0.0,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,0.3194444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1404494382022472,0.14232139624414367
LinearSVC,LSCM-4-1,0.0,0.0,0.0,0.0,0.0,0.0,0.4074074074074074,0.3472222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18644067796610175,0.1903860235704709
LinearSVC,LSCM-1-2,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.4722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37209302325581395,0.37432661671658474
LinearSVC,LSCM-2-2,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.45833333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36094674556213024,0.364831491864398
LinearSVC,LSCM-3-2,0.0,0.0,0.0,0.0,0.0,0.0,0.5185185185185185,0.4305555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,0.31709891853793987
LinearSVC,LSCM-4-2,0.0,0.0,0.0,0.0,0.0,0.0,0.48148148148148145,0.4027777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2716763005780346,0.27220888814854227
LinearSVC,LSCM-1-3,0.0,0.0,0.0,0.0,0.0,0.0,0.5185185185185185,0.45833333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31176470588235294,0.3163291337075134
LinearSVC,LSCM-2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37209302325581395,0.3835706411883073
LinearSVC,LSCM-3-3,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.38888888888888884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22413793103448276,0.22543729224456843
LinearSVC,LSCM-4-3,0.0,0.0,0.0,0.0,0.0,0.0,0.5185185185185185,0.4722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3314285714285714,0.34404555939406556
LinearSVC,LSCM-1-4,0.0,0.0,0.0,0.0,0.0,0.0,0.5925925925925926,0.6388888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4342857142857143,0.43511767320711137
LinearSVC,LSCM-2-4,0.0,0.0,0.0,0.0,0.0,0.0,0.5925925925925926,0.5972222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.44084290574931023
LinearSVC,LSCM-3-4,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.4305555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23728813559322037,0.240459766772351
LinearSVC,LSCM-4-4,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5277777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38983050847457623,0.40357088364756794
LinearSVC,LSCM-1-5,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3793103448275863,0.3829966349901695
LinearSVC,LSCM-2-5,0.0,0.0,0.0,0.0,0.0,0.0,0.48148148148148145,0.4305555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26315789473684215,0.26693189952987845
LinearSVC,LSCM-3-5,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37572254335260113,0.3809320389508041
LinearSVC,LSCM-4-5,0.0,0.0,0.0,0.0,0.0,0.0,0.5185185185185185,0.4722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32369942196531787,0.3243339943897525
LinearSVC,LSCM-1-6,0.0,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.5694444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41030927835051545,0.41116053516059653
LinearSVC,LSCM-2-6,0.0,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.5729166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4151329243353783,0.41598710014820406
LinearSVC,LSCM-3-6,0.0,0.0,0.0,0.0,0.0,0.0,0.4230769230769231,0.45486111111111105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2246520874751491,0.2287749400831317
LinearSVC,LSCM-4-6,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.5451388888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36585365853658536,0.36885555678165877
LinearSVC,LSCM-1-7,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.4652777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2384937238493725,0.25113300214407897
LinearSVC,LSCM-2-7,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.42708333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25409836065573754,0.2551440329218107
LinearSVC,LSCM-3-7,0.0,0.0,0.0,0.0,0.0,0.0,0.34615384615384615,0.2881944444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09053497942386834,0.09109906574999144
LinearSVC,LSCM-4-7,0.0,0.0,0.0,0.0,0.0,0.0,0.34615384615384615,0.2881944444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09795918367346945,0.09876543209876543
LinearSVC,LSCM-1-8,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.5798611111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4715447154471544,0.48034052849995484
LinearSVC,LSCM-2-8,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.5451388888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3553719008264463,0.3762496325688976
LinearSVC,LSCM-3-8,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4965277777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3171717171717172,0.3257373579300099
LinearSVC,LSCM-4-8,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4930555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30020703933747406,0.31005847789813235
LinearSVC,LSCM-1-9,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.41815476190476186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27467811158798283,0.281678790943918
LinearSVC,LSCM-2-9,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.44940476190476186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.3425041083921018
LinearSVC,LSCM-3-9,0.0,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.48164682539682535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39406779661016944,0.39927403570674697
LinearSVC,LSCM-4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.5128968253968254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4503171247357294,0.46131568994338684
LinearSVC,LSCM-1-10,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.4548611111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3580246913580247,0.3602553963749661
LinearSVC,LSCM-2-10,0.0,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.4965277777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4151329243353783,0.4211763290432612
LinearSVC,LSCM-3-10,0.0,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.4965277777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4186991869918699,0.4221346927612317
LinearSVC,LSCM-4-10,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4270833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3130081300813008,0.3155764208020858
