model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef
LogisticRegression,LG-1-1,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,0.3472222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12068965517241392,0.1216252478961572
LogisticRegression,LG-3-1,0.0,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,0.3472222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11560693641618491,0.11605958636065743
LogisticRegression,LG-4-1,0.0,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,0.3194444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14525139664804476,0.1511730109600638
LogisticRegression,LG-5-1,0.0,0.0,0.0,0.0,0.0,0.0,0.4074074074074074,0.40277777777777773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.2065013334994137
LogisticRegression,LG-6-1,0.0,0.0,0.0,0.0,0.0,0.0,0.2962962962962963,0.29166666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011560693641618491,0.011961688257849113
LogisticRegression,LG-7-1,0.0,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,0.3194444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14525139664804476,0.1511730109600638
LogisticRegression,LG-1-2,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-2-2,0.0,0.0,0.0,0.0,0.0,0.0,0.48148148148148145,0.4027777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2674418604651163,0.2701213009767636
LogisticRegression,LG-3-2,0.0,0.0,0.0,0.0,0.0,0.0,0.48148148148148145,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.28379224509103346
LogisticRegression,LG-4-2,0.0,0.0,0.0,0.0,0.0,0.0,0.48148148148148145,0.4027777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2716763005780346,0.2727400279475449
LogisticRegression,LG-5-2,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.513888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3793103448275863,0.38225077910220834
LogisticRegression,LG-6-2,0.0,0.0,0.0,0.0,0.0,0.0,0.4074074074074074,0.3472222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16763005780346818,0.17063547656760542
