model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef
SupportVectorMachine,SVM-1-1,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21511627906976727,0.2181458166694174
SupportVectorMachine,SVM-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.513888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37572254335260113,0.37793252740015953
SupportVectorMachine,SVM-3-1,0.0,0.0,0.0,0.0,0.0,0.0,0.48148148148148145,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24550898203592808,0.2726073471021572
SupportVectorMachine,SVM-4-1,0.0,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0613496932515335,0.0664895968541847
SupportVectorMachine,SVM-5-1,0.0,0.0,0.0,0.0,0.0,0.0,0.48148148148148145,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24550898203592808,0.2726073471021572
SupportVectorMachine,SVM-6-1,0.0,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0613496932515335,0.0664895968541847
SupportVectorMachine,SVM-7-1,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36094674556213024,0.3663548032575253
SupportVectorMachine,SVM-8-1,0.0,0.0,0.0,0.0,0.0,0.0,0.4074074074074074,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18644067796610175,0.20159462812453596
SupportVectorMachine,SVM-9-1,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36094674556213024,0.3663548032575253
SupportVectorMachine,SVM-10-1,0.0,0.0,0.0,0.0,0.0,0.0,0.4074074074074074,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18644067796610175,0.20159462812453596
SupportVectorMachine,SVM-1-2,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5138888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.368421052631579,0.3767931801222471
SupportVectorMachine,SVM-2-2,0.0,0.0,0.0,0.0,0.0,0.0,0.5185185185185185,0.4861111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,0.31966656303449636
SupportVectorMachine,SVM-3-2,0.0,0.0,0.0,0.0,0.0,0.0,0.5185185185185185,0.4305555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2909090909090909,0.3224746344626473
SupportVectorMachine,SVM-4-2,0.0,0.0,0.0,0.0,0.0,0.0,0.4074074074074074,0.3055555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11656441717791388,0.12633023402295093
SupportVectorMachine,SVM-5-2,0.0,0.0,0.0,0.0,0.0,0.0,0.5185185185185185,0.4305555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2909090909090909,0.3224746344626473
SupportVectorMachine,SVM-6-2,0.0,0.0,0.0,0.0,0.0,0.0,0.4074074074074074,0.3055555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11656441717791388,0.12633023402295093
SupportVectorMachine,SVM-7-2,0.0,0.0,0.0,0.0,0.0,0.0,0.5185185185185185,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3275862068965517,0.3275862068965517
SupportVectorMachine,SVM-8-2,0.0,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,0.3472222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.17299164249866014
SupportVectorMachine,SVM-9-2,0.0,0.0,0.0,0.0,0.0,0.0,0.5185185185185185,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3275862068965517,0.3275862068965517
SupportVectorMachine,SVM-10-2,0.0,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,0.3472222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.17299164249866014
SupportVectorMachine,SVM-1-3,0.0,0.0,0.0,0.0,0.0,0.0,0.48148148148148145,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2674418604651163,0.2745498141612381
SupportVectorMachine,SVM-2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.48148148148148145,0.4027777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2588235294117647,0.2626128657194451
SupportVectorMachine,SVM-3-3,0.0,0.0,0.0,0.0,0.0,0.0,0.5185185185185185,0.4305555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29518072289156616,0.3266376335006611
SupportVectorMachine,SVM-4-3,0.0,0.0,0.0,0.0,0.0,0.0,0.5925925925925926,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3926380368098159,0.42662874579678184
SupportVectorMachine,SVM-5-3,0.0,0.0,0.0,0.0,0.0,0.0,0.5185185185185185,0.4305555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29518072289156616,0.3266376335006611
SupportVectorMachine,SVM-6-3,0.0,0.0,0.0,0.0,0.0,0.0,0.5925925925925926,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3926380368098159,0.42662874579678184
SupportVectorMachine,SVM-7-3,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.48611111111111116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428572,0.3626321077722928
SupportVectorMachine,SVM-8-3,0.0,0.0,0.0,0.0,0.0,0.0,0.5185185185185185,0.4722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3314285714285714,0.3550872519842681
SupportVectorMachine,SVM-9-3,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.48611111111111116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428572,0.3626321077722928
SupportVectorMachine,SVM-10-3,0.0,0.0,0.0,0.0,0.0,0.0,0.5185185185185185,0.4722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3314285714285714,0.3550872519842681
SupportVectorMachine,SVM-1-4,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.7083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5371428571428571,0.5553290369171541
SupportVectorMachine,SVM-2-4,0.0,0.0,0.0,0.0,0.0,0.0,0.6296296296296297,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48275862068965525,0.4874502627147612
SupportVectorMachine,SVM-3-4,0.0,0.0,0.0,0.0,0.0,0.0,0.6296296296296297,0.5138888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45783132530120474,0.48463711111820496
SupportVectorMachine,SVM-4-4,0.0,0.0,0.0,0.0,0.0,0.0,0.48148148148148145,0.3611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23636363636363622,0.25168100511526903
SupportVectorMachine,SVM-5-4,0.0,0.0,0.0,0.0,0.0,0.0,0.6296296296296297,0.5138888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45783132530120474,0.48463711111820496
SupportVectorMachine,SVM-6-4,0.0,0.0,0.0,0.0,0.0,0.0,0.48148148148148145,0.3611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23636363636363622,0.25168100511526903
SupportVectorMachine,SVM-7-4,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.513888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37572254335260113,0.37719365567213664
SupportVectorMachine,SVM-8-4,0.0,0.0,0.0,0.0,0.0,0.0,0.5185185185185185,0.4305555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,0.3222976079284099
SupportVectorMachine,SVM-9-4,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.513888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37572254335260113,0.37719365567213664
SupportVectorMachine,SVM-10-4,0.0,0.0,0.0,0.0,0.0,0.0,0.48148148148148145,0.4027777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26315789473684215,0.27026174010801046
SupportVectorMachine,SVM-1-5,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.45833333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20588235294117652,0.21521454847518579
SupportVectorMachine,SVM-2-5,0.0,0.0,0.0,0.0,0.0,0.0,0.5925925925925926,0.5972222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4277456647398844,0.42858420687217297
SupportVectorMachine,SVM-3-5,0.0,0.0,0.0,0.0,0.0,0.0,0.48148148148148145,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23170731707317072,0.25331081781683923
SupportVectorMachine,SVM-4-5,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666663,0.18685232967091492
SupportVectorMachine,SVM-5-5,0.0,0.0,0.0,0.0,0.0,0.0,0.48148148148148145,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23170731707317072,0.25331081781683923
SupportVectorMachine,SVM-6-5,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666663,0.18685232967091492
SupportVectorMachine,SVM-7-5,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.513888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36094674556213024,0.3663548032575253
SupportVectorMachine,SVM-8-5,0.0,0.0,0.0,0.0,0.0,0.0,0.6296296296296297,0.6944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48863636363636365,0.48958560307985427
SupportVectorMachine,SVM-9-5,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.513888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36094674556213024,0.3663548032575253
SupportVectorMachine,SVM-10-5,0.0,0.0,0.0,0.0,0.0,0.0,0.6296296296296297,0.6944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48863636363636365,0.48958560307985427
SupportVectorMachine,SVM-1-6,0.0,0.0,0.0,0.0,0.0,0.0,0.4230769230769231,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17721518987341767,0.1800205749557739
SupportVectorMachine,SVM-2-6,0.0,0.0,0.0,0.0,0.0,0.0,0.4230769230769231,0.40624999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18067226890756294,0.18768883698161445
SupportVectorMachine,SVM-3-6,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.4305555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3246753246753247,0.34020690871988585
SupportVectorMachine,SVM-4-6,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3202614379084967,0.39429038216130186
SupportVectorMachine,SVM-5-6,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.4305555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3246753246753247,0.34020690871988585
SupportVectorMachine,SVM-6-6,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3202614379084967,0.39429038216130186
SupportVectorMachine,SVM-7-6,0.0,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.4722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3875802997858673,0.3996724518516854
SupportVectorMachine,SVM-8-6,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.49652777777777773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35403726708074534,0.35478400131230375
SupportVectorMachine,SVM-9-6,0.0,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.4722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3875802997858673,0.3996724518516854
SupportVectorMachine,SVM-10-6,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.49652777777777773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35403726708074534,0.35478400131230375
SupportVectorMachine,SVM-1-7,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12421052631578955,0.12505502230354007
SupportVectorMachine,SVM-2-7,0.0,0.0,0.0,0.0,0.0,0.0,0.4230769230769231,0.34027777777777773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1772151898734179,0.17882705522251438
SupportVectorMachine,SVM-3-7,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.4236111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.3538151850686813
SupportVectorMachine,SVM-4-7,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18568232662192397,0.25980667830543286
SupportVectorMachine,SVM-5-7,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.4236111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.3538151850686813
SupportVectorMachine,SVM-6-7,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18568232662192397,0.25980667830543286
SupportVectorMachine,SVM-7-7,0.0,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.5069444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38888888888888884,0.4009316350019506
SupportVectorMachine,SVM-8-7,0.0,0.0,0.0,0.0,0.0,0.0,0.4230769230769231,0.3993055555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1908713692946057,0.1937361666923864
SupportVectorMachine,SVM-9-7,0.0,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.5069444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38888888888888884,0.4009316350019506
SupportVectorMachine,SVM-10-7,0.0,0.0,0.0,0.0,0.0,0.0,0.4230769230769231,0.3993055555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1908713692946057,0.1937361666923864
SupportVectorMachine,SVM-1-8,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.5208333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4639175257731959,0.4790010407745921
SupportVectorMachine,SVM-2-8,0.0,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.48958333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4127310061601642,0.4336773975375114
