model_id,param,value
SVM-1,C,1
SVM-1,kernel,linear
SVM-2,C,2
SVM-2,kernel,linear
SVM-3,C,4
SVM-3,kernel,linear
SVM-4,C,8
SVM-4,kernel,linear
SVM-5,C,16
SVM-5,kernel,linear
SVM-6,C,1
SVM-6,gamma,scale
SVM-6,kernel,rbf
SVM-7,C,1
SVM-7,gamma,scale
SVM-7,kernel,poly
SVM-8,C,1
SVM-8,gamma,auto
SVM-8,kernel,rbf
SVM-9,C,1
SVM-9,gamma,auto
SVM-9,kernel,poly
SVM-10,C,2
SVM-10,gamma,scale
SVM-10,kernel,rbf
SVM-11,C,2
SVM-11,gamma,scale
SVM-11,kernel,poly
SVM-12,C,2
SVM-12,gamma,auto
SVM-12,kernel,rbf
SVM-13,C,2
SVM-13,gamma,auto
SVM-13,kernel,poly
SVM-14,C,4
SVM-14,gamma,scale
SVM-14,kernel,rbf
SVM-15,C,4
SVM-15,gamma,scale
SVM-15,kernel,poly
SVM-16,C,4
SVM-16,gamma,auto
SVM-16,kernel,rbf
SVM-17,C,4
SVM-17,gamma,auto
SVM-17,kernel,poly
SVM-18,C,8
SVM-18,gamma,scale
SVM-18,kernel,rbf
SVM-19,C,8
SVM-19,gamma,scale
SVM-19,kernel,poly
SVM-20,C,8
SVM-20,gamma,auto
SVM-20,kernel,rbf
SVM-21,C,8
SVM-21,gamma,auto
SVM-21,kernel,poly
SVM-22,C,16
SVM-22,gamma,scale
SVM-22,kernel,rbf
SVM-23,C,16
SVM-23,gamma,scale
SVM-23,kernel,poly
SVM-24,C,16
SVM-24,gamma,auto
SVM-24,kernel,rbf
SVM-25,C,16
SVM-25,gamma,auto
SVM-25,kernel,poly
