PseudoID,M546980,M500458,M545731,M533840,M568671,M500312,M555496,M595483,M545313,M582014,M551262,M589819,M599421,M537226,M594455,M555258,M528662,M540101,M557500,M592855,M592593,M537130,M550040,M521338,M549904,UniSp4,M527219,M575624,M513552,M512914,M510218,M503257,M589283,M528205,M556038,M534459,M568363,M578371,M554956,M504849,M533067,M567468,M571201,M560046,M543625,M578816,M569912,M527306,M575600,M583270,M587063,M539339,M500786,M511006,M542419,M526581,M564991,M500850,M583234,M598640,UniSp6,M581305,M558622,M596656,M519895,M508663,M562884,M555824,M575307,M595344,M577494,M562618,M520731,M521662,M585231,M580497,M534697,M525015,M550367,M569679,M583617,M592847,M581022,M501655,M579984,M500673,M526839,M573575,M589482,M515950,M540958,M575100,M562636,M588194,M566284,M596452,M517081,M562598,M528263,M558234,M581923,M585191,M540969,M588021,M527905,M593461,M516970,M598858,M527197,M519103,M547854,M554022,M579664,M552528,M551175,M548578,M559102,M566199,M575036,M547368,M532769,M551773,M540935,M553208,M511260,M501735,M530657,M595841,M555060,M545577,DiseaseSubtypeFull,DiseaseSubtype
S1183,2.2688,0.7158,6.0688,5.3618,0.1318,-0.4242,-2.0792,15.92,4.9268,-0.3362,0.8248,7.3028,1.4528,2.1538,1.8028,7.7278,5.7668,-2.7112,3.1478,4.3968,2.4198,3.7518,5.0908,5.7688,1.0178,-2.0172,2.9488,3.5418,-2.3902,-2.7182,3.9768,1.8098,-7.3182,5.5998,-0.9912,2.3678,4.8398,3.9478,4.2698,3.9128,3.9968,5.0158,-2.3892,3.7328,5.3318,1.6028,3.6058,7.9938,3.5228,4.0168,0.9468,2.7668,2.0378,5.5038,0.2798,4.9558,1.7108,5.8738,2.4758,6.7238,-9.8292,7.6638,7.6628,1.1618,2.8368,4.4678,0.1198,2.0598,5.5138,2.8638,5.0398,7.9898,5.8258,1.5878,4.9958,3.4798,4.8778,0.5368,3.8148,2.7428,3.3718,4.7678,1.0388,0.4878,0.8478,-0.5572,12.3386,6.1098,5.8048,-2.2962,1.4048,3.0078,5.8058,-1.1482,4.7318,3.8768,4.4958,3.7848,2.3398,-1.0182,2.4838,1.1778,3.3378,4.4438,-2.9112,6.4278,-1.7362,1.7818,1.6688,4.8528,7.9988,7.5498,3.3618,3.4048,4.3568,6.3028,3.4918,6.4338,1.6858,0.7938,1.8298,1.8448,-3.9642,5.5088,2.6878,-2.5022,0.0288,6.1338,-1.5492,6.1318,PA,3
S1221,0.8282,-1.7488,3.0112,4.8392,-0.7788,1.5272,-1.6638,15.92,4.5762,-1.6638,0.3622,6.9212,0.4542,1.1912,1.0562,5.2542,3.2582,-1.1718,4.8432,3.7902,1.2832,5.8012,3.1632,7.7242,1.5392,0.0382,1.3722,2.5262,-1.9048,-0.5178,4.8592,3.9102,-5.2008,2.8402,-2.0298,2.4972,4.8102,1.5452,2.2272,6.4412,3.3872,5.5492,-1.1248,2.7112,7.9692,0.9242,4.5782,4.7432,3.0842,3.4502,-0.2118,1.6782,1.3422,6.7302,-0.0038,3.8152,0.2472,4.6162,5.0482,5.7812,-7.9988,6.3482,9.0992,1.3692,0.8852,4.4362,-1.0158,3.3932,5.3112,2.6842,5.8472,6.9962,7.3212,1.3072,11.3972,3.7552,4.2512,-1.4828,4.8412,4.7552,2.5362,3.3172,-0.2308,3.1752,1.1292,0.5882,5.7062,6.9932,6.8702,-3.3728,0.1172,5.1562,4.5802,-1.2408,3.5912,3.3542,4.0442,1.8412,5.1102,-2.0828,3.5072,0.8542,1.6272,2.2892,-2.0178,4.4982,1.9452,3.3582,2.4982,4.5612,5.7622,5.6742,3.4212,1.5652,2.5782,5.1082,2.8902,5.9372,1.5692,1.5022,1.0932,3.9202,-3.2148,4.1872,3.9032,-2.2958,0.5942,5.4032,-2.9768,6.1982,CS,5
S1063,0.933,-1.493,2.257,4.784,-0.802,1.935,-1.463,15.92,5.284,-1.412,0.338,7.85,0.76,1.073,0.515,3.968,2.817,-0.514,4.076,2.12,1.489,4.761,2.751,10.922,1.44,-0.577,0.965,4.595,-1.315,-0.08,5.875,4.177,-3.399,2.495,-2.073,1.606,3.839,1.492,2.862,5.186,3.157,5.576,-0.383,2.166,4.689,0.833,4.62,4.965,3.058,2.645,0.958,1.436,0.81,4.617,2.76,3.54,0.151,4.985,4.718,5.2,-9.031,6.184,7.147,1.116,2.374,4.231,-1.502,4.094,5.601,2.683,6.423,7.69,7.4,0.655,6.191,3.685,4.515,-1.183,4.641,5.489,2.95,3.594,0.031,0.156,0.577,0.588,5.899,6.457,5.48,-3.445,0.593,4.507,3.86,-1.753,4.041,2.532,4.529,2.481,6.253,-0.756,5.087,-0.034,1.266,2.105,-1.245,3.659,2.735,5.054,1.751,5.484,5.757,5.12,2.399,1.374,2.409,4.939,3.939,6.015,1.01,2.204,0.425,4.268,-2.223,4.4,4.116,-2.713,-0.068,5.327,-2.87,7.904,PHT,2
S1031,2.594,0.049,3.791,3.996,0.093,-0.669,-2.312,6.0,4.803,-0.558,0.36,12.1914,1.229,1.818,1.909,13.7836,4.283,-3.452,2.836,4.55,2.926,4.015,5.654,6.332,0.707,-2.768,2.586,3.605,-2.764,-2.517,3.686,1.347,-7.41,3.806,-0.975,1.49,4.22,2.984,3.355,10.1026,3.784,3.353,-2.825,3.305,5.853,1.445,3.6,4.341,2.724,4.481,0.873,2.353,1.938,8.424,-0.04,7.615,1.401,7.48,3.221,6.31,-10.925,7.44,8.688,1.114,2.476,4.949,-0.54,2.292,4.775,2.719,5.199,14.8358,6.941,0.154,7.96,2.725,5.294,-0.102,3.747,2.106,3.929,3.561,1.263,2.122,0.18,-0.888,12.3386,5.269,13.193,-2.18,1.216,4.167,4.302,-2.025,4.365,3.88,6.751,3.011,2.522,-0.894,2.367,1.585,2.544,4.46,-3.105,5.317,-1.647,1.322,1.617,3.207,5.118,7.285,3.06,2.57,4.4,6.249,2.697,6.598,1.505,0.672,2.173,2.656,-4.25,6.088,3.595,-2.487,-1.095,6.296,-1.77,4.95,PA,3
S1181,2.5164,1.5804,3.8664,6.7454,1.5974,-0.2736,-2.3686,6.4384,4.5094,0.6824,1.1934,6.2744,1.4684,2.7144,4.5184,6.9474,3.6554,-2.7596,5.6894,3.1534,3.6184,3.8834,6.8824,6.5354,0.9484,-2.3216,2.9194,4.1864,-2.7426,-0.3506,3.9784,1.9454,-6.9656,4.0344,0.2104,4.1164,5.7214,3.0254,5.3504,5.2244,6.5084,6.3534,-2.8346,5.9444,3.5044,1.0454,5.0664,6.7704,3.3454,4.8564,1.5174,3.1204,3.7724,7.1764,0.5684,12.1288,2.9814,6.4214,6.1934,9.4274,-11.1416,9.6804,6.7024,2.2294,3.7294,4.5754,0.3764,2.3224,5.9244,4.0054,5.9654,14.8358,5.9914,1.8104,5.1364,3.7624,5.0904,0.8044,4.2534,3.5024,3.9034,5.3294,1.9784,-0.8126,1.4554,0.0414,8.4034,5.3654,5.4724,-1.5576,2.3834,2.8284,6.9954,-0.9936,4.7194,5.0384,4.6614,3.5664,4.1474,0.1654,3.0754,1.8584,4.5624,4.5294,-2.5056,10.4882,0.3254,2.3034,2.8584,5.4894,6.8864,6.0134,2.2274,4.7304,5.2454,9.4294,2.6814,7.2834,5.4324,2.4384,3.7284,3.4704,-4.0116,14.0366,3.2464,-1.3976,-0.7376,7.2884,-1.0866,5.0164,PHT,2
S1002,1.5146,-1.2484,1.9076,3.0186,-0.8724,0.4206,-1.8674,8.7236,4.7246,-1.4284,0.9876,6.8516,1.7736,1.5956,0.4146,5.8236,2.4406,-1.1394,4.0056,2.5876,1.7986,4.2796,5.4316,6.7416,1.0696,-0.4264,1.9636,2.2466,-2.1484,-1.6124,4.2306,2.8966,-6.4284,2.8246,-1.4694,2.8796,5.1836,2.7786,2.5206,5.7976,3.6536,4.5546,-1.6144,2.9446,5.2226,0.6136,3.5776,3.0416,4.6866,3.2296,0.2566,2.3136,1.3146,5.2826,0.9866,4.9906,0.3396,5.0216,4.4406,5.4846,-7.9764,5.9806,8.5166,0.9026,2.0436,4.4686,-0.7844,2.9836,6.1526,1.4766,6.7226,6.8576,6.8246,1.9606,4.7186,2.6216,3.0566,-0.7524,3.8506,3.5986,2.0286,2.9516,0.0106,-0.8174,2.1476,-0.4884,5.8196,6.1606,6.0806,-3.3124,0.9966,3.0706,2.9206,-0.5124,3.3036,1.2336,4.7536,2.4036,4.5636,-2.1664,3.4906,1.1666,1.9136,2.9416,-2.7564,5.4046,-0.0304,2.5376,1.9586,5.9046,5.8066,5.1906,3.1076,2.0696,3.3846,5.1076,3.4716,4.4496,1.3956,2.0506,0.8396,2.7876,-3.7934,4.4516,3.2446,-2.7584,0.6356,5.9836,-2.6224,6.5296,PPGL,4
S1348,1.219,-2.008,2.893,4.176,-0.891,1.862,-1.61,8.787,4.632,-1.753,0.369,7.741,0.831,1.124,0.381,4.987,3.28,-0.231,4.815,2.53,1.217,4.91,3.131,7.646,1.644,-0.13,0.985,3.516,-1.261,-0.319,5.099,3.932,-3.4,3.402,-1.951,2.35,3.601,2.756,3.069,5.336,3.754,4.784,-0.403,2.375,8.278,0.956,4.83,5.792,3.583,3.093,0.235,1.305,0.628,8.476,1.614,3.595,0.606,4.975,4.299,5.08,-8.624,6.01,8.709,1.052,2.131,3.416,-1.371,3.745,5.304,1.997,6.955,7.239,7.914,1.361,7.459,3.364,4.463,-1.079,4.541,5.427,2.551,3.519,0.04,4.19,0.972,1.021,7.835,6.497,6.407,-3.556,0.198,5.768,4.631,-1.142,3.719,2.852,3.887,1.943,5.085,-1.01,4.291,0.189,1.686,2.624,-1.569,4.622,3.232,4.313,1.711,5.904,6.182,5.445,3.845,1.674,3.135,4.445,3.58,6.152,0.951,2.135,0.68,4.089,-2.531,3.818,3.791,-2.211,0.041,5.508,-2.965,7.683,PHT,2
S1338,2.2924,1.2244,5.3154,6.2754,0.9184,-0.7606,-2.3266,7.8024,3.8164,-0.2286,0.0254,7.4954,2.2414,1.7804,1.4974,7.5594,6.3044,-3.9476,2.6994,2.3154,3.8474,4.9674,7.1184,6.3474,0.7634,-1.3226,3.1724,4.2384,-2.4586,-2.5046,3.2924,1.5864,-7.7946,4.0144,-0.0536,1.6324,3.9564,3.6124,5.6824,4.6924,4.0784,3.9194,-3.1276,4.3404,4.9524,1.6844,4.1024,7.3064,3.2454,4.9144,1.6664,1.2394,1.5084,5.7974,-0.5486,10.3504,3.2614,5.4294,2.0484,3.9414,-9.6426,7.1194,7.0884,1.4314,3.2024,4.7104,-0.1556,2.5004,5.3034,3.5104,4.7184,7.2474,4.6894,1.1594,6.5874,2.8324,7.8894,0.6274,4.9644,2.3964,4.7964,3.6554,2.3024,2.7624,0.3574,-0.5086,9.4124,3.8854,5.4734,-2.5886,0.6594,3.2964,7.6824,-1.6226,3.8074,6.3224,3.0274,3.9784,2.3484,-0.2336,2.5524,1.1494,5.0474,5.1094,-3.1736,6.3464,-1.4286,1.9604,0.7774,3.0554,10.4054,6.4774,3.8574,3.9744,4.6884,7.5814,2.6024,13.3118,1.5044,1.2484,3.3014,2.3084,-4.2936,8.2324,2.9964,-2.0986,-1.7196,6.1224,-1.9466,5.2334,PA,3
S1375,2.3352,-0.0008,5.7842,12.4156,0.8292,-0.3288,-2.2648,8.3992,5.3882,-0.1028,1.1772,6.5972,2.6042,2.9752,2.2572,10.5272,6.2442,-2.5338,4.0792,3.2062,2.4342,4.3902,5.9612,6.3682,1.5852,-1.1058,2.6152,3.8942,-2.6478,-1.5358,3.8202,2.0882,-7.0678,3.9722,-0.9088,2.7372,5.2662,2.5662,3.1782,5.9142,5.4882,4.1182,-2.6648,4.0042,2.7512,1.1762,4.4032,16.0466,4.5602,4.9352,0.8602,3.5402,2.9722,6.6412,2.3062,6.7352,1.9242,6.1092,4.1672,6.7052,-9.2858,7.2072,8.1552,1.6442,2.4952,4.2942,-0.2588,3.4372,5.7462,3.2192,5.8562,8.3122,6.5792,1.6122,6.1312,2.9422,7.6482,0.4052,5.3872,3.0842,4.2482,3.6942,1.1982,0.9402,1.3462,-0.2918,7.3882,7.2012,6.5952,-2.0818,2.0302,3.2742,10.0122,-1.0078,6.0072,6.2402,4.1932,3.8142,3.5172,-0.7388,3.4092,2.0062,3.5332,4.1742,-2.4428,7.0462,-0.3258,2.2032,2.2952,5.8272,6.3792,5.7992,2.9892,3.7302,5.2122,7.0322,3.4032,13.3118,2.2232,2.6762,2.2602,2.7992,-3.8678,7.2302,3.7932,-2.7098,-0.3018,7.2872,-1.5718,5.6072,PPGL,4
S1192,2.9934,2.6124,7.7204,7.7774,1.4354,-0.5736,-2.3926,7.0704,5.4234,1.0984,0.8074,9.3424,2.5514,3.1494,3.1534,9.2404,8.2864,-3.2756,2.7874,4.5254,3.6014,5.5884,6.8354,5.4164,0.9604,-1.0946,3.7064,4.4934,-3.1526,-2.7276,3.4774,1.3804,-7.9546,5.5214,-0.0226,2.2494,4.6274,3.7754,5.7974,6.1804,5.2694,4.6224,-2.9636,5.0664,4.7764,1.8684,3.3424,6.5394,4.6524,5.6664,1.4164,3.6084,3.2244,5.5324,-0.3316,8.9664,3.0054,6.5934,2.5334,6.1414,-8.9086,9.1564,11.5694,1.2774,4.6084,4.7334,0.3454,2.2424,5.4354,3.3874,6.0234,6.5624,7.0434,1.1714,8.2564,2.4994,9.2394,1.5794,5.5204,2.0584,4.7774,4.5774,2.3614,1.1234,0.5214,-0.7436,8.0394,6.8724,4.9904,-0.8536,2.3314,2.8544,8.1914,-1.3906,5.0414,6.3614,4.3354,4.6934,2.8964,0.2164,2.3644,1.5614,5.1114,5.8504,-3.3496,5.6724,-1.7336,1.1964,1.1604,5.2994,6.3934,6.2614,3.7014,4.5804,5.5744,8.0464,3.2344,13.3118,3.1854,1.2784,3.4364,1.7704,-4.5186,7.0074,2.8284,-1.9916,0.0414,6.2934,-0.2526,5.4064,CS,5
