model_type,id,score
LogisticRegressionRFE,LG-1-1,0.33333333333333337
LogisticRegressionRFE,LG-2-1,0.4166666666666667
LogisticRegressionRFE,LG-3-1,0.4027777777777778
LogisticRegressionRFE,LG-4-1,0.375
LogisticRegressionRFE,LG-5-1,0.38888888888888884
LogisticRegressionRFE,LG-6-1,0.4444444444444444
LogisticRegressionRFE,LG-7-1,0.5277777777777778
LogisticRegressionRFE,LG-8-1,0.513888888888889
LogisticRegressionRFE,LG-9-1,0.513888888888889
LogisticRegressionRFE,LG-10-1,0.513888888888889
LogisticRegressionRFE,LG-11-1,0.4027777777777778
LogisticRegressionRFE,LG-12-1,0.5277777777777778
LogisticRegressionRFE,LG-13-1,0.5
LogisticRegressionRFE,LG-14-1,0.5833333333333334
LogisticRegressionRFE,LG-15-1,0.5833333333333334
LogisticRegressionRFE,LG-16-1,0.5833333333333334
LogisticRegressionRFE,LG-17-1,0.5833333333333334
LogisticRegressionRFE,LG-18-1,0.4166666666666667
LogisticRegressionRFE,LG-19-1,0.4722222222222222
LogisticRegressionRFE,LG-20-1,0.4722222222222222
LogisticRegressionRFE,LG-21-1,0.4722222222222222
LogisticRegressionRFE,LG-22-1,0.3611111111111111
LogisticRegressionRFE,LG-23-1,0.3611111111111111
LogisticRegressionRFE,LG-24-1,0.3611111111111111
LogisticRegressionRFE,LG-25-1,0.3333333333333333
LogisticRegressionRFE,LG-26-1,0.41666666666666663
LogisticRegressionRFE,LG-27-1,0.3333333333333333
LogisticRegressionRFE,LG-28-1,0.3055555555555555
LogisticRegressionRFE,LG-29-1,0.3333333333333333
LogisticRegressionRFE,LG-30-1,0.3055555555555555
LogisticRegressionRFE,LG-31-1,0.3055555555555555
LogisticRegressionRFE,LG-32-1,0.3055555555555555
LogisticRegressionRFE,LG-33-1,0.3055555555555555
LogisticRegressionRFE,LG-34-1,0.3055555555555555
LogisticRegressionRFE,LG-35-1,0.3055555555555555
LogisticRegressionRFE,LG-36-1,0.3055555555555555
LogisticRegressionRFE,LG-37-1,0.3333333333333333
LogisticRegressionRFE,LG-38-1,0.38888888888888884
LogisticRegressionRFE,LG-39-1,0.3333333333333333
LogisticRegressionRFE,LG-40-1,0.3333333333333333
