model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef,tp_HV,tp_CS,tp_PA,tp_PHT,tp_PPGL,fp_HV,fp_CS,fp_PA,fp_PHT,fp_PPGL,tn_HV,tn_CS,tn_PA,tn_PHT,tn_PPGL,fn_HV,fn_CS,fn_PA,fn_PHT,fn_PPGL
GradientBoosting,GB-1-1,0.3351384998443822,0.4,0.38960888058927273,0.335229476405947,0.4,0.4,0.4,0.335229476405947,0.3242424242424243,0.4000000000000001,0.3839826839826839,0.3282882506208389,0.3312992187924608,0.3328013857106002,0.4,0.4,0.4000000000000001,0.3909315852953656,0.394975003837862,0.39691926534459976,0.21693735498839906,0.22077735586656164,11.0,0.0,10.0,6.0,3.0,10.0,3.0,17.0,11.0,4.0,44.0,66.0,41.0,46.0,58.0,10.0,6.0,7.0,12.0,10.0
GradientBoosting,GB-2-1,0.38028691896338956,0.4,0.41295529960235844,0.36693241399123744,0.4,0.4,0.4,0.36693241399123744,0.3675045872360294,0.4000000000000001,0.39960805404465854,0.3654206016451137,0.36584911822429844,0.36621183395611534,0.4,0.4,0.4000000000000001,0.3978824900971738,0.3985721962483251,0.3990661359260385,0.2268041237113403,0.22960984233264958,10.0,1.0,9.0,5.0,5.0,7.0,4.0,17.0,11.0,6.0,47.0,65.0,41.0,46.0,56.0,11.0,5.0,8.0,13.0,8.0
GradientBoosting,GB-3-1,0.4645502645502645,0.4266666666666667,0.4744268077601411,0.41520505638152694,0.4266666666666667,0.4266666666666667,0.4266666666666667,0.41520505638152694,0.4207992007992008,0.42666666666666675,0.4305174825174825,0.41357705753879354,0.4137434052986853,0.41418574812643544,0.4266666666666667,0.4266666666666667,0.4266666666666667,0.4240195348951932,0.42463317198560363,0.4252950074418303,0.26150675520952604,0.26751492437199254,8.0,2.0,10.0,7.0,5.0,6.0,4.0,17.0,14.0,2.0,48.0,65.0,41.0,43.0,60.0,13.0,4.0,7.0,11.0,8.0
GradientBoosting,GB-4-1,0.45366300366300366,0.4666666666666667,0.49208791208791214,0.43124326653738415,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.43124326653738415,0.42760297067273817,0.4666666666666667,0.46169579877486855,0.42659308919175076,0.42837368815506016,0.4294206741857928,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4609555266856228,0.4631811964326222,0.4644610116415933,0.31397210153212907,0.3204773330660258,8.0,1.0,11.0,9.0,6.0,4.0,3.0,15.0,12.0,6.0,50.0,66.0,43.0,45.0,56.0,13.0,5.0,6.0,9.0,7.0
GradientBoosting,GB-5-1,0.3548794230335813,0.41333333333333333,0.41875441364285176,0.34837319543201895,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.34837319543201895,0.34263649394084184,0.41333333333333333,0.4063193617976227,0.34342006480705045,0.345374297523921,0.3464734238177891,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.40758999902558946,0.40988013506837895,0.41115061038113104,0.2359342440379718,0.24125878545773022,12.0,0.0,9.0,6.0,4.0,6.0,2.0,20.0,11.0,5.0,48.0,67.0,38.0,46.0,57.0,9.0,6.0,8.0,12.0,9.0
GradientBoosting,GB-6-1,0.3672222222222222,0.44,0.4423333333333333,0.3631473102061337,0.44,0.44,0.44,0.3631473102061337,0.3562349930770983,0.44,0.4316977759083022,0.3580787005877866,0.36018877740616867,0.3612993634548535,0.44,0.44,0.44,0.43416296495714995,0.43661300631735417,0.4378884082973987,0.26948051948051943,0.2745115274479492,14.0,0.0,9.0,7.0,3.0,4.0,2.0,18.0,13.0,5.0,50.0,67.0,40.0,44.0,57.0,7.0,6.0,8.0,11.0,10.0
GradientBoosting,GB-7-1,0.5423809523809524,0.5066666666666667,0.5590793650793651,0.46517991812109455,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.46517991812109455,0.47831409782629286,0.5066666666666667,0.5102305102305102,0.4671024403561573,0.4656671864814477,0.46535594300325955,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.5050077541656667,0.5053871807677689,0.5058080496463581,0.35823311748381137,0.36355264575893664,15.0,2.0,8.0,9.0,4.0,5.0,3.0,16.0,12.0,1.0,49.0,66.0,42.0,45.0,61.0,6.0,4.0,9.0,9.0,9.0
GradientBoosting,GB-8-1,0.5091428571428571,0.49333333333333335,0.5166476190476191,0.43250017955900305,0.49333333333333335,0.49333333333333335,0.49333333333333335,0.43250017955900305,0.442781954887218,0.4933333333333334,0.4875288220551379,0.4328460067756904,0.43212324102139255,0.432148825703643,0.4933333333333333,0.4933333333333333,0.4933333333333334,0.4881669229733033,0.49030093984787715,0.49144095918846753,0.3365921787709497,0.34152063929419374,15.0,1.0,9.0,8.0,4.0,6.0,1.0,16.0,12.0,3.0,48.0,68.0,42.0,45.0,59.0,6.0,5.0,8.0,10.0,9.0
GradientBoosting,GB-9-1,0.3875757575757576,0.48,0.45834343434343433,0.4043740573152338,0.48,0.48,0.48,0.4043740573152338,0.3927043217800598,0.48,0.4655812294965055,0.39876307267611616,0.40139287099311627,0.40257597718733623,0.48,0.47999999999999987,0.48,0.4731866362301145,0.4763976715498794,0.4778314292736333,0.31881695388914766,0.32247179728570396,14.0,0.0,8.0,9.0,5.0,6.0,0.0,16.0,11.0,6.0,48.0,69.0,42.0,46.0,56.0,7.0,6.0,9.0,9.0,8.0
GradientBoosting,GB-10-1,0.45588972431077696,0.4666666666666667,0.4833249791144528,0.4127989657401422,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4127989657401422,0.4209913934304178,0.4666666666666667,0.46503403913160013,0.41364801122423095,0.41284385526193923,0.41273445766540257,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4639713786145519,0.464982752193998,0.4655942297273261,0.3052339045854563,0.30874314388991786,13.0,1.0,8.0,9.0,4.0,6.0,2.0,16.0,12.0,4.0,48.0,67.0,42.0,45.0,58.0,8.0,5.0,9.0,9.0,9.0
