model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef,tp_HV,tp_CS,tp_PA,tp_PHT,tp_PPGL,fp_HV,fp_CS,fp_PA,fp_PHT,fp_PPGL,tn_HV,tn_CS,tn_PA,tn_PHT,tn_PPGL,fn_HV,fn_CS,fn_PA,fn_PHT,fn_PPGL
KNearestNeighbours,KNN-1-1,0.5577777777777777,0.5466666666666666,0.5786666666666667,0.49171873877756234,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.49171873877756234,0.49334260829239307,0.5466666666666666,0.5346684636899846,0.4888815512878481,0.48981382653988403,0.4904849852654821,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5385880472462182,0.5421555997045918,0.5439020795501274,0.4079405618760158,0.41487252861769924,17.0,2.0,9.0,10.0,3.0,7.0,3.0,15.0,8.0,1.0,47.0,66.0,43.0,49.0,61.0,4.0,4.0,8.0,8.0,10.0
KNearestNeighbours,KNN-2-1,0.5759103641456582,0.48,0.5347525676937441,0.4226028873087696,0.48,0.48,0.48,0.4226028873087696,0.4329210237870892,0.48,0.4751201481965784,0.42180110658124637,0.4214967572404169,0.42178435214392007,0.48,0.47999999999999987,0.48,0.4743646864686468,0.476570201065929,0.47783053541814724,0.32181776025968,0.3273440333847047,13.0,1.0,6.0,12.0,4.0,4.0,0.0,11.0,16.0,8.0,50.0,69.0,47.0,41.0,54.0,8.0,5.0,11.0,6.0,9.0
KNearestNeighbours,KNN-3-1,0.5580756843800322,0.5733333333333334,0.5724363929146538,0.495503842562666,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.495503842562666,0.49887445887445886,0.5733333333333334,0.5542366522366522,0.49283017386465655,0.49356767839818677,0.494223195403196,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5622918295332088,0.5672619740585843,0.5696284750427881,0.4393833216538192,0.44600160083726625,20.0,1.0,9.0,8.0,5.0,7.0,1.0,14.0,7.0,3.0,47.0,68.0,44.0,50.0,59.0,1.0,5.0,8.0,10.0,8.0
KNearestNeighbours,KNN-4-1,0.6360474308300396,0.5466666666666666,0.5935599472990778,0.4832507361919126,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.4832507361919126,0.4972878802147095,0.5466666666666666,0.5431515836393885,0.4852564978880768,0.48381734145158245,0.48348666386125494,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5432703904282852,0.5446962069448379,0.5454442833003101,0.407252440725244,0.41040818520116545,16.0,1.0,8.0,10.0,6.0,4.0,0.0,12.0,13.0,5.0,50.0,69.0,46.0,44.0,57.0,5.0,5.0,9.0,8.0,7.0
KNearestNeighbours,KNN-5-1,0.5081521739130435,0.6,0.5745169082125604,0.49681103210514976,0.6,0.6,0.6,0.49681103210514976,0.4780082559339525,0.6,0.5625614035087719,0.48479734119480045,0.49007281034023203,0.49266915781701587,0.6,0.6,0.6,0.5800502884894899,0.5891834484375319,0.593429731145828,0.4690891930155734,0.4815258536997682,20.0,0.0,11.0,9.0,5.0,10.0,0.0,12.0,7.0,1.0,44.0,69.0,46.0,50.0,61.0,1.0,6.0,6.0,9.0,8.0
KNearestNeighbours,KNN-6-1,0.4308181818181819,0.5333333333333333,0.498660606060606,0.44312289018171375,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.44312289018171375,0.4282780529920118,0.5333333333333333,0.5073381335166232,0.4354274697513628,0.43899352983465134,0.44062611054102946,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5210960421929709,0.5269132860908563,0.529483806412312,0.38409197559831065,0.3891993402295717,18.0,0.0,9.0,8.0,5.0,7.0,0.0,13.0,12.0,3.0,47.0,69.0,45.0,45.0,59.0,3.0,6.0,8.0,10.0,8.0
KNearestNeighbours,KNN-7-1,0.4846844319775596,0.5733333333333334,0.5454954028362163,0.4745888098829275,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.4745888098829275,0.4539577965893756,0.5733333333333334,0.5330975340449026,0.46145883102404844,0.4672150400240519,0.4700528716811106,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5517389656819942,0.5615880800564554,0.5661889385458335,0.43329397874852427,0.4461844131381832,20.0,0.0,11.0,7.0,5.0,11.0,0.0,12.0,8.0,1.0,43.0,69.0,46.0,49.0,61.0,1.0,6.0,6.0,11.0,8.0
KNearestNeighbours,KNN-8-1,0.45745484400656816,0.56,0.5233574165298304,0.46282410400057455,0.56,0.56,0.56,0.46282410400057455,0.4424094604582409,0.56,0.5230539541759054,0.4508923354431979,0.4562217953026586,0.45878385695521756,0.56,0.5599999999999999,0.56,0.5409740682381173,0.5497487249540058,0.5537866555139194,0.4172356957852602,0.4275674878006962,20.0,0.0,10.0,7.0,5.0,9.0,0.0,14.0,8.0,2.0,45.0,69.0,44.0,49.0,60.0,1.0,6.0,7.0,11.0,8.0
KNearestNeighbours,KNN-9-1,0.4420977011494253,0.5466666666666666,0.5081034482758621,0.4474394886159592,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.4474394886159592,0.4241244431020162,0.5466666666666666,0.5063750912431725,0.4341977744032247,0.4401729246143584,0.44300711028124795,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5262006768136447,0.535691583755985,0.5400273480293897,0.3988684582743989,0.4092014382139574,20.0,0.0,10.0,7.0,4.0,9.0,0.0,14.0,9.0,2.0,45.0,69.0,44.0,48.0,60.0,1.0,6.0,7.0,11.0,9.0
KNearestNeighbours,KNN-10-1,0.4550237486298868,0.56,0.5211837778589696,0.46282410400057455,0.56,0.56,0.56,0.46282410400057455,0.44326530612244897,0.56,0.5245714285714286,0.45185898656666135,0.4568256126645025,0.45916997842842877,0.56,0.5599999999999999,0.56,0.5423704746976505,0.5505996166385425,0.5543264065102559,0.417510002353495,0.4258903683002013,20.0,0.0,10.0,7.0,5.0,8.0,0.0,13.0,10.0,2.0,46.0,69.0,45.0,47.0,60.0,1.0,6.0,7.0,11.0,8.0
