model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef,tp_HV,tp_CS,tp_PA,tp_PHT,tp_PPGL,fp_HV,fp_CS,fp_PA,fp_PHT,fp_PPGL,tn_HV,tn_CS,tn_PA,tn_PHT,tn_PPGL,fn_HV,fn_CS,fn_PA,fn_PHT,fn_PPGL
LinearSVC,LSVM-1-1,0.5479114452798663,0.56,0.5649540517961571,0.5441715147597501,0.56,0.56,0.56,0.5441715147597501,0.5149073601903791,0.56,0.5307441781404046,0.5261130970703704,0.5340550461838979,0.5379507849882129,0.56,0.5599999999999999,0.56,0.5418639431666593,0.5498316857624319,0.5537455257404899,0.4284064665127021,0.44135607528575255,20.0,4.0,5.0,9.0,4.0,12.0,5.0,3.0,10.0,3.0,42.0,64.0,55.0,47.0,59.0,1.0,2.0,12.0,9.0,9.0
LinearSVC,LSVM-2-1,0.5479458450046686,0.5733333333333334,0.5728789293495176,0.5811247575953458,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5811247575953458,0.5284067566420508,0.5733333333333334,0.5418242933537052,0.5507516273338223,0.5640872919245921,0.5706141595247888,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.554000601060581,0.5624339496743261,0.5666061628599967,0.45217986761013473,0.464720223049238,20.0,5.0,4.0,9.0,5.0,10.0,7.0,3.0,8.0,4.0,44.0,62.0,55.0,49.0,58.0,1.0,1.0,13.0,9.0,8.0
LinearSVC,LSVM-3-1,0.6806390977443609,0.5866666666666667,0.6190100250626567,0.5546793076204841,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5546793076204841,0.5806656184486374,0.5866666666666667,0.5743948287910552,0.5585691912945117,0.5556015369156542,0.5549753700540622,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5758483260012353,0.580250798101894,0.582643430377818,0.455375966268447,0.46599981869600665,20.0,3.0,8.0,7.0,6.0,12.0,0.0,11.0,7.0,1.0,42.0,69.0,47.0,50.0,61.0,1.0,3.0,9.0,11.0,7.0
LinearSVC,LSVM-4-1,0.5998946886446886,0.6,0.6193885836385836,0.5814982403217697,0.6,0.6,0.6,0.5814982403217697,0.557087057265806,0.6,0.5788926404060466,0.5643314470342474,0.5715925021835896,0.5753378753547238,0.6,0.6,0.6,0.5847900368776615,0.5911972914315139,0.5945212865769886,0.4818056195301704,0.49445626746532356,21.0,4.0,7.0,8.0,5.0,11.0,6.0,6.0,6.0,1.0,43.0,63.0,52.0,51.0,61.0,0.0,2.0,10.0,10.0,8.0
LinearSVC,LSVM-5-1,0.6251656314699793,0.5333333333333333,0.5690289855072463,0.4653451124039359,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.4653451124039359,0.4741682127396413,0.5333333333333333,0.514929292929293,0.46340848806366053,0.4636310263456244,0.464163786572125,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5218618584480653,0.526961197541296,0.5294318582609989,0.38466947960618847,0.39160270427935434,18.0,1.0,9.0,7.0,5.0,10.0,0.0,14.0,8.0,3.0,44.0,69.0,44.0,49.0,59.0,3.0,5.0,8.0,11.0,8.0
LinearSVC,LSVM-6-1,0.5091931216931217,0.5466666666666666,0.5410846560846562,0.5143862673274437,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5143862673274437,0.4976559714795009,0.5466666666666666,0.5317225193107546,0.5046604220333034,0.5090063918025554,0.5110940217318876,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.538151391541222,0.5419853657328215,0.5438092592512309,0.41419710544452104,0.4183647818253777,19.0,3.0,8.0,7.0,4.0,8.0,6.0,8.0,9.0,3.0,46.0,63.0,50.0,48.0,59.0,2.0,3.0,9.0,11.0,9.0
LinearSVC,LSVM-7-1,0.6401515151515151,0.56,0.5877272727272728,0.5097895568483805,0.56,0.56,0.56,0.5097895568483805,0.5316634346046112,0.56,0.5500962436256553,0.5133276633276633,0.510840021401819,0.5102418169916462,0.56,0.5599999999999999,0.56,0.5524427224427224,0.5556746923488496,0.5573256411613668,0.4217289719626168,0.42724786087428157,18.0,2.0,9.0,8.0,5.0,9.0,0.0,13.0,8.0,3.0,45.0,69.0,45.0,49.0,59.0,3.0,4.0,8.0,10.0,8.0
LinearSVC,LSVM-8-1,0.5202380952380953,0.5466666666666666,0.5478888888888889,0.5202470731882497,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5202470731882497,0.5070253555967842,0.5466666666666666,0.5354054834054833,0.5118020222403272,0.5154708531854514,0.5172998029276706,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5393745305149542,0.5425383981184966,0.5441190489131406,0.4143316490583372,0.4189909790254448,18.0,3.0,8.0,7.0,5.0,10.0,6.0,7.0,8.0,3.0,44.0,63.0,51.0,49.0,59.0,3.0,3.0,9.0,11.0,8.0
LinearSVC,LSVM-9-1,0.6092063492063492,0.5333333333333333,0.5546455026455026,0.48691373985491626,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.48691373985491626,0.5069068775835693,0.5333333333333333,0.5217589428115743,0.4899519863164974,0.4877423364914174,0.4872412563493917,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5252318654493119,0.5287423754948877,0.5305031549220415,0.38682550805886473,0.39188335073627234,18.0,2.0,8.0,7.0,5.0,10.0,0.0,13.0,8.0,4.0,44.0,69.0,45.0,49.0,58.0,3.0,4.0,9.0,11.0,8.0
LinearSVC,LSVM-10-1,0.5323809523809524,0.56,0.5502857142857142,0.5356316885728651,0.56,0.56,0.56,0.5356316885728651,0.5284737002128306,0.56,0.5490750312489443,0.5314084146119741,0.5332861127915074,0.5341944484172055,0.56,0.5599999999999999,0.56,0.5540959042627562,0.5567804440199844,0.5580400885474804,0.43024861878453036,0.4330689132611747,18.0,3.0,8.0,7.0,6.0,9.0,4.0,8.0,8.0,4.0,45.0,65.0,50.0,49.0,58.0,3.0,3.0,9.0,11.0,7.0
