model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef,tp_HV,tp_CS,tp_PA,tp_PHT,tp_PPGL,fp_HV,fp_CS,fp_PA,fp_PHT,fp_PPGL,tn_HV,tn_CS,tn_PA,tn_PHT,tn_PPGL,fn_HV,fn_CS,fn_PA,fn_PHT,fn_PPGL
LogisticRegression,LG-1-1,0.6247487497023101,0.6533333333333333,0.6576140350877193,0.6226100696688932,0.6533333333333333,0.6533333333333333,0.6533333333333333,0.6226100696688932,0.6234879510345794,0.6533333333333333,0.6552230279059547,0.6229153199741435,0.6227550411718176,0.6226934926121779,0.6533333333333333,0.6533333333333333,0.6533333333333333,0.6540293040293039,0.6536713456166785,0.6535297490514707,0.5536736095216297,0.5538004243524808,18.0,3.0,9.0,11.0,8.0,2.0,3.0,8.0,8.0,5.0,52.0,66.0,50.0,49.0,57.0,3.0,3.0,8.0,7.0,5.0
LogisticRegression,LG-2-1,0.05600000000000001,0.28,0.07840000000000001,0.2,0.28,0.28,0.28,0.2,0.08750000000000001,0.28,0.12250000000000003,0.13207547169811323,0.1590909090909091,0.1737226277372263,0.28,0.27999999999999997,0.28,0.1849056603773585,0.22272727272727272,0.2432116788321168,0.0,0.0,21.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,69.0,58.0,57.0,62.0,0.0,6.0,17.0,18.0,13.0
LogisticRegression,LG-3-1,0.3106060606060606,0.49333333333333335,0.3842424242424243,0.3839402427637722,0.49333333333333335,0.49333333333333335,0.49333333333333335,0.3839402427637722,0.3263856362217018,0.4933333333333334,0.4112256049960968,0.3540645841840207,0.36756522446193607,0.37392436273347485,0.4933333333333333,0.4933333333333333,0.4933333333333334,0.4512283925411733,0.47032171026034814,0.4792728520508386,0.31589054248679793,0.34524099912270817,20.0,0.0,7.0,10.0,0.0,20.0,0.0,4.0,14.0,0.0,34.0,69.0,54.0,43.0,62.0,1.0,6.0,10.0,8.0,13.0
LogisticRegression,LG-4-1,0.05600000000000001,0.28,0.07840000000000001,0.2,0.28,0.28,0.28,0.2,0.08750000000000001,0.28,0.12250000000000003,0.13207547169811323,0.1590909090909091,0.1737226277372263,0.28,0.27999999999999997,0.28,0.1849056603773585,0.22272727272727272,0.2432116788321168,0.0,0.0,21.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,69.0,58.0,57.0,62.0,0.0,6.0,17.0,18.0,13.0
LogisticRegression,LG-5-1,0.6236842105263157,0.49333333333333335,0.5544210526315789,0.4264310852546146,0.49333333333333335,0.49333333333333335,0.49333333333333335,0.4264310852546146,0.4385595679713326,0.4933333333333334,0.47411781529428587,0.424538706907128,0.42459389028894734,0.42514570568656207,0.4933333333333333,0.4933333333333333,0.4933333333333334,0.48033055248844725,0.4860455577212383,0.48885918762088226,0.32814710042432815,0.3357063171734235,18.0,1.0,7.0,7.0,4.0,12.0,0.0,13.0,12.0,1.0,42.0,69.0,45.0,45.0,61.0,3.0,5.0,10.0,11.0,9.0
LogisticRegression,LG-6-1,0.05600000000000001,0.28,0.07840000000000001,0.2,0.28,0.28,0.28,0.2,0.08750000000000001,0.28,0.12250000000000003,0.13207547169811323,0.1590909090909091,0.1737226277372263,0.28,0.27999999999999997,0.28,0.1849056603773585,0.22272727272727272,0.2432116788321168,0.0,0.0,21.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,69.0,58.0,57.0,62.0,0.0,6.0,17.0,18.0,13.0
LogisticRegression,LG-7-1,0.6293706293706294,0.5866666666666667,0.6146542346542347,0.5326653738418444,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5326653738418444,0.5499076387094304,0.5866666666666667,0.5774910270766934,0.535028445373273,0.5332038263554518,0.5328331530073817,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5793591083246256,0.5824732942206149,0.5840729420097859,0.4574095682613769,0.46348345069709557,18.0,2.0,10.0,9.0,5.0,8.0,1.0,12.0,9.0,1.0,46.0,68.0,46.0,48.0,61.0,3.0,4.0,7.0,9.0,8.0
LogisticRegression,LG-8-1,0.05600000000000001,0.28,0.07840000000000001,0.2,0.28,0.28,0.28,0.2,0.08750000000000001,0.28,0.12250000000000003,0.13207547169811323,0.1590909090909091,0.1737226277372263,0.28,0.27999999999999997,0.28,0.1849056603773585,0.22272727272727272,0.2432116788321168,0.0,0.0,21.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,69.0,58.0,57.0,62.0,0.0,6.0,17.0,18.0,13.0
LogisticRegression,LG-9-1,0.6160869565217391,0.56,0.5991111111111111,0.5136177547942253,0.56,0.56,0.56,0.5136177547942253,0.5343434343434343,0.56,0.557437533227007,0.5175298777528037,0.514957110368499,0.514263041088286,0.56,0.5599999999999999,0.56,0.5556214965902646,0.557320832231821,0.5583091944436598,0.4237485448195576,0.4290180144506437,16.0,2.0,10.0,9.0,5.0,7.0,1.0,13.0,11.0,1.0,47.0,68.0,45.0,46.0,61.0,5.0,4.0,7.0,9.0,8.0
LogisticRegression,LG-10-1,0.15197255574614066,0.38666666666666666,0.1982161234991424,0.28888888888888886,0.38666666666666666,0.38666666666666666,0.38666666666666666,0.28888888888888886,0.19351351351351348,0.38666666666666666,0.25491891891891894,0.2383910545115701,0.26051024074739487,0.27128949332448793,0.38666666666666666,0.38666666666666666,0.38666666666666666,0.3167261997204535,0.34732303269852677,0.3622569035575089,0.16180758017492702,0.20872193409278658,21.0,0.0,0.0,8.0,0.0,32.0,0.0,0.0,14.0,0.0,22.0,69.0,58.0,43.0,62.0,0.0,6.0,17.0,10.0,13.0
