model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef,tp_HV,tp_CS,tp_PA,tp_PHT,tp_PPGL,fp_HV,fp_CS,fp_PA,fp_PHT,fp_PPGL,tn_HV,tn_CS,tn_PA,tn_PHT,tn_PPGL,fn_HV,fn_CS,fn_PA,fn_PHT,fn_PPGL
RandomForest,RF-1-1,0.4401985370950888,0.52,0.49821734587251826,0.435631688572865,0.52,0.52,0.52,0.435631688572865,0.4251854811854813,0.52,0.49545725385725387,0.4286406944020615,0.4316622313052106,0.43318053890935637,0.52,0.5200000000000001,0.52,0.5069679811028606,0.5129269624067946,0.515701611331574,0.36649460347254814,0.37330772543234436,18.0,0.0,8.0,7.0,6.0,11.0,1.0,14.0,8.0,2.0,43.0,68.0,44.0,49.0,60.0,3.0,6.0,9.0,11.0,7.0
RandomForest,RF-2-1,0.4543304843304844,0.56,0.5282165242165242,0.46868490986138045,0.56,0.56,0.56,0.46868490986138045,0.44903774856757667,0.56,0.5295278058645095,0.4576616767762959,0.46260572859266536,0.46496670722314015,0.56,0.5599999999999999,0.56,0.5440779832680999,0.551367206932563,0.554753410636584,0.4203747072599532,0.43082351464449326,19.0,0.0,10.0,7.0,6.0,8.0,0.0,16.0,5.0,4.0,46.0,69.0,42.0,52.0,58.0,2.0,6.0,7.0,11.0,7.0
RandomForest,RF-3-1,0.6543374741200828,0.5733333333333334,0.6048840579710145,0.4977447389212094,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.4977447389212094,0.5044526901669759,0.5733333333333334,0.5522366522366522,0.4948203233548062,0.49551068759926054,0.49625099175380916,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5606091743505537,0.5663025332604338,0.5690362747652307,0.43741209563994365,0.44529594526829686,19.0,1.0,10.0,8.0,5.0,9.0,0.0,13.0,7.0,3.0,45.0,69.0,45.0,50.0,59.0,2.0,5.0,7.0,10.0,8.0
RandomForest,RF-4-1,0.6797619047619048,0.6,0.6370634920634921,0.5183796595561302,0.6,0.6,0.6,0.5183796595561302,0.5257072341131575,0.6,0.5795373596593109,0.5152515768693726,0.5159625111538725,0.5167578050847662,0.6,0.6,0.6,0.5869920233681608,0.5927308403885769,0.5955385407920625,0.4726974455120694,0.4824107734393209,20.0,1.0,10.0,9.0,5.0,8.0,0.0,14.0,5.0,3.0,46.0,69.0,44.0,52.0,59.0,1.0,5.0,7.0,9.0,8.0
RandomForest,RF-5-1,0.6547368421052632,0.5866666666666667,0.6084160401002506,0.5039287509875745,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5039287509875745,0.5080343716433942,0.5866666666666667,0.5616140350877193,0.500452960565722,0.5015252564389849,0.5023630984215977,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5729767023268026,0.5792803195803946,0.5821934058908406,0.4538407329105004,0.4605881214370233,19.0,1.0,9.0,11.0,4.0,9.0,0.0,10.0,9.0,3.0,45.0,69.0,48.0,48.0,59.0,2.0,5.0,8.0,7.0,9.0
RandomForest,RF-6-1,0.580276907001045,0.5866666666666667,0.5920341344479275,0.5045823457588163,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5045823457588163,0.5064216877034214,0.5866666666666667,0.5631982429679023,0.5003161233707465,0.5017121275738063,0.5027199445566015,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.572842522705202,0.5790462454170243,0.5820125405111318,0.45473733583489684,0.46375532459040314,19.0,1.0,10.0,10.0,4.0,10.0,1.0,12.0,6.0,2.0,44.0,68.0,46.0,51.0,60.0,2.0,5.0,7.0,8.0,9.0
RandomForest,RF-7-1,0.4791285403050109,0.5866666666666667,0.5548061002178648,0.48077282194929244,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.48077282194929244,0.46040100250626564,0.5866666666666667,0.5513951545530492,0.46903212970378727,0.47431722972890605,0.4768327498747989,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5687176271520923,0.5770468592054363,0.5808491896664569,0.4528124264532831,0.4635372730889526,20.0,0.0,10.0,10.0,4.0,7.0,0.0,15.0,7.0,2.0,47.0,69.0,43.0,50.0,60.0,1.0,6.0,7.0,8.0,9.0
RandomForest,RF-8-1,0.6738095238095237,0.6,0.6334920634920636,0.5141061552826258,0.6,0.6,0.6,0.5141061552826258,0.5191812600871833,0.6,0.5767855559075071,0.5100062196504653,0.5112002631958893,0.5121966331454048,0.6,0.6,0.6,0.5858765024267527,0.5921774331615774,0.5952144310482339,0.47207883622712343,0.48205840875805755,20.0,1.0,10.0,10.0,4.0,8.0,0.0,14.0,5.0,3.0,46.0,69.0,44.0,52.0,59.0,1.0,5.0,7.0,8.0,9.0
RandomForest,RF-9-1,0.47673279282387443,0.56,0.5390979242136738,0.45789700495582847,0.56,0.56,0.56,0.45789700495582847,0.43789987789987794,0.56,0.5204656084656085,0.4452120775803701,0.450807754385005,0.45354537030597053,0.56,0.5599999999999999,0.56,0.5389786222599325,0.5486178752712317,0.5530896344793355,0.4147552612910854,0.42693012300346234,20.0,0.0,9.0,9.0,4.0,11.0,0.0,13.0,8.0,1.0,43.0,69.0,45.0,49.0,61.0,1.0,6.0,8.0,9.0,9.0
RandomForest,RF-10-1,0.4587643678160919,0.56,0.5286590038314176,0.45789700495582847,0.56,0.56,0.56,0.45789700495582847,0.4378977573057464,0.56,0.5235534747917138,0.4460554819131062,0.45134539969846943,0.453889044847393,0.56,0.5599999999999999,0.56,0.5411545635066617,0.5498518495254682,0.5538514352745295,0.41654879773691655,0.4273397998369165,20.0,0.0,9.0,9.0,4.0,9.0,0.0,15.0,7.0,2.0,45.0,69.0,43.0,50.0,60.0,1.0,6.0,8.0,9.0,9.0
RandomForest,RF-11-1,0.46119190404797605,0.5733333333333334,0.5341324337831085,0.47328162034044385,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.47328162034044385,0.45432900432900436,0.5733333333333334,0.5394487734487734,0.46267385853897913,0.4674538810590746,0.4697239861359404,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5562356759640862,0.5641570564924631,0.5677792351972085,0.43542695836273815,0.4448239867200163,20.0,0.0,9.0,9.0,5.0,9.0,0.0,14.0,6.0,3.0,45.0,69.0,44.0,51.0,59.0,1.0,6.0,8.0,9.0,8.0
RandomForest,RF-12-1,0.4379310344827586,0.56,0.5144367816091954,0.45427709545356604,0.56,0.56,0.56,0.45427709545356604,0.4274868990658464,0.56,0.517582440950862,0.4396904459560115,0.4463211921530232,0.4494331347528983,0.56,0.5599999999999999,0.56,0.5386169271440024,0.548531878984304,0.5530603109102501,0.41668630685835495,0.42856774072847903,20.0,0.0,10.0,9.0,3.0,9.0,0.0,15.0,6.0,3.0,45.0,69.0,43.0,51.0,59.0,1.0,6.0,7.0,9.0,10.0
RandomForest,RF-13-1,0.4447249589490969,0.5333333333333333,0.5047974822112753,0.4451554980966746,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.4451554980966746,0.4328491817779743,0.5333333333333333,0.5061097449506119,0.4375746879152468,0.44091763498726877,0.4425529840036374,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5193921013857377,0.5258332791065897,0.528790508629848,0.38394743018070876,0.3904095211462667,19.0,0.0,8.0,7.0,6.0,10.0,1.0,13.0,9.0,2.0,44.0,68.0,45.0,48.0,60.0,2.0,6.0,9.0,11.0,7.0
RandomForest,RF-14-1,0.6618347338935574,0.5866666666666667,0.6133286647992531,0.5088558500323206,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5088558500323206,0.5156032939491586,0.5866666666666667,0.565266499582289,0.5064593365436062,0.5069800316904176,0.5075966020518421,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5744113607990012,0.5799786684965377,0.5825985592333194,0.45473733583489684,0.46134201077039044,19.0,1.0,10.0,9.0,5.0,9.0,0.0,11.0,8.0,3.0,45.0,69.0,47.0,49.0,59.0,2.0,5.0,7.0,9.0,8.0
RandomForest,RF-15-1,0.6748136645962733,0.6,0.6308840579710144,0.5183796595561302,0.6,0.6,0.6,0.5183796595561302,0.5247371675943104,0.6,0.5782106782106782,0.5152431476569408,0.5160267124892604,0.5168127732066796,0.6,0.6,0.6,0.5869022777988294,0.5927650811007836,0.5955785443768074,0.47257383966244726,0.48109143926092524,20.0,1.0,10.0,9.0,5.0,8.0,0.0,13.0,6.0,3.0,46.0,69.0,45.0,51.0,59.0,1.0,5.0,7.0,9.0,8.0
RandomForest,RF-16-1,0.46017080745341615,0.5733333333333334,0.5318840579710145,0.47552251669898726,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.47552251669898726,0.45622248899559825,0.5733333333333334,0.5400746965452847,0.4651390276390277,0.4698751665152535,0.47208836320120884,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5569916194916196,0.5646308170505344,0.5680823576155125,0.43582510578279265,0.44409164013567015,19.0,0.0,10.0,9.0,5.0,9.0,0.0,13.0,7.0,3.0,45.0,69.0,45.0,50.0,59.0,2.0,6.0,7.0,9.0,8.0
RandomForest,RF-17-1,0.4809523809523809,0.5866666666666667,0.5536507936507937,0.4886662357250593,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.4886662357250593,0.47319049629421145,0.5866666666666667,0.5565217187353411,0.4795740105252486,0.4836075001993755,0.48556292969615533,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5710480736489345,0.5782160971343777,0.5815351227129036,0.4546094299788881,0.4634004322443118,20.0,0.0,9.0,9.0,6.0,10.0,1.0,12.0,5.0,3.0,44.0,68.0,46.0,52.0,59.0,1.0,6.0,8.0,9.0,7.0
RandomForest,RF-18-1,0.6419435736677116,0.56,0.590478578892372,0.4780866192630898,0.56,0.56,0.56,0.4780866192630898,0.4783736263736264,0.56,0.5296742368742369,0.47188428297883345,0.4741416051237077,0.47557143020867887,0.56,0.5599999999999999,0.56,0.5429381911021407,0.5507289121366425,0.5543695475295378,0.4172356957852602,0.4267006496301999,19.0,1.0,10.0,9.0,3.0,10.0,0.0,12.0,9.0,2.0,44.0,69.0,46.0,48.0,60.0,2.0,5.0,7.0,9.0,10.0
RandomForest,RF-19-1,0.461574074074074,0.5733333333333334,0.5348148148148149,0.47552251669898726,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.47552251669898726,0.45701475712236117,0.5733333333333334,0.5418342784268179,0.46547288395114494,0.4700438717140297,0.47218789581229775,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5577775403862361,0.5650382078898553,0.5683255359172424,0.43635509628933766,0.4446044941372663,19.0,0.0,10.0,9.0,5.0,8.0,0.0,14.0,7.0,3.0,46.0,69.0,44.0,50.0,59.0,2.0,6.0,7.0,9.0,8.0
RandomForest,RF-20-1,0.45714285714285713,0.5733333333333334,0.5337142857142858,0.46966171083818137,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.46966171083818137,0.4475943104514533,0.5733333333333334,0.5367503607503608,0.45734319632341913,0.4629023920833162,0.46553721425469063,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5547587924645295,0.5633532168987782,0.5672901488518957,0.43542695836273815,0.4461760384299199,20.0,0.0,10.0,9.0,4.0,8.0,0.0,15.0,6.0,3.0,46.0,69.0,43.0,51.0,59.0,1.0,6.0,7.0,9.0,9.0
RandomForest,RF-21-1,0.4076894885890388,0.5066666666666667,0.4727556221889055,0.4078718666953961,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.4078718666953961,0.38555555555555554,0.5066666666666667,0.46777777777777774,0.39543469520181207,0.40110090983530594,0.4037555487972594,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.48724779955334213,0.496321866582808,0.5004259601413138,0.344900849858357,0.3537872934070337,20.0,0.0,7.0,8.0,3.0,9.0,0.0,16.0,10.0,2.0,45.0,69.0,42.0,47.0,60.0,1.0,6.0,10.0,10.0,10.0
RandomForest,RF-22-1,0.41761904761904767,0.52,0.48320634920634914,0.42122387416505064,0.52,0.52,0.52,0.42122387416505064,0.3982869261064749,0.52,0.48112846218109373,0.4089362700880509,0.41461021396833503,0.41722174213490115,0.52,0.5200000000000001,0.52,0.5011157265218138,0.5100315874144719,0.514009303774825,0.36275666745338675,0.37086412457656326,19.0,0.0,8.0,9.0,3.0,9.0,0.0,13.0,12.0,2.0,45.0,69.0,45.0,45.0,60.0,2.0,6.0,9.0,9.0,10.0
RandomForest,RF-23-1,0.4119429590017825,0.5333333333333333,0.4828163992869875,0.43074768368886013,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.43074768368886013,0.40492906474330626,0.5333333333333333,0.4907647096625425,0.41717521881676944,0.42341612027781056,0.4263007767838253,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5125306766420982,0.5222736240018054,0.526663751165141,0.3804578711352372,0.389853852482801,20.0,0.0,8.0,9.0,3.0,10.0,0.0,14.0,8.0,3.0,44.0,69.0,44.0,49.0,59.0,1.0,6.0,9.0,9.0,10.0
RandomForest,RF-24-1,0.44587991718426495,0.56,0.5184099378881988,0.45789700495582847,0.56,0.56,0.56,0.45789700495582847,0.43595365418894827,0.56,0.5218502673796792,0.44558458142388746,0.45113217338570666,0.45376707624948737,0.56,0.5599999999999999,0.56,0.5405969403570068,0.5495647302658769,0.5536784358896224,0.41668630685835495,0.4272544554934435,20.0,0.0,9.0,9.0,4.0,10.0,0.0,14.0,6.0,3.0,44.0,69.0,44.0,51.0,59.0,1.0,6.0,8.0,9.0,9.0
RandomForest,RF-25-1,0.47007966604932827,0.5466666666666666,0.5295295489510147,0.45264669970552324,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.45264669970552324,0.43869172932330824,0.5466666666666666,0.5157423558897243,0.4431372288226152,0.4472709417466971,0.44933469513448604,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5300639543938944,0.5376690625962456,0.5412038894192516,0.39872671539731197,0.40823051675144945,19.0,0.0,9.0,8.0,5.0,10.0,0.0,14.0,9.0,1.0,44.0,69.0,44.0,48.0,61.0,2.0,6.0,8.0,10.0,8.0
RandomForest,RF-26-1,0.468964368964369,0.56,0.5339260739260739,0.4621705092293328,0.56,0.56,0.56,0.4621705092293328,0.4436816469074533,0.56,0.5225604264313942,0.44980358071085885,0.4551110557562169,0.4577986914183332,0.56,0.5599999999999999,0.56,0.5390370768037768,0.5484304396562459,0.5529194336081945,0.4153082919914953,0.4296857497035578,20.0,0.0,9.0,8.0,5.0,13.0,0.0,13.0,5.0,2.0,41.0,69.0,45.0,52.0,60.0,1.0,6.0,8.0,10.0,8.0
