model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef,tp_HV,tp_CS,tp_PA,tp_PHT,tp_PPGL,fp_HV,fp_CS,fp_PA,fp_PHT,fp_PPGL,tn_HV,tn_CS,tn_PA,tn_PHT,tn_PPGL,fn_HV,fn_CS,fn_PA,fn_PHT,fn_PPGL
SupportVectorMachine,SVM-1-1,0.3157723577235772,0.49333333333333335,0.39052574525745254,0.3816993464052288,0.49333333333333335,0.49333333333333335,0.49333333333333335,0.3816993464052288,0.3208148190893877,0.4933333333333334,0.4059207109469675,0.34901486142723254,0.36363464138400203,0.3706139832761536,0.4933333333333333,0.4933333333333333,0.4933333333333334,0.4472230285178739,0.467945037186299,0.4777749063650194,0.31506849315068497,0.3486762799280734,21.0,0.0,6.0,10.0,0.0,20.0,0.0,3.0,15.0,0.0,34.0,69.0,55.0,42.0,62.0,0.0,6.0,11.0,8.0,13.0
SupportVectorMachine,SVM-2-1,0.4813238374528697,0.48,0.48271917329981845,0.4879192702722115,0.48,0.48,0.48,0.4879192702722115,0.4554051645505918,0.48,0.44799628157949,0.46966883492424644,0.4779144627605788,0.4818168471229778,0.48,0.47999999999999987,0.48,0.4612006628030893,0.469593791690671,0.47363004265503406,0.3309698078682525,0.34377211342172115,18.0,4.0,3.0,5.0,6.0,13.0,3.0,3.0,6.0,14.0,41.0,66.0,55.0,51.0,48.0,3.0,2.0,14.0,13.0,7.0
SupportVectorMachine,SVM-3-1,0.7169653524492234,0.5733333333333334,0.6553564317005177,0.5088989441930619,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5088989441930619,0.5165384615384616,0.5733333333333334,0.5404871794871795,0.5012952722334874,0.5035254018012638,0.5053630080890088,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5506364878447257,0.5604546283856627,0.5653828358238754,0.4350282485875706,0.45501857331852613,21.0,2.0,11.0,6.0,3.0,10.0,0.0,16.0,6.0,0.0,44.0,69.0,42.0,51.0,62.0,0.0,4.0,6.0,12.0,10.0
SupportVectorMachine,SVM-4-1,0.5332142857142858,0.5733333333333334,0.5534523809523809,0.5413273001508296,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5413273001508296,0.5262098855960748,0.5733333333333334,0.5501077109875063,0.5325208181744684,0.536435420559661,0.538327963966972,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5606341121621258,0.5663713990271054,0.5690847294223976,0.44636678200692037,0.45316760730814976,21.0,3.0,7.0,6.0,6.0,9.0,4.0,9.0,6.0,4.0,45.0,65.0,49.0,51.0,58.0,0.0,3.0,10.0,12.0,7.0
SupportVectorMachine,SVM-5-1,0.7225464190981432,0.5866666666666667,0.6623342175066314,0.5258708611649787,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5258708611649787,0.5439432284541723,0.5866666666666667,0.5665376196990425,0.5237594242270802,0.5234809949184358,0.5241513710858465,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5707601353732902,0.5774993484437108,0.5809811770149305,0.4539689995302959,0.46892520024797907,20.0,2.0,11.0,7.0,4.0,9.0,0.0,15.0,7.0,0.0,45.0,69.0,43.0,50.0,62.0,1.0,4.0,6.0,11.0,9.0
SupportVectorMachine,SVM-6-1,0.5664566755083996,0.5866666666666667,0.5770564397288536,0.5762479350714644,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5762479350714644,0.5585476888702695,0.5866666666666667,0.5688084531955501,0.5660380806899867,0.5705968285211119,0.5727884735528556,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5763014861150224,0.5809189212883523,0.5831453928314315,0.46490218642117376,0.4709363767304267,20.0,4.0,7.0,7.0,6.0,9.0,4.0,9.0,6.0,3.0,45.0,65.0,49.0,51.0,59.0,1.0,2.0,10.0,11.0,7.0
SupportVectorMachine,SVM-7-1,0.5708890746934225,0.5466666666666666,0.5719862504645113,0.49867844573726927,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.49867844573726927,0.5108075884329095,0.5466666666666666,0.5385196846935864,0.49971838506321264,0.49863260338061133,0.49851831306064415,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5399174388829562,0.5427566295357615,0.5442391253528012,0.40670079106561186,0.41254659751814565,18.0,2.0,9.0,7.0,5.0,8.0,2.0,14.0,9.0,1.0,46.0,67.0,44.0,48.0,61.0,3.0,4.0,8.0,11.0,8.0
SupportVectorMachine,SVM-8-1,0.5634509803921569,0.5733333333333334,0.5704522875816994,0.5741722329957624,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5741722329957624,0.5627795031055902,0.5733333333333334,0.5670590062111801,0.5680915184057738,0.5708657914035228,0.572161503157081,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5696455840753973,0.5712878817874912,0.5720806872445113,0.44966750745241924,0.4514330453627056,17.0,4.0,7.0,8.0,7.0,8.0,4.0,8.0,9.0,3.0,46.0,65.0,50.0,48.0,59.0,4.0,2.0,10.0,10.0,6.0
SupportVectorMachine,SVM-9-1,0.5554012909511631,0.56,0.5765160556976413,0.5313581842993608,0.56,0.56,0.56,0.5313581842993608,0.5315831536884168,0.56,0.5578335348861665,0.5295195362245485,0.5301566356315854,0.5305855236338813,0.56,0.5599999999999999,0.56,0.5574078515099153,0.5584497136893407,0.5590285947963805,0.4305108145421077,0.43343074708825413,18.0,3.0,8.0,8.0,5.0,5.0,4.0,13.0,9.0,2.0,49.0,65.0,45.0,48.0,60.0,3.0,3.0,9.0,10.0,8.0
SupportVectorMachine,SVM-10-1,0.5642149758454107,0.5733333333333334,0.5741231884057971,0.5741722329957624,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5741722329957624,0.5643076730033252,0.5733333333333334,0.5704134512830165,0.569003952701571,0.5713749626028024,0.5724741059889344,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5713904800187586,0.572231531099957,0.572653403106273,0.4505494505494506,0.4514802793235732,17.0,4.0,7.0,8.0,7.0,6.0,4.0,9.0,10.0,3.0,48.0,65.0,49.0,47.0,59.0,4.0,2.0,10.0,10.0,6.0
