model_id,param,value
KNN-1,n_neighbors,2
KNN-1,weights,uniform
KNN-2,n_neighbors,2
KNN-2,weights,distance
KNN-3,n_neighbors,4
KNN-3,weights,uniform
KNN-4,n_neighbors,4
KNN-4,weights,distance
KNN-5,n_neighbors,6
KNN-5,weights,uniform
KNN-6,n_neighbors,6
KNN-6,weights,distance
KNN-7,n_neighbors,8
KNN-7,weights,uniform
KNN-8,n_neighbors,8
KNN-8,weights,distance
KNN-9,n_neighbors,10
KNN-9,weights,uniform
KNN-10,n_neighbors,10
KNN-10,weights,distance
KNN-11,n_neighbors,11
KNN-11,weights,uniform
KNN-12,n_neighbors,11
KNN-12,weights,distance
KNN-13,n_neighbors,12
KNN-13,weights,uniform
KNN-14,n_neighbors,12
KNN-14,weights,distance
KNN-15,n_neighbors,13
KNN-15,weights,uniform
KNN-16,n_neighbors,13
KNN-16,weights,distance
KNN-17,n_neighbors,14
KNN-17,weights,uniform
KNN-18,n_neighbors,14
KNN-18,weights,distance
KNN-19,n_neighbors,15
KNN-19,weights,uniform
KNN-20,n_neighbors,15
KNN-20,weights,distance
KNN-21,n_neighbors,17
KNN-21,weights,uniform
KNN-22,n_neighbors,17
KNN-22,weights,distance
KNN-23,n_neighbors,20
KNN-23,weights,uniform
KNN-24,n_neighbors,20
KNN-24,weights,distance
KNN-25,n_neighbors,25
KNN-25,weights,uniform
KNN-26,n_neighbors,25
KNN-26,weights,distance
KNN-27,n_neighbors,30
KNN-27,weights,uniform
KNN-28,n_neighbors,30
KNN-28,weights,distance
KNN-29,n_neighbors,35
KNN-29,weights,uniform
KNN-30,n_neighbors,35
KNN-30,weights,distance
KNN-31,n_neighbors,40
KNN-31,weights,uniform
KNN-32,n_neighbors,40
KNN-32,weights,distance
