model_id,param,value
LG-1,penalty,none
LG-2,C,0.0001
LG-2,penalty,l1
LG-3,C,0.0001
LG-3,penalty,l2
LG-4,C,0.001
LG-4,penalty,l1
LG-5,C,0.001
LG-5,penalty,l2
LG-6,C,0.01
LG-6,penalty,l1
LG-7,C,0.01
LG-7,penalty,l2
LG-8,C,0.1
LG-8,penalty,l1
LG-9,C,0.1
LG-9,penalty,l2
LG-10,C,0.25
LG-10,penalty,l1
LG-11,C,0.25
LG-11,penalty,l2
LG-12,C,0.5
LG-12,penalty,l1
LG-13,C,0.5
LG-13,penalty,l2
LG-14,C,1
LG-14,penalty,l1
LG-15,C,1
LG-15,penalty,l2
LG-16,C,2
LG-16,penalty,l1
LG-17,C,2
LG-17,penalty,l2
LG-18,C,4
LG-18,penalty,l1
LG-19,C,4
LG-19,penalty,l2
LG-20,C,8
LG-20,penalty,l1
LG-21,C,8
LG-21,penalty,l2
LG-22,C,16
LG-22,penalty,l1
LG-23,C,16
LG-23,penalty,l2
LG-24,C,32
LG-24,penalty,l1
LG-25,C,32
LG-25,penalty,l2
LG-26,C,64
LG-26,penalty,l1
LG-27,C,64
LG-27,penalty,l2
LG-28,C,0.0001
LG-28,l1_ratio,0.2
LG-28,penalty,elasticnet
LG-29,C,0.0001
LG-29,l1_ratio,0.4
LG-29,penalty,elasticnet
LG-30,C,0.0001
LG-30,l1_ratio,0.6
LG-30,penalty,elasticnet
LG-31,C,0.0001
LG-31,l1_ratio,0.8
LG-31,penalty,elasticnet
LG-32,C,0.0001
LG-32,l1_ratio,1
LG-32,penalty,elasticnet
LG-33,C,0.001
LG-33,l1_ratio,0.2
LG-33,penalty,elasticnet
LG-34,C,0.001
LG-34,l1_ratio,0.4
LG-34,penalty,elasticnet
LG-35,C,0.001
LG-35,l1_ratio,0.6
LG-35,penalty,elasticnet
LG-36,C,0.001
LG-36,l1_ratio,0.8
LG-36,penalty,elasticnet
LG-37,C,0.001
LG-37,l1_ratio,1
LG-37,penalty,elasticnet
LG-38,C,0.01
LG-38,l1_ratio,0.2
LG-38,penalty,elasticnet
LG-39,C,0.01
LG-39,l1_ratio,0.4
LG-39,penalty,elasticnet
LG-40,C,0.01
LG-40,l1_ratio,0.6
LG-40,penalty,elasticnet
LG-41,C,0.01
LG-41,l1_ratio,0.8
LG-41,penalty,elasticnet
LG-42,C,0.01
LG-42,l1_ratio,1
LG-42,penalty,elasticnet
LG-43,C,0.1
LG-43,l1_ratio,0.2
LG-43,penalty,elasticnet
LG-44,C,0.1
LG-44,l1_ratio,0.4
LG-44,penalty,elasticnet
LG-45,C,0.1
LG-45,l1_ratio,0.6
LG-45,penalty,elasticnet
LG-46,C,0.1
LG-46,l1_ratio,0.8
LG-46,penalty,elasticnet
LG-47,C,0.1
LG-47,l1_ratio,1
LG-47,penalty,elasticnet
LG-48,C,0.25
LG-48,l1_ratio,0.2
LG-48,penalty,elasticnet
LG-49,C,0.25
LG-49,l1_ratio,0.4
LG-49,penalty,elasticnet
LG-50,C,0.25
LG-50,l1_ratio,0.6
LG-50,penalty,elasticnet
LG-51,C,0.25
LG-51,l1_ratio,0.8
LG-51,penalty,elasticnet
LG-52,C,0.25
LG-52,l1_ratio,1
LG-52,penalty,elasticnet
LG-53,C,0.5
LG-53,l1_ratio,0.2
LG-53,penalty,elasticnet
LG-54,C,0.5
LG-54,l1_ratio,0.4
LG-54,penalty,elasticnet
LG-55,C,0.5
LG-55,l1_ratio,0.6
LG-55,penalty,elasticnet
LG-56,C,0.5
LG-56,l1_ratio,0.8
LG-56,penalty,elasticnet
LG-57,C,0.5
LG-57,l1_ratio,1
LG-57,penalty,elasticnet
LG-58,C,1
LG-58,l1_ratio,0.2
LG-58,penalty,elasticnet
LG-59,C,1
LG-59,l1_ratio,0.4
LG-59,penalty,elasticnet
LG-60,C,1
LG-60,l1_ratio,0.6
LG-60,penalty,elasticnet
LG-61,C,1
LG-61,l1_ratio,0.8
LG-61,penalty,elasticnet
