model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,roc_auc_macro,roc_auc_micro,roc_auc_weighted
GaussianNaiveBayes,GNB-1-1,,,,,,,,,,,,,,,,,,,,,,,
GaussianNaiveBayes,GNB-1-2,,,,,,,,,,,,,,,,,,,,,,,
GaussianNaiveBayes,GNB-1-3,,,,,,,,,,,,,,,,,,,,,,,
GaussianNaiveBayes,GNB-1-4,,,,,,,,,,,,,,,,,,,,,,,
GaussianNaiveBayes,GNB-1-5,,,,,,,,,,,,,,,,,,,,,,,
GaussianNaiveBayes,GNB-1-6,,,,,,,,,,,,,,,,,,,,,,,
GaussianNaiveBayes,GNB-1-7,,,,,,,,,,,,,,,,,,,,,,,
GaussianNaiveBayes,GNB-1-8,,,,,,,,,,,,,,,,,,,,,,,
GaussianNaiveBayes,GNB-1-9,,,,,,,,,,,,,,,,,,,,,,,
GaussianNaiveBayes,GNB-1-10,,,,,,,,,,,,,,,,,,,,,,,
