model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,roc_auc_macro,roc_auc_micro,roc_auc_weighted
LogisticRegression,LG-1-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-2-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-3-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-4-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-5-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-6-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-7-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-8-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-9-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-10-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-11-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-12-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-13-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-14-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-15-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-16-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-17-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-18-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-19-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-20-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-21-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-22-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-23-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-24-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-25-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-26-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-27-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-28-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-29-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-30-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-31-1,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-1-2,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-2-2,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-3-2,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-4-2,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-5-2,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-6-2,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-7-2,,,,,,,,,,,,,,,,,,,,,,,
