model_id,param,value
GB-1,learning_rate,0.01
GB-1,n_estimators,10.0
GB-2,learning_rate,0.01
GB-2,n_estimators,25.0
GB-3,learning_rate,0.01
GB-3,n_estimators,50.0
GB-4,learning_rate,0.01
GB-4,n_estimators,75.0
GB-5,learning_rate,0.01
GB-5,n_estimators,100.0
GB-6,learning_rate,0.01
GB-6,n_estimators,125.0
GB-7,learning_rate,0.01
GB-7,n_estimators,150.0
GB-8,learning_rate,0.05
GB-8,n_estimators,10.0
GB-9,learning_rate,0.05
GB-9,n_estimators,25.0
GB-10,learning_rate,0.05
GB-10,n_estimators,50.0
GB-11,learning_rate,0.05
GB-11,n_estimators,75.0
GB-12,learning_rate,0.05
GB-12,n_estimators,100.0
GB-13,learning_rate,0.05
GB-13,n_estimators,125.0
GB-14,learning_rate,0.05
GB-14,n_estimators,150.0
GB-15,learning_rate,0.1
GB-15,n_estimators,10.0
GB-16,learning_rate,0.1
GB-16,n_estimators,25.0
GB-17,learning_rate,0.1
GB-17,n_estimators,50.0
GB-18,learning_rate,0.1
GB-18,n_estimators,75.0
GB-19,learning_rate,0.1
GB-19,n_estimators,100.0
GB-20,learning_rate,0.1
GB-20,n_estimators,125.0
GB-21,learning_rate,0.1
GB-21,n_estimators,150.0
GB-22,learning_rate,0.2
GB-22,n_estimators,10.0
GB-23,learning_rate,0.2
GB-23,n_estimators,25.0
GB-24,learning_rate,0.2
GB-24,n_estimators,50.0
GB-25,learning_rate,0.2
GB-25,n_estimators,75.0
GB-26,learning_rate,0.2
GB-26,n_estimators,100.0
GB-27,learning_rate,0.2
GB-27,n_estimators,125.0
GB-28,learning_rate,0.2
GB-28,n_estimators,150.0
