model_id,param,value
KNN-1,n_neighbors,2
KNN-1,weights,uniform
KNN-2,n_neighbors,2
KNN-2,weights,distance
KNN-3,n_neighbors,4
KNN-3,weights,uniform
KNN-4,n_neighbors,4
KNN-4,weights,distance
KNN-5,n_neighbors,8
KNN-5,weights,uniform
KNN-6,n_neighbors,8
KNN-6,weights,distance
KNN-7,n_neighbors,16
KNN-7,weights,uniform
KNN-8,n_neighbors,16
KNN-8,weights,distance
KNN-9,n_neighbors,32
KNN-9,weights,uniform
KNN-10,n_neighbors,32
KNN-10,weights,distance
KNN-11,n_neighbors,64
KNN-11,weights,uniform
KNN-12,n_neighbors,64
KNN-12,weights,distance
