model_id,param,value
RF-1,min_samples_split,2
RF-1,n_estimators,10
RF-2,min_samples_split,2
RF-2,n_estimators,25
RF-3,min_samples_split,2
RF-3,n_estimators,50
RF-4,min_samples_split,2
RF-4,n_estimators,75
RF-5,min_samples_split,2
RF-5,n_estimators,100
RF-6,min_samples_split,2
RF-6,n_estimators,125
RF-7,min_samples_split,2
RF-7,n_estimators,150
RF-8,min_samples_split,4
RF-8,n_estimators,10
RF-9,min_samples_split,4
RF-9,n_estimators,25
RF-10,min_samples_split,4
RF-10,n_estimators,50
RF-11,min_samples_split,4
RF-11,n_estimators,75
RF-12,min_samples_split,4
RF-12,n_estimators,100
RF-13,min_samples_split,4
RF-13,n_estimators,125
RF-14,min_samples_split,4
RF-14,n_estimators,150
RF-15,min_samples_split,8
RF-15,n_estimators,10
RF-16,min_samples_split,8
RF-16,n_estimators,25
RF-17,min_samples_split,8
RF-17,n_estimators,50
RF-18,min_samples_split,8
RF-18,n_estimators,75
RF-19,min_samples_split,8
RF-19,n_estimators,100
RF-20,min_samples_split,8
RF-20,n_estimators,125
RF-21,min_samples_split,8
RF-21,n_estimators,150
RF-22,min_samples_split,12
RF-22,n_estimators,10
RF-23,min_samples_split,12
RF-23,n_estimators,25
RF-24,min_samples_split,12
RF-24,n_estimators,50
RF-25,min_samples_split,12
RF-25,n_estimators,75
RF-26,min_samples_split,12
RF-26,n_estimators,100
RF-27,min_samples_split,12
RF-27,n_estimators,125
RF-28,min_samples_split,12
RF-28,n_estimators,150
RF-29,min_samples_split,16
RF-29,n_estimators,10
RF-30,min_samples_split,16
RF-30,n_estimators,25
RF-31,min_samples_split,16
RF-31,n_estimators,50
RF-32,min_samples_split,16
RF-32,n_estimators,75
RF-33,min_samples_split,16
RF-33,n_estimators,100
RF-34,min_samples_split,16
RF-34,n_estimators,125
RF-35,min_samples_split,16
RF-35,n_estimators,150
