model_type,id,precision,recall,accuracy,f1,fbeta_2_,fbeta_3_,fbeta_4_,cohen_kappa,matthew_coef,tp_1,tp_0,fp_1,fp_0,tn_1,tn_0,fn_1,fn_0
sim_100_50,DUM-1-1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,25,0,25,25,0,25,0
sim_100_50,DUM-1-2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,25,0,25,25,0,25,0
sim_100_55,DUM-1-1,0.56,1.0,0.56,0.717948717948718,0.8641975308641975,0.9271523178807947,0.9558232931726908,0.0,0.0,28,0,22,0,0,28,0,22
sim_100_55,DUM-1-2,0.56,1.0,0.56,0.717948717948718,0.8641975308641975,0.9271523178807947,0.9558232931726908,0.0,0.0,28,0,22,0,0,28,0,22
sim_100_60,DUM-1-1,0.6,1.0,0.6,0.75,0.8823529411764706,0.9375,0.9622641509433962,0.0,0.0,30,0,20,0,0,30,0,20
sim_100_60,DUM-1-2,0.6,1.0,0.6,0.75,0.8823529411764706,0.9375,0.9622641509433962,0.0,0.0,30,0,20,0,0,30,0,20
sim_100_65,DUM-1-1,0.64,1.0,0.64,0.7804878048780488,0.898876404494382,0.9467455621301775,0.9679715302491103,0.0,0.0,32,0,18,0,0,32,0,18
sim_100_65,DUM-1-2,0.66,1.0,0.66,0.7951807228915663,0.9065934065934066,0.9510086455331412,0.9705882352941176,0.0,0.0,33,0,17,0,0,33,0,17
sim_100_70,DUM-1-1,0.7,1.0,0.7,0.8235294117647058,0.9210526315789473,0.958904109589041,0.9754098360655737,0.0,0.0,35,0,15,0,0,35,0,15
sim_100_70,DUM-1-2,0.7,1.0,0.7,0.8235294117647058,0.9210526315789473,0.958904109589041,0.9754098360655737,0.0,0.0,35,0,15,0,0,35,0,15
sim_100_75,DUM-1-1,0.74,1.0,0.74,0.8505747126436781,0.9343434343434344,0.9660574412532638,0.9797507788161994,0.0,0.0,37,0,13,0,0,37,0,13
sim_100_75,DUM-1-2,0.76,1.0,0.76,0.8636363636363636,0.9405940594059405,0.9693877551020408,0.9817629179331308,0.0,0.0,38,0,12,0,0,38,0,12
sim_100_80,DUM-1-1,0.8,1.0,0.8,0.8888888888888888,0.9523809523809523,0.975609756097561,0.9855072463768116,0.0,0.0,40,0,10,0,0,40,0,10
sim_100_80,DUM-1-2,0.8163265306122449,1.0,0.8163265306122449,0.898876404494382,0.9569377990430622,0.9779951100244498,0.9869375907111756,0.0,0.0,40,0,9,0,0,40,0,9
sim_100_85,DUM-1-1,0.86,1.0,0.86,0.9247311827956989,0.9684684684684685,0.9839816933638444,0.9905149051490515,0.0,0.0,43,0,7,0,0,43,0,7
sim_100_85,DUM-1-2,0.86,1.0,0.86,0.9247311827956989,0.9684684684684685,0.9839816933638444,0.9905149051490515,0.0,0.0,43,0,7,0,0,43,0,7
sim_100_90,DUM-1-1,0.9,1.0,0.9,0.9473684210526315,0.9782608695652174,0.989010989010989,0.9935064935064936,0.0,0.0,45,0,5,0,0,45,0,5
sim_100_90,DUM-1-2,0.9183673469387755,1.0,0.9183673469387755,0.9574468085106383,0.982532751091703,0.9911894273127754,0.9947984395318595,0.0,0.0,45,0,4,0,0,45,0,4
sim_100_95,DUM-1-1,0.94,1.0,0.94,0.9690721649484536,0.9873949579831933,0.9936575052854123,0.9962593516209476,0.0,0.0,47,0,3,0,0,47,0,3
sim_100_95,DUM-1-2,0.96,1.0,0.96,0.9795918367346939,0.9917355371900827,0.995850622406639,0.9975550122249389,0.0,0.0,48,0,2,0,0,48,0,2
sim_1600_50,DUM-1-1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,400,0,400,400,0,400,0
sim_1600_50,DUM-1-2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,400,0,400,400,0,400,0
sim_1600_55,DUM-1-1,0.55,1.0,0.55,0.7096774193548387,0.859375,0.9243697478991597,0.9540816326530612,0.0,0.0,440,0,360,0,0,440,0,360
sim_1600_55,DUM-1-2,0.55125,1.0,0.55125,0.7107171635777598,0.859984399375975,0.9247221639756762,0.9543024439918534,0.0,0.0,441,0,359,0,0,441,0,359
sim_1600_60,DUM-1-1,0.6,1.0,0.6,0.75,0.8823529411764706,0.9375,0.9622641509433962,0.0,0.0,480,0,320,0,0,480,0,320
sim_1600_60,DUM-1-2,0.6,1.0,0.6,0.75,0.8823529411764706,0.9375,0.9622641509433962,0.0,0.0,480,0,320,0,0,480,0,320
sim_1600_65,DUM-1-1,0.65,1.0,0.65,0.7878787878787878,0.9027777777777778,0.948905109489051,0.9692982456140351,0.0,0.0,520,0,280,0,0,520,0,280
sim_1600_65,DUM-1-2,0.65,1.0,0.65,0.7878787878787878,0.9027777777777778,0.948905109489051,0.9692982456140351,0.0,0.0,520,0,280,0,0,520,0,280
sim_1600_70,DUM-1-1,0.7,1.0,0.7,0.8235294117647058,0.9210526315789473,0.958904109589041,0.9754098360655737,0.0,0.0,560,0,240,0,0,560,0,240
