model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef,tp_CS,tp_PA,tp_PHT,tp_PPGL,fp_CS,fp_PA,fp_PHT,fp_PPGL,tn_CS,tn_PA,tn_PHT,tn_PPGL,fn_CS,fn_PA,fn_PHT,fn_PPGL
GradientBoosting,GB-1-1,0.5859250398724083,0.5660377358490566,0.5690770665944449,0.5307440925087984,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.5307440925087984,0.5482456140350876,0.5660377358490566,0.5623965574313141,0.5360266295423717,0.5331354086804668,0.5320927396643763,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.5636063369932285,0.5646727988626847,0.5651995849036433,0.38058943089430897,0.38223062425039767,2.0,10.0,12.0,6.0,1.0,10.0,7.0,5.0,47.0,25.0,29.0,35.0,3.0,8.0,5.0,7.0
GradientBoosting,GB-2-1,0.5544258373205742,0.5849056603773585,0.5747494809063827,0.5401080945198592,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.5401080945198592,0.5444819819819819,0.5849056603773585,0.5777239503654598,0.5412535261673193,0.5405842563560822,0.5403651129092819,0.5849056603773585,0.5849056603773586,0.5849056603773585,0.5815534678579571,0.5831510387767916,0.583854602383695,0.4114083796062594,0.4124851010709321,2.0,11.0,13.0,5.0,2.0,8.0,6.0,6.0,46.0,27.0,30.0,34.0,3.0,7.0,4.0,8.0
GradientBoosting,GB-3-1,0.5892857142857143,0.6037735849056604,0.6033243486073674,0.5232277526395174,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5232277526395174,0.532690993217309,0.6037735849056604,0.5892072178070191,0.5236435937338795,0.5229551438342317,0.5229558856203544,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5954422607962181,0.5992213979532487,0.6010038714546295,0.4283513097072419,0.4342993717659169,1.0,12.0,13.0,6.0,1.0,9.0,8.0,3.0,47.0,26.0,28.0,37.0,4.0,6.0,4.0,7.0
GradientBoosting,GB-4-1,0.6829710144927535,0.660377358490566,0.6772855710509524,0.6063474107591754,0.660377358490566,0.660377358490566,0.660377358490566,0.6063474107591754,0.6283417801710485,0.660377358490566,0.6569043933517011,0.612144395075773,0.6087897107633948,0.6076763872460467,0.6603773584905659,0.660377358490566,0.660377358490566,0.6565576626397627,0.6580788832526667,0.6589319665567525,0.5125191619826265,0.5189351358717468,2.0,13.0,13.0,7.0,1.0,10.0,5.0,2.0,47.0,25.0,31.0,38.0,3.0,5.0,4.0,6.0
GradientBoosting,GB-5-1,0.5128920786815523,0.5660377358490566,0.5505802814640948,0.4909250879839115,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.4909250879839115,0.49075867825867825,0.5660377358490566,0.5489424310179026,0.4886139242874809,0.48941122950100846,0.48994852102385733,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.557116178991137,0.561229211445515,0.5631244104936257,0.3783783783783784,0.3830778801021826,1.0,10.0,14.0,5.0,2.0,9.0,8.0,4.0,46.0,26.0,28.0,36.0,4.0,8.0,3.0,8.0
GradientBoosting,GB-6-1,0.5544997486173957,0.5849056603773585,0.5849056603773585,0.5544997486173957,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.5544997486173957,0.5544997486173957,0.5849056603773585,0.5849056603773585,0.5544997486173957,0.5544997486173957,0.5544997486173957,0.5849056603773585,0.5849056603773586,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.41758241758241765,0.4175824175824176,2.0,10.0,11.0,8.0,3.0,8.0,6.0,5.0,45.0,27.0,30.0,35.0,3.0,8.0,6.0,5.0
GradientBoosting,GB-7-1,0.5878740970072239,0.6226415094339622,0.6242965905329362,0.5830945198592258,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.5830945198592258,0.5851192368839429,0.6226415094339622,0.6230698623151453,0.5838194893341953,0.5834430495826752,0.5832961730739084,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.6227192618702052,0.6226649438342073,0.62265156636738,0.4692038057085629,0.4694409987201521,2.0,11.0,12.0,8.0,3.0,8.0,5.0,4.0,45.0,27.0,31.0,36.0,3.0,7.0,5.0,5.0
GradientBoosting,GB-8-1,0.5712568681318682,0.6226415094339622,0.6209007187780773,0.547800402212167,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.547800402212167,0.554341491841492,0.6226415094339622,0.6188261424110482,0.5494958232510827,0.5485104035308953,0.5481857492829171,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.6205071644683701,0.6214766391459865,0.6219328143004944,0.46329113924050624,0.4650084262139805,1.0,11.0,13.0,8.0,2.0,10.0,3.0,5.0,46.0,25.0,33.0,35.0,4.0,7.0,4.0,5.0
GradientBoosting,GB-9-1,0.6373737373737374,0.660377358490566,0.6609872307985515,0.6116892911010559,0.660377358490566,0.660377358490566,0.660377358490566,0.6116892911010559,0.6213868003341687,0.660377358490566,0.6582241767941867,0.614893792029788,0.6131844606938591,0.6125432747067135,0.6603773584905659,0.660377358490566,0.660377358490566,0.6589673439884249,0.6595834868462193,0.6598890418945498,0.5181818181818182,0.5195422225897377,2.0,12.0,13.0,8.0,2.0,8.0,5.0,3.0,46.0,27.0,31.0,37.0,3.0,6.0,4.0,5.0
GradientBoosting,GB-10-1,0.5583333333333333,0.5660377358490566,0.5748427672955975,0.4884741075917547,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.4884741075917547,0.4997264963297572,0.5660377358490566,0.5548039429807272,0.48910361056410695,0.4881795028281039,0.48815373258832306,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.5581534881396706,0.5615037908499093,0.5632233503110416,0.3735868448098665,0.38254638973543026,1.0,13.0,11.0,5.0,1.0,13.0,4.0,5.0,47.0,22.0,32.0,35.0,4.0,5.0,6.0,8.0
GradientBoosting,GB-11-1,0.6277526395173454,0.6226415094339622,0.6251572327044025,0.5777526395173453,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.5777526395173453,0.5939807096927839,0.6226415094339622,0.6201588877855014,0.5828251032854613,0.5800878043525102,0.5790800269893112,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.6210008203445448,0.6217257585182112,0.6220805791162691,0.46356275303643724,0.4645568030155831,2.0,12.0,12.0,7.0,1.0,8.0,5.0,6.0,47.0,27.0,31.0,34.0,3.0,6.0,5.0,6.0
GradientBoosting,GB-12-1,0.6270337301587301,0.6792452830188679,0.6783842467804732,0.6317370537958773,0.6792452830188679,0.6792452830188679,0.6792452830188679,0.6317370537958773,0.6284313725490196,0.6792452830188679,0.6776174620791713,0.6301929175475687,0.630928469786411,0.6312526058272429,0.6792452830188679,0.6792452830188679,0.6792452830188679,0.6783178427539989,0.6787362617077812,0.6789349437442099,0.5512948207171315,0.552120318789765,2.0,11.0,14.0,9.0,3.0,5.0,4.0,5.0,45.0,30.0,32.0,35.0,3.0,7.0,3.0,4.0
GradientBoosting,GB-13-1,0.665625,0.6415094339622641,0.6577830188679245,0.6392533936651583,0.6415094339622641,0.6415094339622641,0.6415094339622641,0.6392533936651583,0.6451612903225806,0.6415094339622641,0.643280030985448,0.6397270114942528,0.6391542275319515,0.6391114034364878,0.641509433962264,0.641509433962264,0.6415094339622641,0.6405141431979428,0.6407048416276796,0.6409593781367259,0.4997516145057129,0.5042637557553136,3.0,9.0,13.0,9.0,1.0,6.0,3.0,9.0,47.0,29.0,33.0,31.0,2.0,9.0,4.0,4.0
