model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef,tp_CS,tp_PA,tp_PHT,tp_PPGL,fp_CS,fp_PA,fp_PHT,fp_PPGL,tn_CS,tn_PA,tn_PHT,tn_PPGL,fn_CS,fn_PA,fn_PHT,fn_PPGL
LinearSVC,LSVM-1-1,0.4289772727272727,0.49056603773584906,0.49292452830188677,0.4407114127702363,0.49056603773584906,0.49056603773584906,0.49056603773584906,0.4407114127702363,0.4241556145004421,0.49056603773584906,0.47964633068081347,0.43157600640657867,0.4357032163483122,0.4376557319492102,0.49056603773584906,0.490566037735849,0.4905660377358491,0.48359464362391164,0.48664566024623385,0.48815364974101644,0.2988731014208722,0.3051529199289272,1.0,5.0,14.0,6.0,7.0,6.0,8.0,6.0,41.0,29.0,28.0,34.0,4.0,13.0,3.0,7.0
LinearSVC,LSVM-2-1,0.41503288378288383,0.4716981132075472,0.4779363718042963,0.42600553041729516,0.4716981132075472,0.4716981132075472,0.4716981132075472,0.42600553041729516,0.4111056819768254,0.4716981132075472,0.46429634468534586,0.41791294700967097,0.42159037116088804,0.42331685694480614,0.4716981132075472,0.4716981132075472,0.4716981132075472,0.46660894767780653,0.46880863755529767,0.4699149347993586,0.2743276283618582,0.2793837173512468,1.0,5.0,13.0,6.0,7.0,6.0,8.0,7.0,41.0,29.0,28.0,33.0,4.0,13.0,4.0,7.0
LinearSVC,LSVM-3-1,0.5100694444444445,0.5849056603773585,0.5761268343815513,0.5261814982403217,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.5261814982403217,0.5145474137931034,0.5849056603773585,0.5763012361743657,0.5206737346101231,0.5232831130857446,0.5244412761393665,0.5849056603773585,0.5849056603773586,0.5849056603773585,0.5804855070593397,0.582532302740843,0.5834698802911962,0.4222001982160555,0.4249381315346701,1.0,7.0,14.0,9.0,4.0,7.0,4.0,7.0,44.0,28.0,32.0,33.0,4.0,11.0,3.0,4.0
LinearSVC,LSVM-4-1,0.5356442577030812,0.5849056603773585,0.5917340521114106,0.5569507290095526,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.5569507290095526,0.5414478291316527,0.5849056603773585,0.5843441150044925,0.5494728629235642,0.5529831687919923,0.5545598038543027,0.5849056603773585,0.5849056603773586,0.5849056603773585,0.5837476844726686,0.5841689756784096,0.5844337611579257,0.4278704612365064,0.43043494044648,2.0,7.0,14.0,8.0,5.0,7.0,3.0,7.0,43.0,28.0,33.0,33.0,3.0,11.0,3.0,5.0
LinearSVC,LSVM-5-1,0.5324248120300752,0.6037735849056604,0.5874237480493687,0.5400703871292106,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5400703871292106,0.5343137254901961,0.6037735849056604,0.5937846836847946,0.5373236677115987,0.538624056008926,0.5392019946075832,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5993449458804045,0.6014868455842263,0.602410865453587,0.4423847695390781,0.44350249959725435,1.0,8.0,14.0,9.0,3.0,8.0,5.0,5.0,45.0,27.0,31.0,35.0,4.0,10.0,3.0,4.0
LinearSVC,LSVM-6-1,0.5611504723346828,0.6037735849056604,0.6148626282687852,0.6024258421317245,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.6024258421317245,0.5667582417582417,0.6037735849056604,0.598292902066487,0.5836096374889479,0.5921022419619051,0.5961126431967969,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5988939492517893,0.6008441223296499,0.6019259576569941,0.45865758754863817,0.4650283569581845,3.0,7.0,15.0,7.0,6.0,5.0,4.0,6.0,42.0,30.0,32.0,34.0,2.0,11.0,2.0,6.0
LinearSVC,LSVM-7-1,0.5621794871794872,0.5849056603773585,0.570440251572327,0.5569507290095526,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.5569507290095526,0.5552283973336605,0.5849056603773585,0.573300031095463,0.5552167466396447,0.5559064519572159,0.556293120873427,0.5849056603773585,0.5849056603773586,0.5849056603773585,0.5791603615194735,0.5818419115824047,0.5830564183894171,0.4149523331660814,0.4177025525808066,2.0,7.0,14.0,8.0,2.0,8.0,7.0,5.0,46.0,27.0,29.0,35.0,3.0,11.0,3.0,5.0
LinearSVC,LSVM-8-1,0.5249999999999999,0.5660377358490566,0.5479784366576819,0.5430618401206637,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.5430618401206637,0.5310873373373374,0.5660377358490566,0.5531805390295956,0.5375880902043693,0.5402111671807873,0.5413573625335396,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.5600110362067361,0.5628777427848977,0.5641433687962474,0.3935323383084578,0.3960953827336006,2.0,6.0,14.0,8.0,3.0,8.0,6.0,6.0,45.0,27.0,30.0,34.0,3.0,12.0,3.0,5.0
LinearSVC,LSVM-9-1,0.5396853146853147,0.5849056603773585,0.5641245546905924,0.5577677224736048,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.5577677224736048,0.5429280397022332,0.5849056603773585,0.5668804719322067,0.5504147812971343,0.5538461538461539,0.5554004965134534,0.5849056603773585,0.5849056603773586,0.5849056603773585,0.575841657417684,0.5800539083557952,0.5819729383635859,0.4190333831589438,0.42434047452690515,2.0,6.0,15.0,8.0,3.0,7.0,7.0,5.0,45.0,28.0,29.0,35.0,3.0,12.0,2.0,5.0
LinearSVC,LSVM-10-1,0.49469696969696964,0.5471698113207547,0.5107489994282447,0.529989944695827,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.529989944695827,0.5041303524062145,0.5471698113207547,0.5183209763561099,0.5178280285320386,0.5236043340089582,0.526159289697852,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.5333058508322222,0.5398503049282851,0.5427697087775423,0.36936043629152215,0.3766708017678492,2.0,4.0,15.0,8.0,3.0,7.0,7.0,7.0,45.0,28.0,29.0,33.0,3.0,14.0,2.0,5.0
