model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef,tp_CS,tp_PA,tp_PHT,tp_PPGL,fp_CS,fp_PA,fp_PHT,fp_PPGL,tn_CS,tn_PA,tn_PHT,tn_PPGL,fn_CS,fn_PA,fn_PHT,fn_PPGL
LogisticRegression,LG-1-1,0.48353174603174603,0.5094339622641509,0.5186133572926025,0.5206636500754148,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5206636500754148,0.48306203931203934,0.5094339622641509,0.5019818274535256,0.4993274096281149,0.5086585299735589,0.5132423488076112,0.5094339622641509,0.509433962264151,0.5094339622641509,0.5030897509758313,0.5056025093651879,0.507007694090391,0.32780487804878056,0.33317728483959913,3.0,6.0,13.0,5.0,7.0,8.0,7.0,4.0,41.0,27.0,29.0,36.0,2.0,12.0,4.0,8.0
LogisticRegression,LG-2-1,0.08018867924528301,0.32075471698113206,0.10288358846564613,0.25,0.32075471698113206,0.32075471698113206,0.32075471698113206,0.25,0.12142857142857143,0.32075471698113206,0.1557951482479784,0.1756198347107438,0.20631067961165048,0.22230769230769232,0.320754716981132,0.320754716981132,0.32075471698113206,0.2253235615156713,0.26470049459607986,0.28522496371552974,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,36.0,0.0,48.0,35.0,0.0,40.0,5.0,18.0,0.0,13.0
LogisticRegression,LG-3-1,0.19047619047619047,0.39622641509433965,0.25067385444743934,0.30392156862745096,0.39622641509433965,0.39622641509433965,0.39622641509433965,0.30392156862745096,0.22756410256410253,0.39622641509433965,0.2982583454281567,0.26537216828478966,0.2828014184397163,0.2909880564603692,0.39622641509433965,0.39622641509433965,0.39622641509433965,0.34676680710752883,0.36912886391007627,0.3796324749554422,0.10264550264550254,0.1221474544732159,0.0,6.0,15.0,0.0,0.0,12.0,20.0,0.0,48.0,23.0,16.0,40.0,5.0,12.0,2.0,13.0
LogisticRegression,LG-4-1,0.08490566037735849,0.33962264150943394,0.11534353862584548,0.25,0.33962264150943394,0.33962264150943394,0.33962264150943394,0.25,0.1267605633802817,0.33962264150943394,0.17220302949774116,0.18,0.20930232558139533,0.2243401759530792,0.33962264150943394,0.33962264150943394,0.33962264150943394,0.24452830188679245,0.2843352347520842,0.30476401261550384,0.0,0.0,0.0,18.0,0.0,0.0,0.0,35.0,0.0,0.0,48.0,0.0,36.0,40.0,5.0,0.0,17.0,13.0
LogisticRegression,LG-5-1,0.5046153846153846,0.5283018867924528,0.5810159651669086,0.4110105580693816,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.4110105580693816,0.36899224806201547,0.5283018867924528,0.46382916483837944,0.38710568431998565,0.3979753404663033,0.40307991713099245,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.49435853762357007,0.5100333108319268,0.5172372170903178,0.2993125330512957,0.3261823644104348,0.0,12.0,14.0,2.0,0.0,13.0,12.0,0.0,48.0,22.0,24.0,40.0,5.0,6.0,3.0,11.0
LogisticRegression,LG-6-1,0.08018867924528301,0.32075471698113206,0.10288358846564613,0.25,0.32075471698113206,0.32075471698113206,0.32075471698113206,0.25,0.12142857142857143,0.32075471698113206,0.1557951482479784,0.1756198347107438,0.20631067961165048,0.22230769230769232,0.320754716981132,0.320754716981132,0.32075471698113206,0.2253235615156713,0.26470049459607986,0.28522496371552974,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,36.0,0.0,48.0,35.0,0.0,40.0,5.0,18.0,0.0,13.0
LogisticRegression,LG-7-1,0.46924603174603174,0.6226415094339622,0.5694070080862533,0.5133232780291603,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.5133232780291603,0.4897397397397397,0.6226415094339622,0.594103537499764,0.5034722222222222,0.5083236503944266,0.5103639598502612,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.6107061177815893,0.6165814281278021,0.61905385613062,0.45863125638406543,0.4618950468684532,0.0,10.0,15.0,8.0,1.0,8.0,5.0,6.0,47.0,27.0,31.0,34.0,5.0,8.0,2.0,5.0
LogisticRegression,LG-8-1,0.4808823529411764,0.6226415094339622,0.5811320754716981,0.5018225238813474,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.5018225238813474,0.4840444082771448,0.6226415094339622,0.5928107987172794,0.49266642140727257,0.4968649295871808,0.4988102440181355,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.6080961903933819,0.6148781281906202,0.6179501625708801,0.44849115504682624,0.46131968727868067,0.0,13.0,14.0,6.0,0.0,13.0,3.0,4.0,48.0,22.0,33.0,36.0,5.0,5.0,3.0,7.0
LogisticRegression,LG-9-1,0.5610795454545454,0.6037735849056604,0.5946397941680961,0.560972850678733,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.560972850678733,0.5550954160928586,0.6037735849056604,0.5922442176845497,0.5571419843597263,0.5588004448882092,0.5596315801791504,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5973874472048545,0.600269517932052,0.6016354206196021,0.441265060240964,0.44556257812568933,2.0,9.0,15.0,6.0,3.0,7.0,7.0,4.0,45.0,28.0,29.0,36.0,3.0,9.0,2.0,7.0
LogisticRegression,LG-10-1,0.7237394957983193,0.6415094339622641,0.6752021563342318,0.5571644042232278,0.6415094339622641,0.6415094339622641,0.6415094339622641,0.5571644042232278,0.5726914697502933,0.6415094339622641,0.6317798204590658,0.5592722426213887,0.5577523915171831,0.557409041441975,0.641509433962264,0.641509433962264,0.6415094339622641,0.6357984681173969,0.6384301904860358,0.6396480439650739,0.48491048593350394,0.4883896943756236,1.0,12.0,14.0,7.0,0.0,9.0,3.0,7.0,48.0,26.0,33.0,33.0,4.0,6.0,3.0,6.0
LogisticRegression,LG-11-1,0.5224089635854342,0.5471698113207547,0.5432905237566725,0.5176721970839618,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.5176721970839618,0.5157731284733573,0.5471698113207547,0.5404294164451325,0.515911562160203,0.5166236889912937,0.5170144398013097,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.5433196331730802,0.5450485744562659,0.5458740360906754,0.3611250627825213,0.36352524358534705,2.0,8.0,13.0,6.0,3.0,9.0,8.0,4.0,45.0,26.0,28.0,36.0,3.0,10.0,4.0,7.0
LogisticRegression,LG-12-1,0.5467105263157894,0.5849056603773585,0.5684210526315789,0.5355832076420312,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.5355832076420312,0.5372489193999492,0.5849056603773585,0.5733440793671354,0.5354177749834761,0.53536824699877,0.5354251958042273,0.5849056603773585,0.5849056603773586,0.5849056603773585,0.5795455133054288,0.5821063150368575,0.583230318729606,0.40991902834008087,0.4118598161241576,2.0,11.0,14.0,4.0,2.0,9.0,5.0,6.0,46.0,26.0,31.0,34.0,3.0,7.0,3.0,9.0
LogisticRegression,LG-13-1,0.49112554112554113,0.5283018867924528,0.5222902883280242,0.5037833081950729,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5037833081950729,0.49302232854864436,0.5283018867924528,0.5204929132436581,0.49836044750806474,0.500878381378852,0.5020269368495812,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.52397476907503,0.5259307133360275,0.5268560610293802,0.34046789447486303,0.3430318480676008,2.0,7.0,13.0,6.0,4.0,8.0,8.0,5.0,44.0,27.0,28.0,35.0,3.0,11.0,4.0,7.0
LogisticRegression,LG-14-1,0.5396597554492292,0.5849056603773585,0.5774527800347066,0.5409250879839115,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.5409250879839115,0.5393018018018018,0.5849056603773585,0.5801206867244603,0.5400573586620098,0.5404561595344254,0.5406408593481137,0.5849056603773585,0.5849056603773586,0.5849056603773585,0.5827556481352004,0.5837925478525704,0.5842417537450071,0.41495233316608127,0.41558544542412773,2.0,10.0,14.0,5.0,3.0,9.0,4.0,6.0,45.0,26.0,32.0,34.0,3.0,8.0,3.0,8.0
LogisticRegression,LG-15-1,0.4744047619047619,0.5094339622641509,0.5148697214734951,0.48989441930618405,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.48989441930618405,0.47216049111072,0.5094339622641509,0.503823569461927,0.4800470282097009,0.48445874078465695,0.4865670251488684,0.5094339622641509,0.509433962264151,0.5094339622641509,0.505110131526037,0.5069063735461462,0.5078562789642028,0.3211822660098522,0.32518739643263483,2.0,6.0,13.0,6.0,6.0,8.0,8.0,4.0,42.0,27.0,28.0,36.0,3.0,12.0,4.0,7.0
LogisticRegression,LG-16-1,0.5026069518716578,0.5283018867924528,0.5284734133790738,0.4976244343891403,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.4976244343891403,0.49905830753353975,0.5283018867924528,0.5272260840781198,0.49795954613729554,0.49775321186166777,0.49769086339392543,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5276052449965494,0.5279098849263943,0.5280607649436805,0.33483935742971893,0.3355213983864765,2.0,9.0,12.0,5.0,3.0,11.0,5.0,6.0,45.0,24.0,31.0,34.0,3.0,9.0,5.0,8.0
LogisticRegression,LG-17-1,0.4744047619047619,0.5094339622641509,0.5148697214734951,0.48989441930618405,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.48989441930618405,0.47216049111072,0.5094339622641509,0.503823569461927,0.4800470282097009,0.48445874078465695,0.4865670251488684,0.5094339622641509,0.509433962264151,0.5094339622641509,0.505110131526037,0.5069063735461462,0.5078562789642028,0.3211822660098522,0.32518739643263483,2.0,6.0,13.0,6.0,6.0,8.0,8.0,4.0,42.0,27.0,28.0,36.0,3.0,12.0,4.0,7.0
LogisticRegression,LG-18-1,0.4486519607843137,0.4716981132075472,0.4671938586755457,0.48672699849170437,0.4716981132075472,0.4716981132075472,0.4716981132075472,0.48672699849170437,0.45948399426660297,0.4716981132075472,0.4652453371075192,0.47326200029140514,0.47948707061537144,0.4823366413550769,0.4716981132075472,0.4716981132075472,0.4716981132075472,0.467924540797818,0.4695853015603358,0.47039747103942686,0.267883571780957,0.2692191453391404,3.0,6.0,12.0,4.0,5.0,11.0,6.0,6.0,43.0,24.0,30.0,34.0,2.0,12.0,5.0,9.0
LogisticRegression,LG-19-1,0.5119047619047619,0.5283018867924528,0.5390835579514824,0.539894419306184,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.539894419306184,0.5083091250854409,0.5283018867924528,0.5210442487006539,0.5220547364882201,0.5299453898591829,0.5337735866973584,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5221594268683595,0.5246371137717918,0.5259955361058863,0.3498527968596663,0.3554344055267077,3.0,6.0,13.0,6.0,6.0,8.0,8.0,3.0,42.0,27.0,28.0,37.0,2.0,12.0,4.0,7.0
LogisticRegression,LG-20-1,0.4682748538011696,0.5094339622641509,0.5215601897826326,0.48455253896430367,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.48455253896430367,0.46674038521864614,0.5094339622641509,0.5093374859576664,0.4743696700037079,0.47884133431225445,0.4810300436348862,0.5094339622641509,0.509433962264151,0.5094339622641509,0.5077094745384458,0.5082536483994577,0.5086581047293467,0.3248407643312101,0.32790921609265433,2.0,7.0,13.0,5.0,7.0,8.0,6.0,5.0,41.0,27.0,30.0,35.0,3.0,11.0,4.0,8.0
