model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef,tp_CS,tp_PA,tp_PHT,tp_PPGL,fp_CS,fp_PA,fp_PHT,fp_PPGL,tn_CS,tn_PA,tn_PHT,tn_PPGL,fn_CS,fn_PA,fn_PHT,fn_PPGL
SupportVectorMachine,SVM-1-1,0.18188854489164086,0.37735849056603776,0.23932472691161866,0.2892156862745098,0.37735849056603776,0.37735849056603776,0.37735849056603776,0.2892156862745098,0.21833598304186536,0.3773584905660377,0.28624851266360696,0.2539862098685628,0.2700387035778651,0.2775063336952588,0.37735849056603776,0.37735849056603776,0.37735849056603776,0.33208929435344525,0.3527193123773963,0.36231468392982746,0.07411328745367918,0.0870491915937668,0.0,6.0,14.0,0.0,0.0,13.0,20.0,0.0,48.0,22.0,16.0,40.0,5.0,12.0,3.0,13.0
SupportVectorMachine,SVM-2-1,0.4320409982174688,0.49056603773584906,0.49049877240776246,0.4505781799899447,0.49056603773584906,0.49056603773584906,0.49056603773584906,0.4505781799899447,0.42237762237762233,0.49056603773584906,0.46630602102300217,0.43606001486436263,0.4428111543124712,0.4458873182627336,0.49056603773584906,0.490566037735849,0.4905660377358491,0.476897134403287,0.4831217308100373,0.4860414447275853,0.2985294117647058,0.30933750587160636,1.0,4.0,13.0,8.0,5.0,4.0,9.0,9.0,43.0,31.0,27.0,31.0,4.0,14.0,4.0,5.0
SupportVectorMachine,SVM-3-1,0.44013938007073017,0.5849056603773585,0.5325645383501262,0.4740447461035696,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.4740447461035696,0.45359078590785906,0.5849056603773585,0.5543539397658128,0.4649338864402386,0.46932452074167197,0.4712272535246337,0.5849056603773585,0.5849056603773586,0.5849056603773585,0.5715035800301013,0.5779936227363828,0.5807872776354414,0.3955417314670815,0.40215887533254246,0.0,11.0,14.0,6.0,0.0,12.0,5.0,5.0,48.0,23.0,31.0,35.0,5.0,7.0,3.0,7.0
SupportVectorMachine,SVM-4-1,0.5016806722689076,0.5660377358490566,0.564135087997463,0.5061337355455002,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.5061337355455002,0.5036103330220978,0.5660377358490566,0.5647599081561346,0.5050511726651846,0.5055800698888452,0.505805033577454,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.5654467079101381,0.5657287553800018,0.5658527070218997,0.39262580966616833,0.39282231634648757,1.0,8.0,13.0,8.0,4.0,9.0,4.0,6.0,44.0,26.0,32.0,34.0,4.0,10.0,4.0,5.0
SupportVectorMachine,SVM-5-1,0.4653520499108734,0.5849056603773585,0.5616066323613493,0.47938662644544994,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.47938662644544994,0.4708823529411764,0.5849056603773585,0.5713207547169812,0.47557982634543183,0.47741083288724995,0.47820639986199753,0.5849056603773585,0.5849056603773586,0.5849056603773585,0.578940435568045,0.5818277785196915,0.583071432523654,0.4044943820224719,0.40737291438732176,0.0,10.0,14.0,7.0,2.0,12.0,3.0,5.0,46.0,23.0,33.0,35.0,5.0,8.0,3.0,6.0
SupportVectorMachine,SVM-6-1,0.5474877450980392,0.6037735849056604,0.5933916019237884,0.5400703871292106,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5400703871292106,0.5378404810199942,0.6037735849056604,0.5952365461474115,0.538030906060519,0.5388704621807558,0.539321510625779,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5996185912954558,0.601572677081129,0.6024488713104373,0.4409844299347062,0.4425585368325514,1.0,8.0,14.0,9.0,2.0,9.0,3.0,7.0,46.0,26.0,33.0,33.0,4.0,10.0,3.0,4.0
SupportVectorMachine,SVM-7-1,0.5685887512899896,0.6037735849056604,0.6048493876199934,0.5646807440925088,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5646807440925088,0.5663116057233705,0.6037735849056604,0.6039571647118817,0.5652578579508727,0.5649569322782435,0.5648402254001986,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.60376386585113,0.6037549990020178,0.6037593375833189,0.4426639959939911,0.44288777253854267,2.0,10.0,13.0,7.0,3.0,9.0,4.0,5.0,45.0,26.0,32.0,35.0,3.0,8.0,4.0,6.0
SupportVectorMachine,SVM-8-1,0.5985294117647059,0.6037735849056604,0.6032186459489456,0.6016088486676722,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.6016088486676722,0.5997976968565204,0.6037735849056604,0.6031945692323051,0.6008176610787318,0.6012019827761375,0.601366771786251,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.6034684346111101,0.6036086343948368,0.6036735467295319,0.4454409566517189,0.44566389697177655,3.0,8.0,14.0,7.0,2.0,9.0,3.0,7.0,46.0,26.0,33.0,33.0,2.0,10.0,3.0,6.0
SupportVectorMachine,SVM-9-1,0.5142512077294685,0.5283018867924528,0.5505970285297602,0.496807440925088,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.496807440925088,0.49837167405764965,0.5283018867924528,0.5319860477764298,0.4958544605181195,0.49607117621823504,0.4963114111992041,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5281073627740775,0.5279282374176936,0.5280149704292221,0.33517310587054694,0.33913103830214675,2.0,10.0,11.0,5.0,4.0,13.0,4.0,4.0,44.0,22.0,32.0,36.0,3.0,8.0,6.0,8.0
SupportVectorMachine,SVM-10-1,0.5463744588744589,0.5283018867924528,0.5380421465327127,0.5337355455002514,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5337355455002514,0.538548951048951,0.5283018867924528,0.5314135549984605,0.5353046594982078,0.5344606603857471,0.5341476592631998,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5291230714237409,0.5286411957769087,0.5284841295134088,0.33450527373179306,0.3356993001486096,3.0,8.0,12.0,5.0,2.0,13.0,4.0,6.0,46.0,22.0,32.0,34.0,2.0,10.0,5.0,8.0
