model_id,param,value
SVM-1,C,0.001
SVM-1,kernel,linear
SVM-2,C,0.05
SVM-2,kernel,linear
SVM-3,C,0.01
SVM-3,kernel,linear
SVM-4,C,0.2
SVM-4,kernel,linear
SVM-5,C,0.03
SVM-5,kernel,linear
SVM-6,C,0.05
SVM-6,kernel,linear
SVM-7,C,0.07
SVM-7,kernel,linear
SVM-8,C,0.1
SVM-8,kernel,linear
SVM-9,C,0.12
SVM-9,kernel,linear
SVM-10,C,0.15
SVM-10,kernel,linear
SVM-11,C,0.2
SVM-11,kernel,linear
SVM-12,C,0.25
SVM-12,kernel,linear
SVM-13,C,0.3
SVM-13,kernel,linear
SVM-14,C,0.5
SVM-14,kernel,linear
SVM-15,C,1
SVM-15,kernel,linear
SVM-16,C,2
SVM-16,kernel,linear
SVM-17,C,4
SVM-17,kernel,linear
SVM-18,C,8
SVM-18,kernel,linear
SVM-19,C,16
SVM-19,kernel,linear
SVM-20,C,32
SVM-20,kernel,linear
SVM-21,C,64
SVM-21,kernel,linear
SVM-22,C,128
SVM-22,kernel,linear
SVM-23,C,256
SVM-23,kernel,linear
SVM-24,C,512
SVM-24,kernel,linear
SVM-25,C,1024
SVM-25,kernel,linear
SVM-26,C,0.001
SVM-26,gamma,scale
SVM-26,kernel,rbf
SVM-27,C,0.001
SVM-27,gamma,scale
SVM-27,kernel,sigmoid
SVM-28,C,0.001
SVM-28,gamma,auto
SVM-28,kernel,rbf
SVM-29,C,0.001
SVM-29,gamma,auto
SVM-29,kernel,sigmoid
SVM-30,C,0.05
SVM-30,gamma,scale
SVM-30,kernel,rbf
SVM-31,C,0.05
SVM-31,gamma,scale
SVM-31,kernel,sigmoid
SVM-32,C,0.05
SVM-32,gamma,auto
SVM-32,kernel,rbf
SVM-33,C,0.05
SVM-33,gamma,auto
SVM-33,kernel,sigmoid
SVM-34,C,0.01
SVM-34,gamma,scale
SVM-34,kernel,rbf
SVM-35,C,0.01
SVM-35,gamma,scale
SVM-35,kernel,sigmoid
SVM-36,C,0.01
SVM-36,gamma,auto
SVM-36,kernel,rbf
SVM-37,C,0.01
SVM-37,gamma,auto
SVM-37,kernel,sigmoid
SVM-38,C,0.2
SVM-38,gamma,scale
SVM-38,kernel,rbf
SVM-39,C,0.2
SVM-39,gamma,scale
SVM-39,kernel,sigmoid
SVM-40,C,0.2
SVM-40,gamma,auto
SVM-40,kernel,rbf
SVM-41,C,0.2
SVM-41,gamma,auto
SVM-41,kernel,sigmoid
SVM-42,C,0.03
SVM-42,gamma,scale
SVM-42,kernel,rbf
SVM-43,C,0.03
SVM-43,gamma,scale
SVM-43,kernel,sigmoid
SVM-44,C,0.03
SVM-44,gamma,auto
SVM-44,kernel,rbf
SVM-45,C,0.03
SVM-45,gamma,auto
SVM-45,kernel,sigmoid
SVM-46,C,0.05
SVM-46,gamma,scale
SVM-46,kernel,rbf
SVM-47,C,0.05
SVM-47,gamma,scale
SVM-47,kernel,sigmoid
SVM-48,C,0.05
SVM-48,gamma,auto
SVM-48,kernel,rbf
SVM-49,C,0.05
SVM-49,gamma,auto
SVM-49,kernel,sigmoid
SVM-50,C,0.07
SVM-50,gamma,scale
SVM-50,kernel,rbf
SVM-51,C,0.07
SVM-51,gamma,scale
SVM-51,kernel,sigmoid
SVM-52,C,0.07
SVM-52,gamma,auto
SVM-52,kernel,rbf
SVM-53,C,0.07
SVM-53,gamma,auto
SVM-53,kernel,sigmoid
SVM-54,C,0.1
SVM-54,gamma,scale
SVM-54,kernel,rbf
SVM-55,C,0.1
SVM-55,gamma,scale
SVM-55,kernel,sigmoid
SVM-56,C,0.1
SVM-56,gamma,auto
SVM-56,kernel,rbf
SVM-57,C,0.1
SVM-57,gamma,auto
SVM-57,kernel,sigmoid
SVM-58,C,0.12
SVM-58,gamma,scale
SVM-58,kernel,rbf
SVM-59,C,0.12
SVM-59,gamma,scale
SVM-59,kernel,sigmoid
SVM-60,C,0.12
SVM-60,gamma,auto
SVM-60,kernel,rbf
SVM-61,C,0.12
SVM-61,gamma,auto
SVM-61,kernel,sigmoid
SVM-62,C,0.15
SVM-62,gamma,scale
SVM-62,kernel,rbf
SVM-63,C,0.15
SVM-63,gamma,scale
SVM-63,kernel,sigmoid
SVM-64,C,0.15
SVM-64,gamma,auto
SVM-64,kernel,rbf
SVM-65,C,0.15
SVM-65,gamma,auto
SVM-65,kernel,sigmoid
SVM-66,C,0.2
SVM-66,gamma,scale
SVM-66,kernel,rbf
SVM-67,C,0.2
SVM-67,gamma,scale
SVM-67,kernel,sigmoid
SVM-68,C,0.2
SVM-68,gamma,auto
SVM-68,kernel,rbf
SVM-69,C,0.2
SVM-69,gamma,auto
SVM-69,kernel,sigmoid
SVM-70,C,0.25
SVM-70,gamma,scale
SVM-70,kernel,rbf
SVM-71,C,0.25
SVM-71,gamma,scale
SVM-71,kernel,sigmoid
SVM-72,C,0.25
SVM-72,gamma,auto
SVM-72,kernel,rbf
SVM-73,C,0.25
SVM-73,gamma,auto
SVM-73,kernel,sigmoid
SVM-74,C,0.3
SVM-74,gamma,scale
SVM-74,kernel,rbf
SVM-75,C,0.3
SVM-75,gamma,scale
SVM-75,kernel,sigmoid
SVM-76,C,0.3
SVM-76,gamma,auto
SVM-76,kernel,rbf
SVM-77,C,0.3
SVM-77,gamma,auto
SVM-77,kernel,sigmoid
SVM-78,C,0.5
SVM-78,gamma,scale
SVM-78,kernel,rbf
SVM-79,C,0.5
SVM-79,gamma,scale
SVM-79,kernel,sigmoid
SVM-80,C,0.5
SVM-80,gamma,auto
SVM-80,kernel,rbf
SVM-81,C,0.5
SVM-81,gamma,auto
SVM-81,kernel,sigmoid
SVM-82,C,1
SVM-82,gamma,scale
SVM-82,kernel,rbf
SVM-83,C,1
SVM-83,gamma,scale
SVM-83,kernel,sigmoid
SVM-84,C,1
SVM-84,gamma,auto
SVM-84,kernel,rbf
SVM-85,C,1
SVM-85,gamma,auto
SVM-85,kernel,sigmoid
SVM-86,C,2
SVM-86,gamma,scale
SVM-86,kernel,rbf
SVM-87,C,2
SVM-87,gamma,scale
SVM-87,kernel,sigmoid
SVM-88,C,2
SVM-88,gamma,auto
SVM-88,kernel,rbf
SVM-89,C,2
SVM-89,gamma,auto
SVM-89,kernel,sigmoid
SVM-90,C,4
SVM-90,gamma,scale
SVM-90,kernel,rbf
SVM-91,C,4
SVM-91,gamma,scale
SVM-91,kernel,sigmoid
SVM-92,C,4
SVM-92,gamma,auto
SVM-92,kernel,rbf
SVM-93,C,4
SVM-93,gamma,auto
SVM-93,kernel,sigmoid
SVM-94,C,8
SVM-94,gamma,scale
SVM-94,kernel,rbf
SVM-95,C,8
SVM-95,gamma,scale
SVM-95,kernel,sigmoid
SVM-96,C,8
SVM-96,gamma,auto
SVM-96,kernel,rbf
SVM-97,C,8
SVM-97,gamma,auto
SVM-97,kernel,sigmoid
SVM-98,C,16
SVM-98,gamma,scale
SVM-98,kernel,rbf
SVM-99,C,16
SVM-99,gamma,scale
SVM-99,kernel,sigmoid
SVM-100,C,16
SVM-100,gamma,auto
SVM-100,kernel,rbf
SVM-101,C,16
SVM-101,gamma,auto
SVM-101,kernel,sigmoid
SVM-102,C,32
SVM-102,gamma,scale
SVM-102,kernel,rbf
SVM-103,C,32
SVM-103,gamma,scale
SVM-103,kernel,sigmoid
SVM-104,C,32
SVM-104,gamma,auto
SVM-104,kernel,rbf
SVM-105,C,32
SVM-105,gamma,auto
SVM-105,kernel,sigmoid
SVM-106,C,64
SVM-106,gamma,scale
SVM-106,kernel,rbf
SVM-107,C,64
SVM-107,gamma,scale
SVM-107,kernel,sigmoid
SVM-108,C,64
SVM-108,gamma,auto
SVM-108,kernel,rbf
SVM-109,C,64
SVM-109,gamma,auto
SVM-109,kernel,sigmoid
SVM-110,C,128
SVM-110,gamma,scale
SVM-110,kernel,rbf
