model_id,param,value
DUM-1,NA,NA
GNB-1,NA,NA
GB-1,learning_rate,0.01
GB-1,max_depth,
GB-1,max_features,
GB-1,min_samples_leaf,2
GB-1,min_samples_split,5
GB-1,n_estimators,50
GB-2,learning_rate,0.01
GB-2,max_depth,
GB-2,max_features,
GB-2,min_samples_leaf,2
GB-2,min_samples_split,5
GB-2,n_estimators,100
GB-3,learning_rate,0.01
GB-3,max_depth,
GB-3,max_features,
GB-3,min_samples_leaf,2
GB-3,min_samples_split,5
GB-3,n_estimators,400
GB-4,learning_rate,0.01
GB-4,max_depth,
GB-4,max_features,
GB-4,min_samples_leaf,2
GB-4,min_samples_split,5
GB-4,n_estimators,800
GB-5,learning_rate,0.01
GB-5,max_depth,
GB-5,max_features,
GB-5,min_samples_leaf,2
GB-5,min_samples_split,20
GB-5,n_estimators,50
GB-6,learning_rate,0.01
GB-6,max_depth,
GB-6,max_features,
GB-6,min_samples_leaf,2
GB-6,min_samples_split,20
GB-6,n_estimators,100
GB-7,learning_rate,0.01
GB-7,max_depth,
GB-7,max_features,
GB-7,min_samples_leaf,2
GB-7,min_samples_split,20
GB-7,n_estimators,400
GB-8,learning_rate,0.01
GB-8,max_depth,
GB-8,max_features,
GB-8,min_samples_leaf,2
GB-8,min_samples_split,20
GB-8,n_estimators,800
GB-9,learning_rate,0.01
GB-9,max_depth,
GB-9,max_features,
GB-9,min_samples_leaf,2
GB-9,min_samples_split,40
GB-9,n_estimators,50
GB-10,learning_rate,0.01
GB-10,max_depth,
GB-10,max_features,
GB-10,min_samples_leaf,2
GB-10,min_samples_split,40
GB-10,n_estimators,100
GB-11,learning_rate,0.01
GB-11,max_depth,
GB-11,max_features,
GB-11,min_samples_leaf,2
GB-11,min_samples_split,40
GB-11,n_estimators,400
GB-12,learning_rate,0.01
GB-12,max_depth,
GB-12,max_features,
GB-12,min_samples_leaf,2
GB-12,min_samples_split,40
GB-12,n_estimators,800
GB-13,learning_rate,0.01
GB-13,max_depth,
GB-13,max_features,
GB-13,min_samples_leaf,5
GB-13,min_samples_split,5
GB-13,n_estimators,50
GB-14,learning_rate,0.01
GB-14,max_depth,
GB-14,max_features,
GB-14,min_samples_leaf,5
GB-14,min_samples_split,5
GB-14,n_estimators,100
GB-15,learning_rate,0.01
GB-15,max_depth,
GB-15,max_features,
GB-15,min_samples_leaf,5
GB-15,min_samples_split,5
GB-15,n_estimators,400
GB-16,learning_rate,0.01
GB-16,max_depth,
GB-16,max_features,
GB-16,min_samples_leaf,5
GB-16,min_samples_split,5
GB-16,n_estimators,800
GB-17,learning_rate,0.01
GB-17,max_depth,
GB-17,max_features,
GB-17,min_samples_leaf,5
GB-17,min_samples_split,20
GB-17,n_estimators,50
GB-18,learning_rate,0.01
GB-18,max_depth,
GB-18,max_features,
GB-18,min_samples_leaf,5
GB-18,min_samples_split,20
GB-18,n_estimators,100
GB-19,learning_rate,0.01
GB-19,max_depth,
GB-19,max_features,
GB-19,min_samples_leaf,5
GB-19,min_samples_split,20
GB-19,n_estimators,400
GB-20,learning_rate,0.01
GB-20,max_depth,
GB-20,max_features,
GB-20,min_samples_leaf,5
GB-20,min_samples_split,20
GB-20,n_estimators,800
GB-21,learning_rate,0.01
GB-21,max_depth,
GB-21,max_features,
GB-21,min_samples_leaf,5
GB-21,min_samples_split,40
GB-21,n_estimators,50
GB-22,learning_rate,0.01
GB-22,max_depth,
GB-22,max_features,
GB-22,min_samples_leaf,5
GB-22,min_samples_split,40
GB-22,n_estimators,100
GB-23,learning_rate,0.01
GB-23,max_depth,
GB-23,max_features,
GB-23,min_samples_leaf,5
GB-23,min_samples_split,40
GB-23,n_estimators,400
GB-24,learning_rate,0.01
GB-24,max_depth,
GB-24,max_features,
GB-24,min_samples_leaf,5
GB-24,min_samples_split,40
GB-24,n_estimators,800
GB-25,learning_rate,0.01
GB-25,max_depth,
GB-25,max_features,
GB-25,min_samples_leaf,10
GB-25,min_samples_split,5
GB-25,n_estimators,50
GB-26,learning_rate,0.01
GB-26,max_depth,
GB-26,max_features,
GB-26,min_samples_leaf,10
GB-26,min_samples_split,5
GB-26,n_estimators,100
GB-27,learning_rate,0.01
GB-27,max_depth,
GB-27,max_features,
GB-27,min_samples_leaf,10
GB-27,min_samples_split,5
GB-27,n_estimators,400
