model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef,tp_CS,tp_PA,tp_PHT,tp_PPGL,fp_CS,fp_PA,fp_PHT,fp_PPGL,tn_CS,tn_PA,tn_PHT,tn_PPGL,fn_CS,fn_PA,fn_PHT,fn_PPGL
GradientBoosting,GB-1-1,0.4861111111111111,0.5283018867924528,0.5220125786163522,0.45164655605832077,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.45164655605832077,0.4453879368965048,0.5283018867924528,0.5025345834969169,0.4446531167040593,0.4474009666772646,0.44896472087098105,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5132895214375951,0.5199767375295763,0.5232001844716836,0.3205128205128205,0.3325819615086862,1.0,11.0,13.0,3.0,2.0,7.0,13.0,3.0,46.0,28.0,23.0,37.0,4.0,7.0,4.0,10.0
GradientBoosting,GB-2-1,0.5124223602484472,0.5283018867924528,0.5406851830149615,0.4561714429361488,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.4561714429361488,0.4598042362002568,0.5283018867924528,0.5116804320972704,0.45383089058664045,0.45444658809356037,0.45502704846901615,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5179517345530398,0.5225688599401248,0.524797473714003,0.3187660668380462,0.3271511366710968,1.0,11.0,12.0,4.0,2.0,12.0,9.0,2.0,46.0,23.0,27.0,38.0,4.0,7.0,5.0,9.0
GradientBoosting,GB-3-1,0.5051169590643274,0.5471698113207547,0.5401081319651329,0.475402212166918,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.475402212166918,0.48030303030303034,0.5471698113207547,0.5357061177815895,0.4754972313285283,0.4751648089299758,0.4751952701298806,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.5409599660160312,0.5438062548470431,0.545129293839332,0.3503575076608785,0.3541663419812631,1.0,11.0,12.0,5.0,2.0,11.0,7.0,4.0,46.0,24.0,29.0,36.0,4.0,7.0,5.0,8.0
GradientBoosting,GB-4-1,0.569327731092437,0.6037735849056604,0.6053908355795148,0.5585218702865762,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5585218702865762,0.5607515246901437,0.6037735849056604,0.6011232409919858,0.5587286527514231,0.5585152506852747,0.5584916089888348,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.6019476567255021,0.602736056075267,0.6031332821315192,0.4398590840463009,0.4418929942887251,2.0,12.0,12.0,6.0,3.0,9.0,5.0,4.0,45.0,26.0,31.0,36.0,3.0,6.0,5.0,7.0
GradientBoosting,GB-5-1,0.42285196687370596,0.49056603773584906,0.4647193249736318,0.4185268979386626,0.49056603773584906,0.49056603773584906,0.49056603773584906,0.4185268979386626,0.40181623931623933,0.49056603773584906,0.4581277213352686,0.4089230131781066,0.41327512748765677,0.4153299300492771,0.49056603773584906,0.490566037735849,0.4905660377358491,0.4743895267688393,0.48197055584599213,0.4853873202734904,0.2680306905370844,0.2761877466241838,1.0,10.0,13.0,2.0,3.0,11.0,10.0,3.0,45.0,24.0,26.0,37.0,4.0,8.0,4.0,11.0
GradientBoosting,GB-6-1,0.5276315789473685,0.5660377358490566,0.5595829195630586,0.5254022121669181,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.5254022121669181,0.5240109674892284,0.5660377358490566,0.5601549046996135,0.5243191458152526,0.5247775031590152,0.5250149264721061,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.563116873472195,0.5644868277705011,0.5651038206368474,0.3871292106586224,0.38851624897231507,2.0,11.0,12.0,5.0,3.0,8.0,7.0,5.0,45.0,27.0,29.0,35.0,3.0,7.0,5.0,8.0
GradientBoosting,GB-7-1,0.5818627450980393,0.6037735849056604,0.6041805401405844,0.5692056309703368,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5692056309703368,0.573295985060691,0.6037735849056604,0.602575621443546,0.5703404244474916,0.56969136054625,0.5694716944338568,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.6029601304480354,0.6033107571152113,0.6034876892477672,0.4432216108054028,0.44388978107369775,2.0,10.0,12.0,8.0,2.0,7.0,5.0,7.0,46.0,28.0,31.0,33.0,3.0,8.0,5.0,5.0
GradientBoosting,GB-8-1,0.5986227824463118,0.6226415094339622,0.6270105526487324,0.5892533936651583,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.5892533936651583,0.5874503968253968,0.6226415094339622,0.6184112009583708,0.5869775867880014,0.5878506527107974,0.5883633467088594,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.6194157747804465,0.6207675787329301,0.6214752308606768,0.4726368159203981,0.4766731994904899,2.0,9.0,13.0,9.0,2.0,5.0,5.0,8.0,46.0,30.0,31.0,32.0,3.0,9.0,4.0,4.0
GradientBoosting,GB-9-1,0.5364940884820748,0.5849056603773585,0.5766140638717385,0.5048139768728004,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.5048139768728004,0.5051962676962677,0.5849056603773585,0.5668524319467715,0.5019210861602166,0.5028806713544283,0.503559494454135,0.5849056603773585,0.5849056603773586,0.5849056603773585,0.5747107008386747,0.5793135935609615,0.5814954857486516,0.40419008686765456,0.41146092547116064,1.0,11.0,14.0,5.0,2.0,8.0,9.0,3.0,46.0,27.0,27.0,37.0,4.0,7.0,3.0,8.0
GradientBoosting,GB-10-1,0.6416666666666666,0.6792452830188679,0.6849056603773584,0.626395173453997,0.6792452830188679,0.6792452830188679,0.6792452830188679,0.626395173453997,0.6297688993341167,0.6792452830188679,0.677515908032725,0.6268206256109482,0.6264591203556202,0.6263970927066315,0.6792452830188679,0.6792452830188679,0.6792452830188679,0.6775438499419022,0.6782302228580899,0.6786086061637906,0.5472361809045226,0.5497532525672136,2.0,12.0,14.0,8.0,3.0,6.0,6.0,2.0,45.0,29.0,30.0,38.0,3.0,6.0,3.0,5.0
GradientBoosting,GB-11-1,0.6091269841269842,0.6792452830188679,0.6647199760407307,0.6001508295625942,0.6792452830188679,0.6792452830188679,0.6792452830188679,0.6001508295625942,0.6000661375661376,0.6792452830188679,0.6699660577019066,0.5993619205196556,0.5996481741886523,0.5998301687645269,0.6792452830188679,0.6792452830188679,0.6792452830188679,0.6751750675382322,0.6771567433394566,0.678004221779061,0.5454086781029264,0.5462723666513554,1.0,12.0,13.0,10.0,2.0,6.0,5.0,4.0,46.0,29.0,31.0,36.0,4.0,6.0,4.0,3.0
GradientBoosting,GB-12-1,0.6249562324929971,0.6792452830188679,0.6854222821203952,0.6362619406737053,0.6792452830188679,0.6792452830188679,0.6792452830188679,0.6362619406737053,0.6290354525648644,0.6792452830188679,0.6810352881385069,0.6329742561360209,0.6345497629534703,0.6352380160688444,0.6792452830188679,0.6792452830188679,0.6792452830188679,0.6796521088973919,0.6793970554996392,0.6793220294727189,0.5539603960396039,0.554799675201654,2.0,11.0,13.0,10.0,4.0,5.0,4.0,4.0,44.0,30.0,32.0,36.0,3.0,7.0,4.0,3.0
GradientBoosting,GB-13-1,0.47312409812409817,0.5849056603773585,0.5582101336818318,0.47856963298139765,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.47856963298139765,0.46678321678321677,0.5849056603773585,0.5615076747152219,0.4718476408719666,0.47487639864689035,0.47631644264345263,0.5849056603773585,0.5849056603773586,0.5849056603773585,0.5732444426706222,0.5786880336215319,0.5811537303053871,0.3974160206718347,0.40487122333331566,0.0,11.0,13.0,7.0,1.0,10.0,9.0,2.0,47.0,25.0,27.0,38.0,5.0,7.0,4.0,6.0
GradientBoosting,GB-14-1,0.4731359649122807,0.6037735849056604,0.5669480304534923,0.4871166415284063,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.4871166415284063,0.4716810966810967,0.6037735849056604,0.5756895096517738,0.4790032622008667,0.482732290215411,0.484457397025987,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5902281518535505,0.59660299171828,0.5994575848925134,0.42391304347826086,0.4326386848048142,0.0,13.0,13.0,6.0,1.0,11.0,6.0,3.0,47.0,24.0,30.0,37.0,5.0,5.0,4.0,7.0
GradientBoosting,GB-15-1,0.6335526315789474,0.660377358490566,0.654369414101291,0.580920060331825,0.660377358490566,0.660377358490566,0.660377358490566,0.580920060331825,0.5898788638262322,0.660377358490566,0.6497126463958638,0.5824245192744537,0.5813987472201227,0.5811398631960614,0.6603773584905659,0.660377358490566,0.660377358490566,0.6550428018195019,0.6575578548401642,0.6586834962226956,0.513265306122449,0.5158092709073198,1.0,12.0,13.0,9.0,1.0,8.0,6.0,3.0,47.0,27.0,30.0,37.0,4.0,6.0,4.0,4.0
GradientBoosting,GB-16-1,0.539390756302521,0.6037735849056604,0.5963611859838275,0.5392533936651583,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5392533936651583,0.5383986928104575,0.6037735849056604,0.59958071278826,0.5387143493761142,0.5389526039423402,0.5390690059807707,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.6019868496283591,0.6028623749658296,0.6032332871955515,0.4418254764292878,0.4420516723696017,1.0,9.0,13.0,9.0,3.0,9.0,4.0,5.0,45.0,26.0,32.0,35.0,4.0,9.0,4.0,4.0
GradientBoosting,GB-17-1,0.47269668737060044,0.5849056603773585,0.5597191296535021,0.47322775263951733,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.47322775263951733,0.46025123785072436,0.5849056603773585,0.5584289762602548,0.4654790065050266,0.4689437713575645,0.47060924672024507,0.5849056603773585,0.5849056603773586,0.5849056603773585,0.5713990828247214,0.5776759453011893,0.5805375177574044,0.3955417314670814,0.40487008946396963,0.0,12.0,13.0,6.0,1.0,11.0,8.0,2.0,47.0,24.0,28.0,38.0,5.0,6.0,4.0,7.0
