model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef,tp_CS,tp_PA,tp_PHT,tp_PPGL,fp_CS,fp_PA,fp_PHT,fp_PPGL,tn_CS,tn_PA,tn_PHT,tn_PPGL,fn_CS,fn_PA,fn_PHT,fn_PPGL
KNearestNeighbours,KNN-1-1,0.6284243697478992,0.5660377358490566,0.5977628032345013,0.6206008044243339,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.6206008044243339,0.5800843593251254,0.5660377358490566,0.5403513753022051,0.598324481568114,0.6085178190793165,0.6132648960586352,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.5504458142806713,0.557437769575798,0.5607864365575331,0.3852748361069087,0.39914967237842647,5.0,13.0,9.0,3.0,2.0,12.0,8.0,1.0,46.0,23.0,28.0,39.0,0.0,5.0,8.0,10.0
KNearestNeighbours,KNN-2-1,0.5568314726209462,0.5471698113207547,0.5478920285275797,0.5513323278029161,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.5513323278029161,0.5527777777777777,0.5471698113207547,0.5461215932914045,0.5516146688560482,0.5514252260981912,0.5513753550189082,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.5464262477925458,0.5467447345326898,0.5469069056266259,0.36208625877632894,0.36282066698454685,3.0,10.0,10.0,6.0,2.0,8.0,9.0,5.0,46.0,27.0,27.0,35.0,2.0,8.0,7.0,7.0
KNearestNeighbours,KNN-3-1,0.6018518518518519,0.6037735849056604,0.6184486373165617,0.5125439919557566,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5125439919557566,0.5179615705931495,0.6037735849056604,0.5798269258050787,0.5087462435096757,0.5097359670871812,0.5106746508973308,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.588589286672233,0.5952600378335334,0.5985396019083413,0.42301710730948694,0.4402501173743601,1.0,14.0,13.0,4.0,1.0,13.0,5.0,2.0,47.0,22.0,31.0,38.0,4.0,4.0,4.0,9.0
KNearestNeighbours,KNN-4-1,0.4505148741418764,0.6037735849056604,0.550947713829282,0.48259175465057813,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.48259175465057813,0.4616766819842112,0.6037735849056604,0.5714911373888144,0.47300850847920695,0.47758924461909263,0.4795971512910446,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5893563373036869,0.5963012865508435,0.5993129092970562,0.42540010325245226,0.43191494901680183,0.0,13.0,14.0,5.0,1.0,10.0,5.0,5.0,47.0,25.0,31.0,35.0,5.0,5.0,3.0,8.0
KNearestNeighbours,KNN-5-1,0.6261217948717949,0.6226415094339622,0.6530116110304789,0.5301407742584213,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.5301407742584213,0.5404761904761906,0.6226415094339622,0.6053908355795149,0.5268163662771506,0.5271874732974451,0.5280804636290322,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.6078091931773029,0.6137526420414698,0.6170365752188872,0.451913133402275,0.4777066197649462,1.0,16.0,11.0,5.0,1.0,14.0,2.0,3.0,47.0,21.0,34.0,37.0,4.0,2.0,6.0,8.0
KNearestNeighbours,KNN-6-1,0.4528342245989305,0.6037735849056604,0.5503945111492281,0.486299648064354,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.486299648064354,0.4642612859097127,0.6037735849056604,0.5702062308029837,0.47593057841693387,0.48082386363636365,0.4830047910450451,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.588305036077843,0.595654449601453,0.5988999146983849,0.4224182667358589,0.4319321793232913,0.0,14.0,12.0,6.0,0.0,11.0,5.0,5.0,48.0,24.0,31.0,35.0,5.0,4.0,5.0,7.0
KNearestNeighbours,KNN-7-1,0.4799421009098428,0.5849056603773585,0.5745899464706525,0.4707767722473605,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.4707767722473605,0.45609152752009896,0.5849056603773585,0.5555594450473157,0.45931064227790835,0.4639505468208883,0.4664775879429588,0.5849056603773585,0.5849056603773586,0.5849056603773585,0.5659257716971603,0.5739825915395728,0.5781068809259682,0.39048614741244114,0.41763816388834596,0.0,15.0,10.0,6.0,0.0,16.0,3.0,3.0,48.0,19.0,33.0,37.0,5.0,3.0,7.0,7.0
KNearestNeighbours,KNN-8-1,0.5038461538461538,0.660377358490566,0.6113207547169811,0.5386500754147814,0.660377358490566,0.660377358490566,0.660377358490566,0.5386500754147814,0.5157647584973166,0.660377358490566,0.6284554629223343,0.5278680144845839,0.5329523417758713,0.5352206236839605,0.6603773584905659,0.660377358490566,0.660377358490566,0.645409101881168,0.652478487106678,0.6556256685772425,0.5069767441860465,0.5182155675134588,0.0,15.0,12.0,8.0,0.0,10.0,3.0,5.0,48.0,25.0,33.0,35.0,5.0,3.0,5.0,5.0
KNearestNeighbours,KNN-9-1,0.4285714285714286,0.5471698113207547,0.5215633423180593,0.43765711412770236,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.43765711412770236,0.4221598877980365,0.5471698113207547,0.5203101431633544,0.42824547600314716,0.43233632196857835,0.43436960206208847,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.5322224366491992,0.5388850726324564,0.5420880088615303,0.3416149068322981,0.35484609468860007,0.0,14.0,10.0,5.0,1.0,14.0,4.0,5.0,47.0,21.0,32.0,35.0,5.0,4.0,7.0,8.0
KNearestNeighbours,KNN-10-1,0.44780219780219777,0.5849056603773585,0.5440597138710346,0.4761186525892408,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.4761186525892408,0.4549966162869389,0.5849056603773585,0.5551374979250816,0.465625837577057,0.4704861961837372,0.47270722907665585,0.5849056603773585,0.5849056603773586,0.5849056603773585,0.5702452172769705,0.5770546422209776,0.5801548529586025,0.39710444674250256,0.4082141485460544,0.0,14.0,10.0,7.0,0.0,12.0,4.0,6.0,48.0,23.0,32.0,34.0,5.0,4.0,7.0,6.0
