model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef,tp_CS,tp_PA,tp_PHT,tp_PPGL,fp_CS,fp_PA,fp_PHT,fp_PPGL,tn_CS,tn_PA,tn_PHT,tn_PPGL,fn_CS,fn_PA,fn_PHT,fn_PPGL
LinearSVC,LSVM-1-1,0.3544117647058823,0.3584905660377358,0.38657047724750276,0.3627576671694319,0.3584905660377358,0.3584905660377358,0.3584905660377358,0.3627576671694319,0.30168979992033584,0.3584905660377358,0.32239078115415937,0.3224631479110762,0.33865487681668355,0.3473958249266422,0.3584905660377358,0.35849056603773577,0.3584905660377358,0.3338972509565592,0.3440346710140171,0.3493774439046004,0.15279736718382708,0.1714905151904943,2.0,1.0,13.0,3.0,15.0,4.0,13.0,2.0,33.0,31.0,23.0,38.0,3.0,17.0,4.0,10.0
LinearSVC,LSVM-2-1,0.42007575757575755,0.4528301886792453,0.4703544882790166,0.442885872297637,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.442885872297637,0.4121603745027328,0.4528301886792453,0.4479265601623401,0.42383150637741585,0.43180923498040075,0.43593688462610275,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4471434540241417,0.44922476200195943,0.4505040993871751,0.26141278231619425,0.26892205257680746,2.0,4.0,13.0,5.0,10.0,7.0,7.0,5.0,38.0,28.0,29.0,35.0,3.0,14.0,4.0,8.0
LinearSVC,LSVM-3-1,0.41503288378288383,0.4716981132075472,0.4779363718042963,0.42600553041729516,0.4716981132075472,0.4716981132075472,0.4716981132075472,0.42600553041729516,0.4111056819768254,0.4716981132075472,0.46429634468534586,0.41791294700967097,0.42159037116088804,0.42331685694480614,0.4716981132075472,0.4716981132075472,0.4716981132075472,0.46660894767780653,0.46880863755529767,0.4699149347993586,0.2743276283618582,0.2793837173512468,1.0,5.0,13.0,6.0,7.0,6.0,8.0,7.0,41.0,29.0,28.0,33.0,4.0,13.0,4.0,7.0
LinearSVC,LSVM-4-1,0.5830128205128206,0.6226415094339622,0.6446540880503145,0.6216566113624937,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.6216566113624937,0.5847985347985348,0.6226415094339622,0.6221024258760107,0.601036076326774,0.6100827484675035,0.6145070733863838,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.6193505923650724,0.6203949573466404,0.6211624376491,0.4874274661508704,0.49491842251450385,3.0,7.0,15.0,8.0,7.0,5.0,3.0,5.0,41.0,30.0,33.0,35.0,2.0,11.0,2.0,5.0
LinearSVC,LSVM-5-1,0.5611504723346828,0.6037735849056604,0.6148626282687852,0.6024258421317245,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.6024258421317245,0.5667582417582417,0.6037735849056604,0.598292902066487,0.5836096374889479,0.5921022419619051,0.5961126431967969,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5988939492517893,0.6008441223296499,0.6019259576569941,0.45865758754863817,0.4650283569581845,3.0,7.0,15.0,7.0,6.0,5.0,4.0,6.0,42.0,30.0,32.0,34.0,2.0,11.0,2.0,6.0
LinearSVC,LSVM-6-1,0.5119047619047619,0.5660377358490566,0.5530098831985625,0.5385369532428356,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.5385369532428356,0.5179071415913521,0.5660377358490566,0.5505655696321038,0.5286894753186888,0.5333511398768509,0.5354230101202082,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.5579515177776785,0.561687135183753,0.5634044244814791,0.3977272727272727,0.40310592048109795,2.0,6.0,15.0,7.0,4.0,6.0,6.0,7.0,44.0,29.0,30.0,33.0,3.0,12.0,2.0,6.0
LinearSVC,LSVM-7-1,0.4375,0.49056603773584906,0.47384219554030876,0.4768225238813474,0.49056603773584906,0.49056603773584906,0.49056603773584906,0.4768225238813474,0.4453757736516357,0.49056603773584906,0.47073786764092557,0.4611586225855804,0.4684221606170438,0.47173713967192227,0.49056603773584906,0.490566037735849,0.4905660377358491,0.4799818095382428,0.48481422248527967,0.4870687010555755,0.2988731014208722,0.3051529199289272,2.0,4.0,14.0,6.0,6.0,7.0,8.0,6.0,42.0,28.0,28.0,34.0,3.0,14.0,3.0,7.0
LinearSVC,LSVM-8-1,0.47445887445887447,0.5094339622641509,0.49964877889406195,0.48989441930618405,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.48989441930618405,0.4778708133971291,0.5094339622641509,0.49990972284914686,0.4839926314161107,0.4867540875935412,0.4880005342093171,0.5094339622641509,0.509433962264151,0.5094339622641509,0.5044562264595454,0.5067429934767375,0.5078013253671347,0.31408661025385753,0.3164518949278598,2.0,6.0,13.0,6.0,4.0,9.0,8.0,5.0,44.0,26.0,28.0,35.0,3.0,12.0,4.0,7.0
LinearSVC,LSVM-9-1,0.4740620490620491,0.5094339622641509,0.5298674072258978,0.48989441930618405,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.48989441930618405,0.4711309523809524,0.5094339622641509,0.5134321653189577,0.4785437430786268,0.48338234316852735,0.48583712808085366,0.5094339622641509,0.509433962264151,0.5094339622641509,0.509151883658246,0.508910793636464,0.5090250192812346,0.33041788143828954,0.33419627811528335,2.0,6.0,13.0,6.0,8.0,8.0,5.0,5.0,40.0,27.0,31.0,35.0,3.0,12.0,4.0,7.0
LinearSVC,LSVM-10-1,0.48643724696356283,0.5283018867924528,0.5226084078119828,0.5037833081950729,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5037833081950729,0.4929098679098679,0.5283018867924528,0.5232513817419477,0.498894783377542,0.5012473759401581,0.5022691861241156,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5257661445039454,0.5269484073740457,0.5274849818434298,0.3430837878036689,0.34428133388933824,2.0,7.0,13.0,6.0,4.0,8.0,6.0,7.0,44.0,27.0,30.0,33.0,3.0,11.0,4.0,7.0
LinearSVC,LSVM-11-1,0.5391414141414141,0.5849056603773585,0.5855727082142176,0.5454499748617396,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.5454499748617396,0.5405122655122655,0.5849056603773585,0.5839010046557216,0.5430438424624471,0.5441740841073271,0.5446816957349084,0.5849056603773585,0.5849056603773586,0.5849056603773585,0.5841960438274612,0.584500206073823,0.5846549267997653,0.4187437686939183,0.4193709958490898,2.0,10.0,13.0,6.0,4.0,8.0,5.0,5.0,44.0,27.0,31.0,35.0,3.0,8.0,4.0,7.0
LinearSVC,LSVM-12-1,0.4873646574014221,0.5283018867924528,0.5340296495956873,0.5037833081950729,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5037833081950729,0.4928355957767723,0.5283018867924528,0.5297817240103588,0.4985854967472615,0.5010295388682698,0.5021240775034013,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5285083539800521,0.5283345020466071,0.5283033135865036,0.346646942800789,0.34735253582422604,2.0,7.0,13.0,6.0,5.0,9.0,4.0,7.0,43.0,26.0,32.0,33.0,3.0,11.0,4.0,7.0
LinearSVC,LSVM-13-1,0.4844187675070028,0.5283018867924528,0.5342608741609852,0.49844142785319256,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.49844142785319256,0.48879551820728295,0.5283018867924528,0.5300988319856245,0.49378486374262565,0.49596138512370197,0.4969439389404973,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5286766885339866,0.5284250820835769,0.5283581088571649,0.3450321304992585,0.34555827407894135,2.0,8.0,13.0,5.0,5.0,9.0,4.0,7.0,43.0,26.0,32.0,33.0,3.0,10.0,4.0,8.0
LinearSVC,LSVM-14-1,0.5075414781297134,0.5471698113207547,0.5497595264520903,0.5176721970839618,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.5176721970839618,0.5117558911676559,0.5471698113207547,0.5480519480519481,0.5150744826884947,0.5163321452345442,0.5168737051112419,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.5474144257269126,0.5472731519085974,0.5472259187593063,0.36873449131513647,0.3689241256519167,2.0,8.0,13.0,6.0,4.0,9.0,4.0,7.0,44.0,26.0,32.0,33.0,3.0,10.0,4.0,7.0
