model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef,tp_CS,tp_PA,tp_PHT,tp_PPGL,fp_CS,fp_PA,fp_PHT,fp_PPGL,tn_CS,tn_PA,tn_PHT,tn_PPGL,fn_CS,fn_PA,fn_PHT,fn_PPGL
RandomForest,RF-1-1,0.4828431372549019,0.6037735849056604,0.5786163522012578,0.4871166415284063,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.4871166415284063,0.47526737967914434,0.6037735849056604,0.5797598627787307,0.47994361679097863,0.48309643006138625,0.4846434053383013,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5911739270406585,0.5969299000210281,0.5996111110803436,0.4233160621761658,0.4349978074175233,0.0,13.0,13.0,6.0,1.0,13.0,4.0,3.0,47.0,22.0,32.0,37.0,5.0,5.0,4.0,7.0
RandomForest,RF-2-1,0.6076388888888888,0.6226415094339622,0.6263102725366876,0.5371166415284062,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.5371166415284062,0.5482683982683982,0.6226415094339622,0.60926243567753,0.5379933231957393,0.5370287707371838,0.5369413637426538,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.6144555371437128,0.6180929763620319,0.6198557897733542,0.45473251028806594,0.46260232529607154,1.0,13.0,13.0,6.0,1.0,11.0,5.0,3.0,47.0,24.0,31.0,37.0,4.0,5.0,4.0,7.0
RandomForest,RF-3-1,0.6218599033816425,0.6415094339622641,0.642484732476529,0.5563474107591755,0.6415094339622641,0.6415094339622641,0.6415094339622641,0.5563474107591755,0.5678533555521891,0.6415094339622641,0.6299022732404752,0.5579533340272868,0.5567209201600927,0.5564671326992212,0.641509433962264,0.641509433962264,0.6415094339622641,0.6347113206937646,0.6377699882033676,0.639228015838529,0.48332478193945616,0.48921343469507883,1.0,13.0,13.0,7.0,1.0,10.0,5.0,3.0,47.0,25.0,31.0,37.0,4.0,5.0,4.0,6.0
RandomForest,RF-4-1,0.617181540808543,0.6415094339622641,0.6389980282946907,0.5518225238813474,0.6415094339622641,0.6415094339622641,0.6415094339622641,0.5518225238813474,0.5607732376025059,0.6415094339622641,0.62559126203857,0.5519710583566166,0.5514031561780202,0.5514608761008712,0.641509433962264,0.641509433962264,0.6415094339622641,0.6325237104252622,0.6366068665789522,0.6385275716507378,0.4822622107969151,0.4895207844506956,1.0,13.0,14.0,6.0,1.0,10.0,5.0,3.0,47.0,25.0,31.0,37.0,4.0,5.0,3.0,7.0
RandomForest,RF-5-1,0.4430994152046784,0.5849056603773585,0.5356327926735077,0.4687028657616893,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.4687028657616893,0.4476156918017383,0.5849056603773585,0.5505249954569832,0.45824761693853094,0.46312252878600346,0.4653329183575966,0.5849056603773585,0.5849056603773586,0.5849056603773585,0.5686801960482254,0.5763536150960975,0.579765572836175,0.392391870766024,0.40321702805240184,0.0,12.0,14.0,5.0,0.0,13.0,5.0,4.0,48.0,22.0,31.0,36.0,5.0,6.0,3.0,8.0
RandomForest,RF-6-1,0.4168552036199095,0.5471698113207547,0.5058055152394775,0.43929110105580693,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.43929110105580693,0.4215298767728436,0.5471698113207547,0.5183085987023641,0.43033826433799327,0.4344702531707942,0.4363680346210827,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.5332517669270995,0.5397636214782666,0.5426995255730775,0.3381893860561914,0.34786287323798426,0.0,12.0,12.0,5.0,0.0,14.0,5.0,5.0,48.0,21.0,31.0,35.0,5.0,6.0,5.0,8.0
RandomForest,RF-7-1,0.60625,0.6226415094339622,0.6308176100628932,0.5416415284062343,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.5416415284062343,0.5536904761904762,0.6226415094339622,0.615121293800539,0.5435306567177802,0.5421530154575118,0.5418402227853448,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.617403684205088,0.6196527482504336,0.620792966812295,0.4580777096114519,0.46432225612244926,1.0,13.0,12.0,7.0,1.0,11.0,3.0,5.0,47.0,24.0,33.0,35.0,4.0,5.0,5.0,6.0
RandomForest,RF-8-1,0.5764705882352942,0.5849056603773585,0.590566037735849,0.5085218702865762,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.5085218702865762,0.5211910851297041,0.5849056603773585,0.5754131020742997,0.5105065119889598,0.5090626363981138,0.5087338720537358,0.5849056603773585,0.5849056603773586,0.5849056603773585,0.5788054003209206,0.5814804772925483,0.5827997158947901,0.40143737166324434,0.4074420093816922,1.0,12.0,12.0,6.0,1.0,12.0,5.0,4.0,47.0,23.0,31.0,36.0,4.0,6.0,5.0,7.0
RandomForest,RF-9-1,0.4598039215686275,0.5660377358490566,0.5484276729559747,0.4478381096028155,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.4478381096028155,0.4275670794633643,0.5660377358490566,0.5278053624627607,0.43424611223799864,0.44006306791009087,0.44301675881073643,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.5440698074935895,0.553823439177788,0.5585384761264692,0.3590956887486856,0.3835403661208577,0.0,14.0,12.0,4.0,0.0,16.0,5.0,2.0,48.0,19.0,31.0,38.0,5.0,4.0,5.0,9.0
RandomForest,RF-10-1,0.41642300194931775,0.5471698113207547,0.5056272757365111,0.42942433383609857,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.42942433383609857,0.4039473684210526,0.5471698113207547,0.5053403950126889,0.41557819575060956,0.42188677008586256,0.4248388076044883,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.5260641548865361,0.5358588924070148,0.5403274564274552,0.3364632237871674,0.35149138284521897,0.0,13.0,13.0,3.0,1.0,14.0,6.0,3.0,47.0,21.0,30.0,37.0,5.0,5.0,4.0,10.0
