model_id,param,value
RF-1,max_depth,
RF-1,max_features,
RF-1,min_samples_leaf,2
RF-1,min_samples_split,5
RF-1,n_estimators,50
RF-2,max_depth,
RF-2,max_features,
RF-2,min_samples_leaf,2
RF-2,min_samples_split,5
RF-2,n_estimators,100
RF-3,max_depth,
RF-3,max_features,
RF-3,min_samples_leaf,2
RF-3,min_samples_split,5
RF-3,n_estimators,400
RF-4,max_depth,
RF-4,max_features,
RF-4,min_samples_leaf,2
RF-4,min_samples_split,5
RF-4,n_estimators,800
RF-5,max_depth,
RF-5,max_features,
RF-5,min_samples_leaf,2
RF-5,min_samples_split,20
RF-5,n_estimators,50
RF-6,max_depth,
RF-6,max_features,
RF-6,min_samples_leaf,2
RF-6,min_samples_split,20
RF-6,n_estimators,100
RF-7,max_depth,
RF-7,max_features,
RF-7,min_samples_leaf,2
RF-7,min_samples_split,20
RF-7,n_estimators,400
RF-8,max_depth,
RF-8,max_features,
RF-8,min_samples_leaf,2
RF-8,min_samples_split,20
RF-8,n_estimators,800
RF-9,max_depth,
RF-9,max_features,
RF-9,min_samples_leaf,2
RF-9,min_samples_split,40
RF-9,n_estimators,50
RF-10,max_depth,
RF-10,max_features,
RF-10,min_samples_leaf,2
RF-10,min_samples_split,40
RF-10,n_estimators,100
RF-11,max_depth,
RF-11,max_features,
RF-11,min_samples_leaf,2
RF-11,min_samples_split,40
RF-11,n_estimators,400
RF-12,max_depth,
RF-12,max_features,
RF-12,min_samples_leaf,2
RF-12,min_samples_split,40
RF-12,n_estimators,800
RF-13,max_depth,
RF-13,max_features,
RF-13,min_samples_leaf,5
RF-13,min_samples_split,5
RF-13,n_estimators,50
RF-14,max_depth,
RF-14,max_features,
RF-14,min_samples_leaf,5
RF-14,min_samples_split,5
RF-14,n_estimators,100
RF-15,max_depth,
RF-15,max_features,
RF-15,min_samples_leaf,5
RF-15,min_samples_split,5
RF-15,n_estimators,400
RF-16,max_depth,
RF-16,max_features,
RF-16,min_samples_leaf,5
RF-16,min_samples_split,5
RF-16,n_estimators,800
RF-17,max_depth,
RF-17,max_features,
RF-17,min_samples_leaf,5
RF-17,min_samples_split,20
RF-17,n_estimators,50
RF-18,max_depth,
RF-18,max_features,
RF-18,min_samples_leaf,5
RF-18,min_samples_split,20
RF-18,n_estimators,100
RF-19,max_depth,
RF-19,max_features,
RF-19,min_samples_leaf,5
RF-19,min_samples_split,20
RF-19,n_estimators,400
RF-20,max_depth,
RF-20,max_features,
RF-20,min_samples_leaf,5
RF-20,min_samples_split,20
RF-20,n_estimators,800
RF-21,max_depth,
RF-21,max_features,
RF-21,min_samples_leaf,5
RF-21,min_samples_split,40
RF-21,n_estimators,50
RF-22,max_depth,
RF-22,max_features,
RF-22,min_samples_leaf,5
RF-22,min_samples_split,40
RF-22,n_estimators,100
RF-23,max_depth,
RF-23,max_features,
RF-23,min_samples_leaf,5
RF-23,min_samples_split,40
RF-23,n_estimators,400
RF-24,max_depth,
RF-24,max_features,
RF-24,min_samples_leaf,5
RF-24,min_samples_split,40
RF-24,n_estimators,800
RF-25,max_depth,
RF-25,max_features,
RF-25,min_samples_leaf,10
RF-25,min_samples_split,5
RF-25,n_estimators,50
RF-26,max_depth,
RF-26,max_features,
RF-26,min_samples_leaf,10
RF-26,min_samples_split,5
RF-26,n_estimators,100
RF-27,max_depth,
RF-27,max_features,
RF-27,min_samples_leaf,10
RF-27,min_samples_split,5
RF-27,n_estimators,400
RF-28,max_depth,
RF-28,max_features,
RF-28,min_samples_leaf,10
RF-28,min_samples_split,5
RF-28,n_estimators,800
RF-29,max_depth,
RF-29,max_features,
RF-29,min_samples_leaf,10
RF-29,min_samples_split,20
RF-29,n_estimators,50
RF-30,max_depth,
RF-30,max_features,
RF-30,min_samples_leaf,10
RF-30,min_samples_split,20
RF-30,n_estimators,100
RF-31,max_depth,
RF-31,max_features,
RF-31,min_samples_leaf,10
RF-31,min_samples_split,20
RF-31,n_estimators,400
RF-32,max_depth,
RF-32,max_features,
RF-32,min_samples_leaf,10
RF-32,min_samples_split,20
RF-32,n_estimators,800
RF-33,max_depth,
RF-33,max_features,
RF-33,min_samples_leaf,10
RF-33,min_samples_split,40
RF-33,n_estimators,50
RF-34,max_depth,
RF-34,max_features,
RF-34,min_samples_leaf,10
RF-34,min_samples_split,40
RF-34,n_estimators,100
RF-35,max_depth,
RF-35,max_features,
RF-35,min_samples_leaf,10
RF-35,min_samples_split,40
RF-35,n_estimators,400
RF-36,max_depth,
RF-36,max_features,
RF-36,min_samples_leaf,10
RF-36,min_samples_split,40
RF-36,n_estimators,800
RF-37,max_depth,
RF-37,max_features,sqrt
RF-37,min_samples_leaf,2
RF-37,min_samples_split,5
RF-37,n_estimators,50
RF-38,max_depth,
RF-38,max_features,sqrt
RF-38,min_samples_leaf,2
RF-38,min_samples_split,5
RF-38,n_estimators,100
RF-39,max_depth,
RF-39,max_features,sqrt
RF-39,min_samples_leaf,2
RF-39,min_samples_split,5
RF-39,n_estimators,400
RF-40,max_depth,
RF-40,max_features,sqrt
RF-40,min_samples_leaf,2
RF-40,min_samples_split,5
RF-40,n_estimators,800
RF-41,max_depth,
RF-41,max_features,sqrt
RF-41,min_samples_leaf,2
RF-41,min_samples_split,20
RF-41,n_estimators,50
RF-42,max_depth,
RF-42,max_features,sqrt
RF-42,min_samples_leaf,2
RF-42,min_samples_split,20
RF-42,n_estimators,100
RF-43,max_depth,
RF-43,max_features,sqrt
RF-43,min_samples_leaf,2
RF-43,min_samples_split,20
RF-43,n_estimators,400
RF-44,max_depth,
RF-44,max_features,sqrt
RF-44,min_samples_leaf,2
RF-44,min_samples_split,20
RF-44,n_estimators,800
RF-45,max_depth,
RF-45,max_features,sqrt
RF-45,min_samples_leaf,2
RF-45,min_samples_split,40
RF-45,n_estimators,50
RF-46,max_depth,
RF-46,max_features,sqrt
RF-46,min_samples_leaf,2
RF-46,min_samples_split,40
RF-46,n_estimators,100
RF-47,max_depth,
RF-47,max_features,sqrt
RF-47,min_samples_leaf,2
RF-47,min_samples_split,40
RF-47,n_estimators,400
RF-48,max_depth,
RF-48,max_features,sqrt
RF-48,min_samples_leaf,2
RF-48,min_samples_split,40
RF-48,n_estimators,800
RF-49,max_depth,
RF-49,max_features,sqrt
RF-49,min_samples_leaf,5
RF-49,min_samples_split,5
RF-49,n_estimators,50
RF-50,max_depth,
RF-50,max_features,sqrt
RF-50,min_samples_leaf,5
RF-50,min_samples_split,5
RF-50,n_estimators,100
RF-51,max_depth,
RF-51,max_features,sqrt
RF-51,min_samples_leaf,5
RF-51,min_samples_split,5
RF-51,n_estimators,400
RF-52,max_depth,
RF-52,max_features,sqrt
RF-52,min_samples_leaf,5
RF-52,min_samples_split,5
RF-52,n_estimators,800
RF-53,max_depth,
RF-53,max_features,sqrt
RF-53,min_samples_leaf,5
RF-53,min_samples_split,20
RF-53,n_estimators,50
RF-54,max_depth,
RF-54,max_features,sqrt
RF-54,min_samples_leaf,5
RF-54,min_samples_split,20
RF-54,n_estimators,100
RF-55,max_depth,
RF-55,max_features,sqrt
RF-55,min_samples_leaf,5
RF-55,min_samples_split,20
RF-55,n_estimators,400
RF-56,max_depth,
RF-56,max_features,sqrt
RF-56,min_samples_leaf,5
RF-56,min_samples_split,20
RF-56,n_estimators,800
RF-57,max_depth,
RF-57,max_features,sqrt
RF-57,min_samples_leaf,5
RF-57,min_samples_split,40
RF-57,n_estimators,50
RF-58,max_depth,
RF-58,max_features,sqrt
RF-58,min_samples_leaf,5
RF-58,min_samples_split,40
RF-58,n_estimators,100
RF-59,max_depth,
RF-59,max_features,sqrt
RF-59,min_samples_leaf,5
RF-59,min_samples_split,40
RF-59,n_estimators,400
RF-60,max_depth,
RF-60,max_features,sqrt
RF-60,min_samples_leaf,5
RF-60,min_samples_split,40
RF-60,n_estimators,800
RF-61,max_depth,
RF-61,max_features,sqrt
RF-61,min_samples_leaf,10
RF-61,min_samples_split,5
RF-61,n_estimators,50
RF-62,max_depth,
RF-62,max_features,sqrt
RF-62,min_samples_leaf,10
RF-62,min_samples_split,5
RF-62,n_estimators,100
RF-63,max_depth,
RF-63,max_features,sqrt
RF-63,min_samples_leaf,10
RF-63,min_samples_split,5
RF-63,n_estimators,400
RF-64,max_depth,
RF-64,max_features,sqrt
RF-64,min_samples_leaf,10
RF-64,min_samples_split,5
RF-64,n_estimators,800
RF-65,max_depth,
RF-65,max_features,sqrt
RF-65,min_samples_leaf,10
RF-65,min_samples_split,20
RF-65,n_estimators,50
RF-66,max_depth,
RF-66,max_features,sqrt
RF-66,min_samples_leaf,10
RF-66,min_samples_split,20
RF-66,n_estimators,100
RF-67,max_depth,
RF-67,max_features,sqrt
RF-67,min_samples_leaf,10
RF-67,min_samples_split,20
RF-67,n_estimators,400
RF-68,max_depth,
RF-68,max_features,sqrt
RF-68,min_samples_leaf,10
RF-68,min_samples_split,20
RF-68,n_estimators,800
RF-69,max_depth,
RF-69,max_features,sqrt
RF-69,min_samples_leaf,10
RF-69,min_samples_split,40
RF-69,n_estimators,50
RF-70,max_depth,
RF-70,max_features,sqrt
RF-70,min_samples_leaf,10
RF-70,min_samples_split,40
RF-70,n_estimators,100
RF-71,max_depth,
RF-71,max_features,sqrt
RF-71,min_samples_leaf,10
RF-71,min_samples_split,40
RF-71,n_estimators,400
RF-72,max_depth,
RF-72,max_features,sqrt
RF-72,min_samples_leaf,10
RF-72,min_samples_split,40
RF-72,n_estimators,800
RF-73,max_depth,3
RF-73,max_features,
RF-73,min_samples_leaf,2
RF-73,min_samples_split,5
RF-73,n_estimators,50
RF-74,max_depth,3
RF-74,max_features,
RF-74,min_samples_leaf,2
RF-74,min_samples_split,5
RF-74,n_estimators,100
RF-75,max_depth,3
RF-75,max_features,
RF-75,min_samples_leaf,2
RF-75,min_samples_split,5
RF-75,n_estimators,400
RF-76,max_depth,3
RF-76,max_features,
RF-76,min_samples_leaf,2
RF-76,min_samples_split,5
RF-76,n_estimators,800
RF-77,max_depth,3
RF-77,max_features,
RF-77,min_samples_leaf,2
RF-77,min_samples_split,20
RF-77,n_estimators,50
RF-78,max_depth,3
RF-78,max_features,
RF-78,min_samples_leaf,2
RF-78,min_samples_split,20
RF-78,n_estimators,100
RF-79,max_depth,3
RF-79,max_features,
RF-79,min_samples_leaf,2
RF-79,min_samples_split,20
RF-79,n_estimators,400
RF-80,max_depth,3
RF-80,max_features,
RF-80,min_samples_leaf,2
RF-80,min_samples_split,20
RF-80,n_estimators,800
RF-81,max_depth,3
RF-81,max_features,
RF-81,min_samples_leaf,2
RF-81,min_samples_split,40
RF-81,n_estimators,50
RF-82,max_depth,3
RF-82,max_features,
RF-82,min_samples_leaf,2
RF-82,min_samples_split,40
RF-82,n_estimators,100
RF-83,max_depth,3
RF-83,max_features,
RF-83,min_samples_leaf,2
RF-83,min_samples_split,40
RF-83,n_estimators,400
RF-84,max_depth,3
RF-84,max_features,
RF-84,min_samples_leaf,2
RF-84,min_samples_split,40
RF-84,n_estimators,800
RF-85,max_depth,3
RF-85,max_features,
RF-85,min_samples_leaf,5
RF-85,min_samples_split,5
RF-85,n_estimators,50
RF-86,max_depth,3
RF-86,max_features,
RF-86,min_samples_leaf,5
RF-86,min_samples_split,5
RF-86,n_estimators,100
RF-87,max_depth,3
RF-87,max_features,
RF-87,min_samples_leaf,5
RF-87,min_samples_split,5
RF-87,n_estimators,400
RF-88,max_depth,3
RF-88,max_features,
RF-88,min_samples_leaf,5
RF-88,min_samples_split,5
RF-88,n_estimators,800
RF-89,max_depth,3
RF-89,max_features,
RF-89,min_samples_leaf,5
RF-89,min_samples_split,20
RF-89,n_estimators,50
RF-90,max_depth,3
RF-90,max_features,
RF-90,min_samples_leaf,5
RF-90,min_samples_split,20
RF-90,n_estimators,100
RF-91,max_depth,3
RF-91,max_features,
RF-91,min_samples_leaf,5
RF-91,min_samples_split,20
RF-91,n_estimators,400
RF-92,max_depth,3
RF-92,max_features,
RF-92,min_samples_leaf,5
RF-92,min_samples_split,20
RF-92,n_estimators,800
RF-93,max_depth,3
RF-93,max_features,
RF-93,min_samples_leaf,5
RF-93,min_samples_split,40
RF-93,n_estimators,50
RF-94,max_depth,3
RF-94,max_features,
RF-94,min_samples_leaf,5
RF-94,min_samples_split,40
RF-94,n_estimators,100
RF-95,max_depth,3
RF-95,max_features,
RF-95,min_samples_leaf,5
RF-95,min_samples_split,40
RF-95,n_estimators,400
RF-96,max_depth,3
RF-96,max_features,
RF-96,min_samples_leaf,5
RF-96,min_samples_split,40
RF-96,n_estimators,800
RF-97,max_depth,3
RF-97,max_features,
