model_id,param,value
SVM-1,C,0.0001
SVM-1,kernel,linear
SVM-2,C,0.001
SVM-2,kernel,linear
SVM-3,C,0.01
SVM-3,kernel,linear
SVM-4,C,0.1
SVM-4,kernel,linear
SVM-5,C,0.25
SVM-5,kernel,linear
SVM-6,C,0.5
SVM-6,kernel,linear
SVM-7,C,1
SVM-7,kernel,linear
SVM-8,C,2
SVM-8,kernel,linear
SVM-9,C,4
SVM-9,kernel,linear
SVM-10,C,8
SVM-10,kernel,linear
SVM-11,C,16
SVM-11,kernel,linear
SVM-12,C,32
SVM-12,kernel,linear
SVM-13,C,64
SVM-13,kernel,linear
SVM-14,C,0.0001
SVM-14,gamma,scale
SVM-14,kernel,rbf
SVM-15,C,0.0001
SVM-15,gamma,scale
SVM-15,kernel,poly
SVM-16,C,0.0001
SVM-16,gamma,auto
SVM-16,kernel,rbf
SVM-17,C,0.0001
SVM-17,gamma,auto
SVM-17,kernel,poly
SVM-18,C,0.001
SVM-18,gamma,scale
SVM-18,kernel,rbf
SVM-19,C,0.001
SVM-19,gamma,scale
SVM-19,kernel,poly
SVM-20,C,0.001
SVM-20,gamma,auto
SVM-20,kernel,rbf
SVM-21,C,0.001
SVM-21,gamma,auto
SVM-21,kernel,poly
SVM-22,C,0.01
SVM-22,gamma,scale
SVM-22,kernel,rbf
SVM-23,C,0.01
SVM-23,gamma,scale
SVM-23,kernel,poly
SVM-24,C,0.01
SVM-24,gamma,auto
SVM-24,kernel,rbf
SVM-25,C,0.01
SVM-25,gamma,auto
SVM-25,kernel,poly
SVM-26,C,0.1
SVM-26,gamma,scale
SVM-26,kernel,rbf
SVM-27,C,0.1
SVM-27,gamma,scale
SVM-27,kernel,poly
SVM-28,C,0.1
SVM-28,gamma,auto
SVM-28,kernel,rbf
SVM-29,C,0.1
SVM-29,gamma,auto
SVM-29,kernel,poly
SVM-30,C,0.25
SVM-30,gamma,scale
SVM-30,kernel,rbf
SVM-31,C,0.25
SVM-31,gamma,scale
SVM-31,kernel,poly
SVM-32,C,0.25
SVM-32,gamma,auto
SVM-32,kernel,rbf
SVM-33,C,0.25
SVM-33,gamma,auto
SVM-33,kernel,poly
SVM-34,C,0.5
SVM-34,gamma,scale
SVM-34,kernel,rbf
SVM-35,C,0.5
SVM-35,gamma,scale
SVM-35,kernel,poly
SVM-36,C,0.5
SVM-36,gamma,auto
SVM-36,kernel,rbf
SVM-37,C,0.5
SVM-37,gamma,auto
SVM-37,kernel,poly
SVM-38,C,1
SVM-38,gamma,scale
SVM-38,kernel,rbf
SVM-39,C,1
SVM-39,gamma,scale
SVM-39,kernel,poly
SVM-40,C,1
SVM-40,gamma,auto
SVM-40,kernel,rbf
SVM-41,C,1
SVM-41,gamma,auto
SVM-41,kernel,poly
SVM-42,C,2
SVM-42,gamma,scale
SVM-42,kernel,rbf
SVM-43,C,2
SVM-43,gamma,scale
SVM-43,kernel,poly
SVM-44,C,2
SVM-44,gamma,auto
SVM-44,kernel,rbf
SVM-45,C,2
SVM-45,gamma,auto
SVM-45,kernel,poly
SVM-46,C,4
SVM-46,gamma,scale
SVM-46,kernel,rbf
SVM-47,C,4
SVM-47,gamma,scale
SVM-47,kernel,poly
SVM-48,C,4
SVM-48,gamma,auto
SVM-48,kernel,rbf
SVM-49,C,4
SVM-49,gamma,auto
SVM-49,kernel,poly
SVM-50,C,8
SVM-50,gamma,scale
SVM-50,kernel,rbf
SVM-51,C,8
SVM-51,gamma,scale
SVM-51,kernel,poly
SVM-52,C,8
SVM-52,gamma,auto
SVM-52,kernel,rbf
SVM-53,C,8
SVM-53,gamma,auto
SVM-53,kernel,poly
SVM-54,C,16
SVM-54,gamma,scale
SVM-54,kernel,rbf
SVM-55,C,16
SVM-55,gamma,scale
SVM-55,kernel,poly
SVM-56,C,16
SVM-56,gamma,auto
SVM-56,kernel,rbf
SVM-57,C,16
SVM-57,gamma,auto
SVM-57,kernel,poly
SVM-58,C,32
SVM-58,gamma,scale
SVM-58,kernel,rbf
SVM-59,C,32
SVM-59,gamma,scale
SVM-59,kernel,poly
SVM-60,C,32
SVM-60,gamma,auto
SVM-60,kernel,rbf
SVM-61,C,32
SVM-61,gamma,auto
SVM-61,kernel,poly
SVM-62,C,64
SVM-62,gamma,scale
SVM-62,kernel,rbf
SVM-63,C,64
SVM-63,gamma,scale
SVM-63,kernel,poly
SVM-64,C,64
SVM-64,gamma,auto
SVM-64,kernel,rbf
SVM-65,C,64
SVM-65,gamma,auto
SVM-65,kernel,poly
